A,B,mean_A,mean_B,diff,se,T,df,pval,hedges,Feature,Metric
CD_ED,MD,0.11403548511945731,0.11134712966418038,0.0026883554552769307,0.03337760352906422,0.08054369310654645,17.713212020255394,0.996430533760686,0.033174328027336906,AU06_r,var
CD_ED,ND,0.11403548511945731,0.05847447503552514,0.05556101008393217,0.022045602245087653,2.52027635563064,14.148498142719676,0.05946357366349431,1.0818795314480236,AU06_r,var
MD,ND,0.11134712966418038,0.05847447503552514,0.05287265462865524,0.02906027494468117,1.8194134339507475,12.955816195587222,0.2020387303561224,0.7788892159300826,AU06_r,var
CD_ED,MD,0.1616705305855647,0.1360895610177061,0.025580969567858575,0.04848738919123218,0.5275798510612384,18.979892362137765,0.8588736971793187,0.22054621049099254,AU10_r,var
CD_ED,ND,0.1616705305855647,0.057757346848307155,0.10391318373725753,0.03515451132507273,2.9558989677420167,10.32502390559783,0.03417165813836265,1.3836883486735452,AU10_r,var
MD,ND,0.1360895610177061,0.057757346848307155,0.07833221416939895,0.03582123832160329,2.186753385411522,11.40982151917881,0.11609297194041501,0.9609974619443246,AU10_r,var
CD_ED,MD,0.18593640537275924,0.10054811437323075,0.0853882909995285,0.06591657863989617,1.2953993177650611,18.999915323417802,0.4148255321797608,0.5407012300542562,AU12_r,var
CD_ED,ND,0.18593640537275924,0.018698427222791986,0.16723797814996724,0.04608064425889188,3.629245659205306,9.532085070275963,0.012566447588399754,1.741321557585883,AU12_r,var
MD,ND,0.10054811437323075,0.018698427222791986,0.08184968715043876,0.048404026662261034,1.690968557668657,10.533593223492774,0.2534495597082349,0.7560575078529219,AU12_r,var
CD_ED,MD,102.16167022727197,25.715135502287698,76.44653472498428,73.94872124605607,1.0337776426263954,9.784620228097067,0.5740257981836793,0.45388782556030804,Speed,var
CD_ED,ND,102.16167022727197,139.94368865238414,-37.78201842511217,75.30024354990859,-0.5017516098745478,10.492332478581346,0.8720468328518209,-0.2337520309140959,Speed,var
MD,ND,25.715135502287698,139.94368865238414,-114.22855315009645,25.65797115382409,-4.451971376274297,23.52748555303533,0.0004937775871047823,-1.595167984728855,Speed,var
CD_ED,MD,1857.8458079598688,773.9266760037332,1083.9191319561355,921.2905069778654,1.1765226318371012,11.186505782760229,0.489979648356033,0.5127775265552267,Brake,var
CD_ED,ND,1857.8458079598688,3399.104329820578,-1541.2585218607094,1245.7421640897726,-1.2372211251168992,22.14314276477775,0.44450524894681864,-0.46613675670193766,Brake,var
MD,ND,773.9266760037332,3399.104329820578,-2625.177653816845,942.4256021844948,-2.7855542630970724,17.121621807585214,0.03215276548701396,-0.9354518063987138,Brake,var
CD_ED,MD,0.028028095688216886,0.03271743372718295,-0.004689338038966064,0.01266455413342971,-0.3702726514933484,14.509595423749376,0.9275832024014738,-0.15043520074790406,LaneOffset,var
CD_ED,ND,0.028028095688216886,0.07757958681294642,-0.049551491124729535,0.00830860488916566,-5.9638762205847815,22.61252112664119,1.3732177271186252e-05,-2.2189129406936274,LaneOffset,var
MD,ND,0.03271743372718295,0.07757958681294642,-0.044862153085763475,0.01290649401002447,-3.475936458880239,15.727493561126483,0.008443260132320995,-1.4322078191882153,LaneOffset,var
CD_ED,MD,0.0006212406962792024,0.004002907118358015,-0.003381666422078813,0.0021723841643124728,-1.5566613298109084,10.28532574154665,0.30646261382748763,-0.621874041627145,gaze_0_z,var
CD_ED,ND,0.0006212406962792024,0.0039307996789674626,-0.0033095589826882604,0.000966443929967835,-3.4244707634496794,16.07988671162526,0.009148079777280715,-1.1189246382635207,gaze_0_z,var
MD,ND,0.004002907118358015,0.0039307996789674626,7.210743939055266e-05,0.0023495477759871695,0.030689922600214633,13.735784990441193,0.9994808747159254,0.012985862654255668,gaze_0_z,var
CD_ED,MD,0.0006968630109071361,0.0040976115701904375,-0.0034007485592833014,0.002191615021810571,-1.551708911209151,10.349722780042704,0.30828112691080944,-0.6200723959309361,gaze_1_z,var
CD_ED,ND,0.0006968630109071361,0.0038953308494214093,-0.003198467838514273,0.0009702178177492974,-3.2966492472113633,16.58583911730699,0.011535170237762737,-1.0825457298188748,gaze_1_z,var
MD,ND,0.0040976115701904375,0.0038953308494214093,0.00020228072076902822,0.002362031859258969,0.08563843877723518,13.64638714551429,0.9959660135690673,0.03628324570276493,gaze_1_z,var
CD_ED,MD,1617.7888384629034,1456.864098560728,160.92473990217536,489.9451031591285,0.32845463474284153,17.65979036086573,0.9424575424213343,0.1352449159319836,gaze_vel,var
CD_ED,ND,1617.7888384629034,816.561148026975,801.2276904359284,313.99970606810285,2.5516829313915075,13.025834817785087,0.058596095574124596,1.1192295254869895,gaze_vel,var
MD,ND,1456.864098560728,816.561148026975,640.302950533753,421.03044618292836,1.5207996389305196,12.263193036014206,0.31548378696756263,0.6583639809382674,gaze_vel,var
CD_ED,MD,1620013.281623188,1317581.3920162523,302431.88960693567,421219.7087131929,0.717990833170773,18.76523366210135,0.7560286945448031,0.2980077792901041,gaze_acc,var
CD_ED,ND,1620013.281623188,792886.8277876646,827126.4538355233,306139.35454917635,2.7017972094883307,13.766056814966603,0.043170995311559546,1.1680502532369315,gaze_acc,var
MD,ND,1317581.3920162523,792886.8277876646,524694.5642285877,350538.64265102346,1.4968237460511424,13.79764626669209,0.3225069142668118,0.6327893337035421,gaze_acc,var
