Feature,Metric,Comparison,Welch_F,P_value,Result,ND_Value,CD_ED_Value,MD_Value
AU01_r,std,ND_vs_CD_ED_vs_MD,1.9616,0.1737387259906368,기각하지 못함 (차이 없음),0.2716,0.3605,0.5372
AU02_r,std,ND_vs_CD_ED_vs_MD,3.136,0.06847731329533478,기각하지 못함 (차이 없음),0.1735,0.2564,0.3791
AU04_r,std,ND_vs_CD_ED_vs_MD,1.0169,0.37956634279992035,기각하지 못함 (차이 없음),0.2132,0.338,0.208
AU05_r,std,ND_vs_CD_ED_vs_MD,1.9209,0.17737953713076615,기각하지 못함 (차이 없음),0.1256,0.1626,0.1641
AU06_r,std,ND_vs_CD_ED_vs_MD,3.0462,0.06853073397753953,기각하지 못함 (차이 없음),0.2395,0.3538,0.3076
AU07_r,std,ND_vs_CD_ED_vs_MD,3.3613,0.053180848606989475,기각하지 못함 (차이 없음),0.2856,0.4462,0.3408
AU09_r,std,ND_vs_CD_ED_vs_MD,5.2152,0.018493640899225925,기각 (차이 있음),0.1205,0.2498,0.1852
AU10_r,std,ND_vs_CD_ED_vs_MD,1.1511,0.33451523889384144,기각하지 못함 (차이 없음),0.2776,0.3611,0.3707
AU12_r,std,ND_vs_CD_ED_vs_MD,4.2422,0.027161871091509002,기각 (차이 있음),0.1567,0.3067,0.2995
AU14_r,std,ND_vs_CD_ED_vs_MD,0.3067,0.7389826952891321,기각하지 못함 (차이 없음),0.3858,0.3492,0.3913
AU15_r,std,ND_vs_CD_ED_vs_MD,1.7275,0.20094799812477995,기각하지 못함 (차이 없음),0.2397,0.1803,0.2171
AU17_r,std,ND_vs_CD_ED_vs_MD,2.4693,0.10853918805843553,기각하지 못함 (차이 없음),0.272,0.2981,0.344
AU20_r,std,ND_vs_CD_ED_vs_MD,1.1565,0.33337335898167153,기각하지 못함 (차이 없음),0.2052,0.1607,0.166
AU23_r,std,ND_vs_CD_ED_vs_MD,0.7017,0.5074681583636635,기각하지 못함 (차이 없음),0.2367,0.258,0.2992
AU25_r,std,ND_vs_CD_ED_vs_MD,9.5513,0.0017834085165939042,기각 (차이 있음),0.3107,0.5355,0.6187
AU26_r,std,ND_vs_CD_ED_vs_MD,2.3763,0.11683582374992732,기각하지 못함 (차이 없음),0.3344,0.4473,0.4376
AU45_r,std,ND_vs_CD_ED_vs_MD,6.207,0.010152826274116584,기각 (차이 있음),0.2647,0.4547,0.4109
pose_Tx,std,ND_vs_CD_ED_vs_MD,0.7661,0.4774030545335261,기각하지 못함 (차이 없음),515060.6018,5.5394,4.9018
pose_Ty,std,ND_vs_CD_ED_vs_MD,0.5869,0.5644551225752912,기각하지 못함 (차이 없음),386299.5376,5.9205,5.8393
pose_Tz,std,ND_vs_CD_ED_vs_MD,0.7982,0.46516403883490526,기각하지 못함 (차이 없음),804777.4491,4.7259,4.1585
pose_Rx,std,ND_vs_CD_ED_vs_MD,4.0606,0.033458119006967955,기각 (차이 있음),0.0675,0.0745,0.0458
pose_Ry,std,ND_vs_CD_ED_vs_MD,2.4888,0.11421923432628193,기각하지 못함 (차이 없음),0.0481,0.0431,0.0253
pose_Rz,std,ND_vs_CD_ED_vs_MD,3.2745,0.05837918937128147,기각하지 못함 (차이 없음),0.0381,0.0483,0.0277
Speed,std,ND_vs_CD_ED_vs_MD,25.2447,1.5357710438663689e-06,기각 (차이 있음),12.1391,4.1608,4.1194
Acceleration,std,ND_vs_CD_ED_vs_MD,0.2056,0.8160136420879217,기각하지 못함 (차이 없음),3.8571,3.6199,3.4781
Brake,std,ND_vs_CD_ED_vs_MD,3.1885,0.06358435942638985,기각하지 못함 (차이 없음),47.7316,34.9057,25.3067
Steering,std,ND_vs_CD_ED_vs_MD,1.8139,0.19521680871686226,기각하지 못함 (차이 없음),0.0235,0.0313,0.0359
LaneOffset,std,ND_vs_CD_ED_vs_MD,17.1332,4.1597224528173426e-05,기각 (차이 있음),0.2701,0.1749,0.1547
gaze_0_x,std,ND_vs_CD_ED_vs_MD,0.9389,0.4076522383809993,기각하지 못함 (차이 없음),0.0433,0.0459,0.0386
gaze_0_y,std,ND_vs_CD_ED_vs_MD,2.0644,0.15169150412634633,기각하지 못함 (차이 없음),0.0554,0.071,0.0574
gaze_0_z,std,ND_vs_CD_ED_vs_MD,1.5354,0.24480438588959166,기각하지 못함 (차이 없음),0.0762,0.0316,0.025
gaze_1_x,std,ND_vs_CD_ED_vs_MD,0.1428,0.8676597904189451,기각하지 못함 (차이 없음),0.0464,0.0423,0.0433
gaze_1_y,std,ND_vs_CD_ED_vs_MD,1.8493,0.18068979557012607,기각하지 못함 (차이 없음),0.0571,0.0703,0.0579
gaze_1_z,std,ND_vs_CD_ED_vs_MD,1.7052,0.21202596989296646,기각하지 못함 (차이 없음),0.0764,0.0322,0.0234
gaze_angle_x,std,ND_vs_CD_ED_vs_MD,0.2911,0.7502075557898964,기각하지 못함 (차이 없음),0.0377,0.0345,0.0318
gaze_angle_y,std,ND_vs_CD_ED_vs_MD,1.6668,0.21174706681107616,기각하지 못함 (차이 없음),0.0561,0.0693,0.0574
gaze_vel,std,ND_vs_CD_ED_vs_MD,0.9469,0.40239046520763566,기각하지 못함 (차이 없음),31.0823,35.4596,38.8363
gaze_amp,std,ND_vs_CD_ED_vs_MD,0.9774,0.39121388008422947,기각하지 못함 (차이 없음),1.1436,1.3211,1.4193
gaze_acc,std,ND_vs_CD_ED_vs_MD,1.5837,0.2267426132782609,기각하지 못함 (차이 없음),935.6945,1120.3092,1221.4044
