Time,Drive,Stimulus,Failure,Palm.EDA,Heart.Rate,Breathing.Rate,Perinasal.Perspiration,Speed,Acceleration,Brake,Steering,LaneOffset,Lane.Position,Distance,Gaze.X.Pos,Gaze.Y.Pos,Lft.Pupil.Diameter,Rt.Pupil.Diameter
1,4,0,0,,,,0.004423337,7.47e-10,0.0,0.581359863,-0.001884956,-0.101056814,1.926056814,0.0,1470.697,692.6931,0.0,0.0
2,4,0,0,,,,0.004562545,-3.09e-10,0.0,0.654602051,0.001884956,-0.101056814,1.926056814,0.0,0.0,0.0,0.0,0.0
3,4,0,0,,,,0.004654455,-6.74e-10,6.112472057,0.581359863,-0.001256637,-0.101056814,1.926056814,0.0,0.0,0.0,0.0,0.0
4,4,0,0,,,,0.004638289,1.14e-09,5.970870495,0.581359863,0.000628,-0.101056814,1.926056814,0.0,1304.6605,654.2635,0.0,0.0
5,4,0,0,,,,0.004518373,-2.51e-09,14.92008972,0.581359863,0.001256637,-0.101056814,1.926056814,0.0,0.0,0.0,0.0,0.0
6,4,0,0,,,,0.004372205,1.69e-10,25.31364441,0.581359863,-0.001884956,-0.101056814,1.926056814,0.0,0.0,0.0,0.0,0.0
7,4,0,0,,,,0.004213245,0.065942637,42.16423035,0.581359863,0.001884956,-0.101054907,1.926056814,0.0,0.0,0.0,0.0,0.0
8,4,0,0,,,,0.004096675,8.687321909,41.99430847,0.581359863,-0.001884956,-0.099828005,1.926056814,0.0,1284.7094,646.0094,0.0,0.0
9,4,0,0,,,,0.003982786,8.953518703,41.99430847,0.581359863,0.0,-0.093769312,1.925881338,0.085325897,1308.2299,651.4233,0.0,0.0
10,4,0,0,,,,0.003894489,1.0689123,46.07243347,0.581359863,0.000628,-0.092095137,1.922430468,1.913087089,0.0,0.0,0.0,0.0
11,4,0,0,,,,0.003804693,10.01153127,49.38591003,0.581359863,-0.001884956,-0.089174509,1.917697859,4.514286863,0.0,0.0,0.0,0.0
12,4,0,0,,,,0.003733984,10.02211332,48.50798035,0.581359863,0.001884956,-0.084444284,1.916996431,4.913576981,0.0,0.0,0.0,0.0
13,4,0,0,,,,0.003660926,9.290530047,49.38591003,0.581359863,-0.001256637,-0.079250097,1.914174509,6.420534454,0.0,0.0,0.0,0.0
14,4,0,0,,,,0.003608224,3.767874412,37.71794128,0.581359863,0.001256637,-0.075957537,1.910113764,8.648197183,0.0,0.0,0.0,0.0
15,4,0,0,,,,0.003568382,2.55491956,13.07926941,0.581359863,0.0,-0.074630022,1.905510378,11.18579667,1323.3522,645.4172,0.0,0.0
16,4,0,0,,,,0.003555085,6.181633933,15.91130066,0.581359863,-0.000628,-0.07301116,1.902044249,13.11170175,1347.6675,663.3893,0.0,0.0
17,4,0,0,,,,0.00356398,7.411363092,21.97184753,0.581359863,0.001884956,-0.069248438,1.900250387,14.12622731,0.0,0.0,0.0,0.0
18,4,0,0,,,,0.003589387,3.859148407,16.9025116,0.581359863,-0.001884956,-0.06614089,1.899280024,14.66370295,1411.8858,666.9599,0.0,0.0
19,4,0,0,,,,0.003635632,0.291117874,9.680831909,0.654602051,0.001256637,-0.06564641,1.897247267,15.77478621,0.0,0.0,0.0,0.0
20,4,0,0,,,,0.003690047,1.696428956,0.0,0.654602051,-0.001884956,-0.065247774,1.894371462,17.37219994,0.0,0.0,0.0,0.0
21,4,0,0,,,,0.003769738,6.812750326,7.358565807,0.581359863,0.001256637,-0.063087225,1.891211939,19.15137744,1324.1774,658.9472,0.0,0.0
22,4,0,0,,,,0.003860187,8.533413021,4.951339245,0.581359863,-0.001256637,-0.059339285,1.890651655,19.483408,0.0,0.0,0.0,0.0
23,4,0,0,,,,0.003988278,0.224260798,9.001144409,0.654602051,-0.000628,-0.057177305,1.890470457,19.58619027,0.0,0.0,0.0,0.0
24,4,0,0,,,,0.004102541,0.004026516,15.23161316,0.654602051,0.000628,-0.057179213,1.88971467,19.99268369,0.0,0.0,0.0,0.0
25,4,0,0,,,,0.004189494,0.001775554,13.67399597,0.581359863,-0.001884956,-0.057178259,1.886980009,21.49598038,1360.7218,658.3286,0.0,0.0
26,4,0,0,,,,0.004198167,1.847290322,0.0,0.581359863,0.0,-0.057008982,1.883642149,23.35987374,1337.9642,660.6935,0.0,0.0
27,4,0,0,,,,0.00414772,12.2859156,0.0,0.654602051,0.001256637,-0.053882837,1.882183504,24.21680728,0.0,0.0,0.0,0.0
28,4,0,0,,,,0.004049932,23.54962802,1.128097177,0.581359863,0.0,-0.044556379,1.882177782,24.21839364,0.0,0.0,0.0,0.0
29,4,0,0,,,,0.003957956,32.24465753,7.868331432,0.581359863,0.00439823,-0.032153845,1.882178259,24.21802738,1376.6578,668.379,0.0,0.0
30,4,0,0,,,,0.003866333,41.34142581,11.52165222,0.581359863,-0.089849547,-0.026239157,1.882148695,24.23304282,1488.995,691.8974,0.0,0.0
31,4,0,0,,,,0.003800594,46.63317177,3.08219862,0.581359863,0.051522117,-0.108361959,1.88124032,24.71643866,0.0,0.0,0.0,0.0
32,4,0,0,,,,0.003734825,52.24228502,10.30387878,0.581359863,0.082938045,-0.158004045,1.876076651,27.58643466,0.0,0.0,0.0,0.0
33,4,0,0,,,,0.003682636,57.10650179,13.07926941,0.654602051,-0.013194689,-0.089506388,1.868022394,32.14002698,0.0,0.0,0.0,0.0
34,4,0,0,,,,0.003634106,62.38845619,15.40153503,0.654602051,-0.036442474,-0.020847559,1.855503511,39.25233353,0.0,0.0,0.0,0.0
35,4,0,0,,,,0.003605349,66.77378963,16.61930847,0.654602051,-0.033929199,-0.01356864,1.847060156,47.72572421,0.0,0.0,0.0,0.0
36,4,0,0,,,,0.003586859,71.10496738,9.709152222,0.581359863,0.038327429,-0.051473856,1.914979887,58.43322296,1401.9934,669.83,0.0,0.0
37,4,0,0,,,,0.003581255,71.0696189,0.0,0.654602051,-0.005026548,-0.043499231,1.980716181,69.01266581,0.0,0.0,0.0,0.0
38,4,0,0,,,,0.003585139,72.54436056,0.0,0.581359863,0.0,-0.050976515,1.954990816,82.5168231,0.0,0.0,0.0,0.0
39,4,0,0,,,,0.003592979,73.67705005,0.0,0.581359863,-0.013823007,-0.053563356,1.887558889,95.07556013,1550.7862,676.3501,0.0,0.0
40,4,0,0,,,,0.003601864,74.94863409,0.0,0.581359863,-0.005026548,-0.089506388,1.840409231,110.0859487,1297.5692,654.3797,0.0,0.0
41,4,0,0,,,,0.003610992,76.05709875,0.0,0.581359863,-0.003141593,-0.13165307,1.839331102,124.4882912,1169.4618,648.2729,0.0,0.0
42,4,0,0,,,,0.003629664,77.40232545,0.0,0.581359863,0.016964599,-0.155519247,1.875324202,142.3247041,0.0,0.0,0.0,0.0
43,4,0,0,,,,0.003657158,77.9822795,0.0,0.581359863,-0.000628,-0.124925375,1.86871047,158.1545392,0.0,0.0,0.0,0.0
44,4,0,0,,,,0.003698959,77.30447168,8.632980347,0.581359863,-0.007539822,-0.10866046,1.874231291,175.9590997,0.0,0.0,0.0,0.0
45,4,0,0,,,,0.003736694,77.10590768,2.034347057,0.581359863,-0.005026548,-0.110420465,1.874512625,192.7195953,0.0,0.0,0.0,0.0
46,4,0,0,,,,0.003768102,76.88101087,10.36051941,0.581359863,-0.001884956,-0.121203184,1.887761068,211.0914146,1371.1811,664.9011,0.0,0.0
47,4,0,0,,,,0.003779073,76.72218303,16.42106628,0.581359863,0.006283185,-0.127201796,1.92038722,227.6362,0.0,0.0,0.0,0.0
48,4,0,0,,,,0.003780368,76.95919227,14.38200378,0.581359863,0.006911504,-0.102826357,1.963337851,247.211741,0.0,0.0,0.0,0.0
49,4,0,0,,,,0.003782384,77.28348094,15.96794128,0.581359863,0.010053096,-0.058647871,1.984044027,264.2211277,0.0,0.0,0.0,0.0
50,4,0,0,,,,0.003789979,76.80844624,13.70231628,0.581359863,0.010053096,0.009021997,1.954060984,283.6421577,0.0,0.0,0.0,0.0
51,4,0,0,,,,0.003805245,76.21372932,14.38200378,0.581359863,-0.00816814,0.084438562,1.936938238,300.911327,0.0,0.0,0.0,0.0
52,4,0,0,,,,0.003836967,76.01953241,14.43864441,0.581359863,-0.008796459,0.149996042,1.933247042,318.0742891,1250.186,656.2089,0.0,0.0
53,4,0,0,,,,0.003900572,76.20010629,14.43864441,0.581359863,-0.011309734,0.196743727,1.938601446,338.069522,1363.6422,665.8737,0.0,0.0
54,4,0,0,,,,0.003982021,76.43046193,11.4650116,0.581359863,-0.012566371,0.214170218,1.94699378,355.1240802,0.0,0.0,0.0,0.0
55,4,0,0,,,,0.004102929,76.89028744,14.60856628,0.581359863,-0.011309734,0.210175753,1.951762152,375.0284924,0.0,0.0,0.0,0.0
56,4,0,0,,,,0.004222039,77.37526477,14.66520691,0.654602051,-0.003769911,0.186856508,1.936186743,392.0686564,1405.6078,653.4109,0.0,0.0
57,4,0,0,,,,0.00433442,77.34939885,15.93962097,0.581359863,0.005654867,0.155599833,1.895221663,411.3263603,1272.0296,652.4357,0.0,0.0
58,4,0,0,,,,0.004369122,76.46576922,0.0,0.654602051,0.003141593,0.139487505,1.850603056,428.4778031,1270.7204,659.8352,0.0,0.0
59,4,0,0,,,,0.004317482,76.0846126,3.337081432,0.508117676,-0.024504423,0.119145632,1.782410097,448.3827304,0.0,0.0,0.0,0.0
60,4,0,0,,,,0.004215526,76.27488193,6.02751112,0.654602051,-0.016336281,0.061870813,1.717092943,465.310969,0.0,0.0,0.0,0.0
61,4,0,0,,,,0.004081585,76.93771402,7.698409557,0.581359863,-0.003141593,-0.036806345,1.659567785,484.2919361,1622.1491,668.2068,0.0,0.0
62,4,0,0,,,,0.003982083,77.61844694,8.519699097,0.581359863,0.037699111,-0.129417181,1.628256273,501.182137,1591.3147,670.8959,0.0,0.0
63,4,0,0,,,,0.003904386,78.36702726,7.896651745,0.581359863,0.030159289,-0.164954901,1.610829782,520.9373856,1601.0781,658.6967,0.0,0.0
64,4,0,0,,,,0.00386644,79.00071813,6.055831432,0.581359863,0.026389377,-0.141999483,1.61153264,537.950627,0.0,0.0,0.0,0.0
65,4,0,0,,,,0.003851993,79.70804482,9.001144409,0.581359863,0.008796459,-0.064279318,1.629588079,557.8800634,1431.224,671.0713,0.0,0.0
66,4,0,0,,,,0.00386284,80.31674869,8.661300659,0.654602051,-0.030787608,0.011598349,1.656011534,575.0579721,1541.9738,678.1656,0.0,0.0
67,4,0,0,,,,0.003905222,80.97456141,7.245284557,0.654602051,-0.028274333,0.034361601,1.676742506,594.3863327,1520.2352,675.9476,0.0,0.0
68,4,0,0,,,,0.003971224,81.50690349,7.783370495,0.654602051,-0.000628,0.009068251,1.688551855,611.3939549,0.0,0.0,0.0,0.0
69,4,0,0,,,,0.004078368,81.5648014,7.924972057,0.581359863,0.00439823,-0.021247625,1.708556128,631.1238637,0.0,0.0,0.0,0.0
70,4,0,0,,,,0.004202631,80.44732796,7.38688612,0.581359863,0.00816814,-0.037216902,1.758061838,648.0390645,591.9586,652.5745,0.0,0.0
71,4,0,0,,,,0.004392997,79.18874212,7.245284557,0.581359863,0.012566371,-0.038393259,1.837389898,667.1271595,1490.8547,631.6079,0.0,0.0
72,4,0,0,,,,0.004611039,78.21001216,6.93376112,0.581359863,0.003769911,-0.014496565,1.921088648,684.2204303,1070.7602,614.781,0.0,0.0
73,4,0,0,,,,0.004906467,77.20264223,6.650557995,0.581359863,-0.010053096,0.02431798,1.983140421,704.3556945,0.0,0.0,0.0,0.0
74,4,0,0,,,,0.00516264,76.37014703,6.848800182,0.581359863,-0.030159289,0.032552481,1.987834883,721.7241508,0.0,0.0,0.0,0.0
75,4,0,0,,,,0.005365049,75.43011638,6.82047987,0.654602051,-0.030787608,-0.016704798,1.951897573,741.4117876,1842.8476,723.7545,0.0,0.0
76,4,0,0,,,,0.005391941,74.6217911,6.735518932,0.654602051,0.023876105,-0.094195604,1.886243773,759.7729664,0.0,0.0,0.0,0.0
77,4,0,0,,,,0.005242229,73.74633253,6.70719862,0.654602051,0.013194689,-0.146832705,1.813401651,779.7460219,0.0,0.0,0.0,0.0
78,4,0,0,,,,0.005025065,73.62351922,6.735518932,0.581359863,0.011938052,-0.172713518,1.790898275,797.6426932,0.0,0.0,0.0,0.0
79,4,0,0,,,,0.004803783,73.60727319,6.763839245,0.581359863,0.028274333,-0.168988466,1.801543665,815.6208898,1576.785,683.7761,0.0,0.0
80,4,0,0,,,,0.004591232,73.70430986,6.622237682,0.581359863,0.022619467,-0.105330706,1.833316278,836.7268173,1347.9906,662.7725,0.0,0.0
81,4,0,0,,,,0.00445067,73.85149221,6.990401745,0.581359863,0.019477874,-0.011535883,1.851737928,854.8417861,0.0,0.0,0.0,0.0
82,4,0,0,,,,0.004346228,74.06053439,6.962081432,0.581359863,-0.032044243,0.109068155,1.864216757,875.0082681,0.0,0.0,0.0,0.0
83,4,0,0,,,,0.004309952,74.38627188,7.896651745,0.581359863,-0.006283185,0.168291807,1.863686991,892.7301797,1595.201,696.9428,0.0,0.0
84,4,0,0,,,,0.004330088,74.57277152,7.755050182,0.654602051,-0.005026548,0.229670763,1.842029047,913.129533,1441.464,671.4717,0.0,0.0
85,4,0,0,,,,0.004383607,74.77064885,7.698409557,0.581359863,-0.027017696,0.270175219,1.812038374,930.4191223,0.0,0.0,0.0,0.0
86,4,0,0,,,,0.004450226,75.03992353,6.14079237,0.581359863,-0.006911504,0.265326262,1.788293791,950.3866525,1350.4504,664.3414,0.0,0.0
