Time,Drive,Stimulus,Failure,Palm.EDA,Heart.Rate,Breathing.Rate,Perinasal.Perspiration,Speed,Acceleration,Brake,Steering,LaneOffset,Lane.Position,Distance,Gaze.X.Pos,Gaze.Y.Pos,Lft.Pupil.Diameter,Rt.Pupil.Diameter
1,4,0,0,,,,,0.01788028399814,0.0,193.0755615,0.054454712,-0.099999189,1.924999189,8.06e-06,,,,
2,4,0,0,,,,,0.18991821179066,0.0,179.598999,0.051386841,-0.099973917,1.924973917,1.51e-05,,,,
3,4,0,0,,,,,0.75578024316292,0.0,32.52868652,0.050619873,-0.099607229,1.924607229,0.028786789,,,,
4,4,0,0,,,,,5.89086040809502,23.53271484,0.0,0.055988647,-0.098189116,1.923189116,0.170711854,,,,
5,4,0,0,,,,,18.2214861743782,18.12194824,0.0,0.037581421,-0.081444979,1.906444979,0.390014303,,,,
6,4,0,0,,,,,22.5600497787858,5.894165039,0.0,0.025309937,-0.037260294,1.862260294,1.912477824,,,,
7,4,0,0,,,,,22.4908468552204,0.0,42.34313965,0.029144775,0.015178442,1.809821558,5.579582998,,,,
8,4,0,0,,,,,22.0431576445546,0.0,49.0814209,-0.008628387,0.083203554,1.741796446,9.736282,,,,
9,4,0,0,,,,,21.5593927764326,0.0,0.0,0.025309937,0.145635843,1.679364157,14.78995246,,,,
10,4,0,0,,,,,24.4017672737794,13.32641602,0.0,0.023009033,0.206760168,1.618239832,19.15529132,,,,
11,4,0,0,,,,,28.2784327724744,14.24926758,0.0,-0.066917938,0.269673586,1.555326414,24.06594341,,,,
12,4,0,0,,,,,31.662316576802,13.89770508,0.0,0.038348389,0.268861532,1.556138468,28.29521428,,,,
13,4,0,0,,,,,33.5007811128536,0.0,1.181030273,-0.017832001,0.296859026,1.528140974,33.43547374,,,,
14,4,0,0,,,,,34.0530176526318,7.695922852,0.0,-0.017832001,0.307755232,1.517244768,38.0544905,,,,
15,4,0,0,,,,,35.532530875173,8.753356934,0.0,-0.024734711,0.266298532,1.558701468,44.47109917,,,,
16,4,0,0,,,,,37.0113463361704,8.841247559,0.0,0.018407227,0.215355158,1.609644842,50.4038888,,,,
17,4,0,0,,,,,38.514418863999,8.442993164,0.0,0.03451355,0.201844454,1.623155546,57.68594349,,,,
18,4,0,0,,,,,39.9315052085778,9.764099121,0.0,0.001533936,0.204202414,1.620797586,64.19107013,,,,
19,4,0,0,,,,,40.8741806358232,0.0,0.0,-0.017832001,0.2180264,1.6069736,71.72881282,,,,
20,4,0,0,,,,,40.7157410967298,5.75958252,0.0,0.059823486,0.201154947,1.623845053,78.52551245,,,,
21,4,0,0,,,,,42.5611293031426,16.97662354,0.0,-0.015531097,0.231291533,1.593708467,86.54724395,,,,
22,4,0,0,,,,,45.2563055978564,16.8447876,0.0,-0.036239227,0.279974699,1.545025301,94.14108381,,,,
23,4,0,0,,,,,47.9802232726576,16.58111572,0.0,-0.020132904,0.248891115,1.576108885,102.6676195,,,,
24,4,0,0,,,,,49.841941999226,12.27172852,0.0,0.010737549,0.153260469,1.671739531,110.337813,,,,
25,4,0,0,,,,,51.5058397839508,12.71118164,0.0,0.032212646,0.098581553,1.726418447,119.3437771,,,,
26,4,0,0,,,,,52.7041945653574,7.739868164,0.0,-0.034705292,0.099636316,1.725363684,127.2719741,,,,
27,4,0,0,,,,,53.5451223840082,8.486938477,0.0,0.012271484,0.036426306,1.788573694,136.3180957,,,,
28,4,0,0,,,,,54.2931891764236,8.311157227,0.0,0.014572388,-0.037939787,1.862939787,144.4258983,,,,
29,4,0,0,,,,,54.9947505972712,5.982055664,0.0,-0.027035614,-0.043166876,1.868166876,154.5529416,,,,
30,4,0,0,,,,,55.1012473842992,0.0,0.0,-0.007094452,-0.048252821,1.873252821,163.0371188,,,,
31,4,0,0,,,,,55.2129876907284,5.715637207,0.0,-0.010162323,-0.067947626,1.892947626,174.0890589,,,,
32,4,0,0,,,,,55.7513478894774,7.915649414,0.0,0.016106323,-0.06264472,1.88764472,183.2241789,,,,
33,4,0,0,,,,,56.3896221596656,7.608032227,0.0,0.038348389,-0.027443171,1.852443171,194.9294963,,,,
34,4,0,0,,,,,56.9624693076096,7.915649414,0.0,-0.025501678,0.105945349,1.719054651,204.9978975,,,,
35,4,0,0,,,,,57.6916758583234,8.486938477,0.0,-0.010929291,0.232056856,1.592943144,216.7027316,,,,
36,4,0,0,,,,,58.3205357952862,8.267211914,0.0,0.017640259,0.263581038,1.561418962,227.0586332,,,,
37,4,0,0,,,,,58.7996650882854,5.806274414,0.0,-0.001725677,0.299901247,1.525098753,239.0299738,,,,
38,4,0,0,,,,,59.0590692276898,6.509399414,0.0,-0.017832001,0.296561003,1.528438997,249.6196682,,,,
39,4,0,0,,,,,59.486869828394,7.212524414,0.0,0.032979614,0.195380449,1.629619551,261.8257305,,,,
40,4,0,0,,,,,59.8929390121828,7.080688477,0.0,0.013038452,0.130676985,1.694323015,273.0546126,,,,
41,4,0,0,,,,,60.2320501246788,5.715637207,0.0,-0.000959,0.104093313,1.720906687,285.2881821,,,,
42,4,0,0,,,,,60.4288151946418,5.894165039,0.0,0.021475098,0.087918043,1.737081957,296.0412,,,,
43,4,0,0,,,,,60.756261778631,6.553344727,0.0,-0.004793549,0.142546415,1.682453585,308.4306195,,,,
44,4,0,0,,,,,61.0393358171676,6.201782227,0.0,-0.017832001,0.205790758,1.619209242,319.8820267,,,,
45,4,0,0,,,,,61.3375727996898,6.465454102,0.0,0.021475098,0.234856367,1.590143633,331.9490815,,,,
46,4,0,0,,,,,61.7082769300994,7.695922852,0.0,-0.013997162,0.266622305,1.558377695,343.5886412,,,,
47,4,0,0,,,,,62.270308894815,9.676208496,0.0,-0.013997162,0.252954721,1.572045279,356.4039928,,,,
48,4,0,0,,,,,63.0899700739424,10.33538818,0.0,0.017640259,0.203439951,1.621560049,367.7170175,,,,
49,4,0,0,,,,,63.8396500687738,7.256469727,0.0,0.023776001,0.215710402,1.609289598,380.7405481,,,,
50,4,0,0,,,,,64.20557524796,6.992797852,0.0,-0.078422455,0.305612326,1.519387674,392.1832629,,,,
51,4,0,0,,,,,64.5194178395282,7.080688477,0.0,0.008436646,0.234601736,1.590398264,405.310429,,,,
52,4,0,0,,,,,64.8053733208678,7.036743164,0.0,-0.000959,0.149390459,1.675609541,416.8527247,,,,
53,4,0,0,,,,,65.1470909365212,7.388305664,0.0,-0.001725677,0.069895506,1.755104494,430.6723236,,,,
54,4,0,0,,,,,65.5697012547914,9.324645996,0.0,-0.000959,-0.023175478,1.848175478,441.7864582,,,,
55,4,0,0,,,,,66.2062349111158,9.148864746,0.0,0.017640259,-0.084616423,1.909616423,455.7276371,,,,
56,4,0,0,,,,,66.5341497164846,5.58380127,0.0,0.037581421,-0.039229155,1.864229155,467.4698001,,,,
57,4,0,0,,,,,66.7182076631152,7.212524414,0.0,-0.037773163,0.1108253,1.7141747,480.9349401,,,,
58,4,0,0,,,,,66.9798951823918,6.509399414,0.0,-0.033938324,0.110743761,1.714256239,492.7641854,,,,
59,4,0,0,,,,,67.1208188741394,5.671691895,0.0,0.043717163,-0.074932814,1.899932814,506.3324027,,,,
60,4,0,0,,,,,67.441874221813,8.267211914,0.0,0.065192261,-0.152006388,1.977006388,518.2447953,,,,
61,4,0,0,,,,,67.5792771926294,5.58380127,0.0,-0.077655487,0.002253771,1.822746229,531.915302,,,,
62,4,0,0,,,,,67.7548017104704,7.739868164,0.0,-0.024734711,-0.074994326,1.899994326,544.5195443,,,,
63,4,0,0,,,,,68.0625366636178,6.465454102,0.0,0.050619873,-0.2999084,2.1249084,557.7920138,,,,
64,4,0,0,,,,,68.1561285555208,5.75958252,0.0,0.083599487,-0.353764772,2.178764772,570.6173817,,,,
65,4,0,0,,,,,68.2433075654852,5.58380127,0.0,-0.065384003,-0.165189028,1.990189028,584.7462301,,,,
