Time,Drive,Stimulus,Failure,Palm.EDA,Heart.Rate,Breathing.Rate,Perinasal.Perspiration,Speed,Acceleration,Brake,Steering,LaneOffset,Lane.Position,Distance,Gaze.X.Pos,Gaze.Y.Pos,Lft.Pupil.Diameter,Rt.Pupil.Diameter
1,4,0,0,56.0887,90.0,17.9,0.006421634,-6.678761e-10,0.0,0.215148925780994,-0.180955738,-0.099999189,1.924999189,0.0,0.0,0.0,0.0,0.0
2,4,0,0,56.9223,92.0,17.9,0.006410831,1.44679666e-09,0.0,2.70538330078099,-0.183469012,-0.099999189,1.924999189,0.0,0.0,0.0,0.0,0.0
3,4,0,0,58.0312,97.0,17.9,0.006399286,-4.9728606e-09,0.0,110.005187988281,-0.179070786,-0.099999189,1.924999189,0.0,0.0,0.0,0.0,0.0
4,4,0,0,58.2835,97.0,17.9,0.006377472,-7.9823264e-09,0.0,144.575500488281,-0.136345118,-0.099999189,1.924999189,0.0,0.0,0.0,0.0,0.0
5,4,0,0,58.6662,94.0,17.9,0.006347862,1.3470233494839,0.0,47.309875488281,-0.010053096,-0.100199461,1.924999189,3e-11,0.0,0.0,0.0,0.0
6,4,0,0,59.5788,91.0,17.9,0.006311949,8.25301126124262,0.0,0.0,-0.001884956,-0.100650549,1.925233793,0.101317184,0.0,0.0,0.0,0.0
7,4,0,0,57.6316,89.0,17.9,0.00629486,14.0292942252356,11.2101287841797,0.0,0.007539822,-0.103289366,1.925770712,0.922482732,0.0,0.0,0.0,0.0
8,4,0,0,58.691,87.0,17.9,0.006298967,18.859666282083,12.8810272216797,0.0,-0.055920348,-0.101601839,1.927312803,3.36169106,0.0,0.0,0.0,0.0
9,4,0,0,59.3113,86.0,17.9,0.006314771,21.8979516921878,14.3820037841797,0.0,0.061575215,-0.113831282,1.928003263,6.612179133,0.0,0.0,0.007142,0.0
10,4,0,0,59.7514,86.0,17.9,0.006324929,25.5421978208624,14.0704803466797,0.0,-0.003141593,-0.106828451,1.930318308,11.22643619,0.0,0.0,0.007879,0.005796
11,4,0,0,60.081,87.0,17.9,0.006311854,28.7100891908846,16.1945037841797,0.0,0.069115035,-0.095713854,1.939502668,15.96544619,0.0,0.0,0.0,0.0
12,4,0,0,60.3158,84.0,18.2,0.006279137,32.2577312420716,16.9591522216797,0.0,-0.032672562,-0.039213419,1.930881929,22.00402235,0.0,0.0,0.0,0.0
13,4,0,0,60.5525,81.0,18.2,0.006253769,35.273609714796,17.0724334716797,0.0,-0.025132742,-0.005406618,1.921458197,28.03026982,0.0,0.0,0.007262,0.006684
14,4,0,0,60.6715,81.0,18.2,0.006227049,38.359120853146,17.4122772216797,0.0,0.009424778,0.002160788,1.875858736,35.5335787,0.0,0.0,0.008362,0.0
15,4,0,0,60.7711,79.0,18.2,0.006181632,40.8138799374018,17.3839569091797,0.0,-0.013194689,0.006295443,1.838510466,42.81935634,0.0,0.0,0.0,0.0
16,4,0,0,60.7312,79.0,18.2,0.006097371,43.1683202012084,17.1573944091797,0.0,0.032672562,-0.010462999,1.82293458,51.70143849,0.0,0.0,0.005723,0.0
17,4,0,0,60.891,78.0,18.2,0.006022351,45.2610526197742,17.1290740966797,0.0,0.019477874,-0.006499529,1.822742414,60.14821502,0.0,0.0,0.0,0.0
18,4,0,0,60.9711,75.0,18.5,0.005968096,47.6235643996036,16.8741912841797,0.0,-0.017592918,0.010981321,1.818852854,70.21303455,0.0,0.0,0.0,0.0
19,4,0,0,61.213,73.0,18.5,0.005956646,49.420658388665,17.0441131591797,0.0,-0.017592918,-0.00165391,1.835462999,79.59278983,0.0,0.0,0.007532,0.0
20,4,0,0,61.2332,74.0,18.7,0.005977191,51.330561302009,17.2989959716797,0.0,0.017592918,-0.023323774,1.832352591,90.61866811,979.419,611.6682,0.007199,0.0
21,4,0,0,61.355,73.0,18.7,0.0060029,52.8529767286986,17.6671600341797,0.0,-0.010681415,-0.019713163,1.815514994,100.8415719,0.0,0.0,0.0,0.0
22,4,0,0,61.4772,73.0,18.6,0.006005147,54.5121237578368,17.6388397216797,0.0,0.003769911,-0.030706644,1.819210958,113.2555102,0.0,0.0,0.0,0.0
23,4,0,0,61.7025,76.0,18.6,0.005972323,55.9262209464864,17.6671600341797,0.0,-0.001256637,-0.030781984,1.84130187,123.7992041,0.0,0.0,0.0,0.0
24,4,0,0,61.8261,73.0,18.9,0.005916512,57.4726895366292,17.6388397216797,0.0,0.006283185,-0.028230429,1.845773172,137.0307684,0.0,0.0,0.0,0.0
25,4,0,0,61.9502,73.0,18.9,0.005873981,58.71720603114,17.6388397216797,0.0,-0.002513274,-0.028517485,1.84619565,148.6918997,0.0,0.0,0.0,0.0
26,4,0,0,62.1581,73.0,19.1,0.005841659,59.9234145848674,17.2140350341797,0.0,-0.00816814,-0.03294301,1.856282187,162.1507573,0.0,0.0,0.0,0.005909
27,4,0,0,62.2417,72.0,19.1,0.005827477,60.999668740474,16.7325897216797,0.0,0.003769911,-0.044167757,1.856522036,174.4060045,0.0,0.0,0.0,0.0
28,4,0,0,62.3675,70.0,19.3,0.005829555,62.1820438539384,16.2228240966797,0.0,0.016336281,-0.049153566,1.852715445,188.5096416,0.0,0.0,0.0,0.0
29,4,0,0,62.4095,73.0,19.3,0.005845805,63.1564822936816,15.0050506591797,0.0,0.016964599,-0.024831533,1.852389765,201.317135,0.0,0.0,0.007538,0.0
30,4,0,0,61.6819,73.0,19.4,0.005869202,64.21912025807,15.4015350341797,0.0,0.009424778,0.004992247,1.856374693,216.0002373,0.0,0.0,0.0,0.0
31,4,0,0,60.891,72.0,19.4,0.00588272,65.1115870292868,15.2316131591797,0.0,-0.010053096,0.017669439,1.859872293,229.2683006,0.0,0.0,0.0,0.0
32,4,0,0,60.6914,77.0,19.3,0.005883865,65.9836604371444,7.75505018234253,0.0,-0.00816814,0.016844034,1.872367811,244.4418782,1255.7851,565.6053,0.0,0.006888
33,4,0,0,61.1524,76.0,19.3,0.005876173,66.5947538237762,11.0685272216797,0.0,-0.008796459,0.000506,1.874553633,258.1423146,0.0,0.0,0.0,0.0
34,4,0,0,61.6204,77.0,19.5,0.005869972,67.3918593303204,11.3517303466797,0.0,0.011938052,-0.033900023,1.852210951,273.7858744,0.0,0.0,0.0,0.0
35,4,0,0,62.0124,79.0,19.5,0.00587318,67.7089451121368,11.7198944091797,0.0,-0.003141593,-0.055577517,1.823928308,287.8835376,0.0,0.0,0.0,0.0
36,4,0,0,62.2626,75.0,19.6,0.005878272,68.022453443787,11.6915740966797,0.0,0.012566371,-0.076767206,1.812668276,303.9544615,0.0,0.0,0.0,0.0
37,4,0,0,62.6417,73.0,19.6,0.005872488,68.2760794893224,11.5499725341797,0.0,0.000628,-0.073263407,1.805078936,318.4188172,0.0,0.0,0.0,0.006241
38,4,0,0,62.833,75.0,19.5,0.005851884,68.584527267436,11.5499725341797,0.0,-0.006911504,-0.068164587,1.811148596,334.8679096,0.0,0.0,0.0,0.0
39,4,0,0,62.9826,77.0,19.5,0.005829396,68.7938990379154,11.4933319091797,0.0,-0.001884956,-0.067089319,1.828138781,349.6215638,0.0,0.0,0.0,0.0
40,4,0,0,63.1114,76.0,19.3,0.00581008,69.0362915683828,11.8331756591797,0.0,0.008796459,-0.067141771,1.858900023,366.9983811,0.0,0.0,0.0,0.0
41,4,0,0,63.3706,78.0,19.3,0.005805985,69.3830197997526,11.7198944091797,0.0,-0.014451326,-0.060550451,1.8764009,381.3799636,0.0,0.0,0.0,0.0
42,4,0,0,63.5882,77.0,19.5,0.005823804,69.9019723076122,9.59587097167969,0.0,0.013823007,-0.066497564,1.899816942,398.9751654,0.0,0.0,0.0,0.0
43,4,0,0,63.7194,74.0,19.5,0.005862786,70.4401165490266,8.37809753417969,0.0,-0.005026548,-0.048482656,1.899989557,414.0720858,0.0,0.0,0.0,0.0
44,4,0,0,64.0057,73.0,19.3,0.005934285,71.0093383367526,9.36930847167969,0.0,-0.010053096,-0.033226728,1.897100401,431.1404426,0.0,0.0,0.008376,0.0
45,4,0,0,64.1387,74.0,19.3,0.00601523,71.4914111447986,6.87712049484253,0.0,-0.003769911,-0.04021287,1.892248106,446.3665155,0.0,0.0,0.0,0.0
46,4,0,0,64.2277,73.0,19.5,0.006104689,71.981435315543,6.25407361984253,0.0,0.000628,-0.051309347,1.892077875,463.5498002,0.0,0.0,0.0,0.0
47,4,0,0,64.317,76.0,19.5,0.006161619,72.4262988309434,6.82047986984253,0.0,0.008796459,-0.05764699,1.892141771,480.7825231,0.0,0.0,0.006852,0.0
48,4,0,0,64.25,76.0,19.7,0.006179323,72.802525331096,7.86833143234253,0.0,-0.001884956,-0.054353476,1.885916662,496.1517846,0.0,0.0,0.0,0.0
49,4,0,0,64.3393,76.0,19.7,0.006172681,73.2217289340806,9.53923034667969,0.0,-0.002513274,-0.057263136,1.891385031,513.5294633,0.0,0.0,0.0,0.0
50,4,0,0,64.4513,78.0,19.5,0.006152917,73.490495489402,9.31266784667969,0.0,-0.002513274,-0.062508345,1.884618711,529.0725528,0.0,0.0,0.0,0.0
51,4,0,0,64.699,79.0,19.5,0.006126463,73.8361388163976,9.25602722167969,0.0,-0.006911504,-0.073001623,1.862665606,546.6800409,0.0,0.0,0.0,0.0
52,4,0,0,64.8803,75.0,19.6,0.006110047,74.1408443801158,9.11442565917969,0.0,0.003769911,-0.093218565,1.85855813,562.434189,0.0,0.0,0.005925,0.0
53,4,0,0,65.0627,72.0,19.6,0.006108203,74.491129429913,9.17106628417969,0.0,0.006911504,-0.109218359,1.868447733,580.9314938,0.0,0.0,0.0,0.0
54,4,0,0,65.3151,71.0,19.8,0.006122972,74.7815665047242,9.19938659667969,0.0,0.00439823,-0.110820055,1.875857782,596.2135291,0.0,0.0,0.0,0.0
55,4,0,0,65.3612,70.0,19.8,0.00614995,75.0919506246324,8.46305847167969,0.0,0.009424778,-0.101304293,1.881936502,614.9138986,0.0,0.0,0.0,0.0
56,4,0,0,65.5463,71.0,19.6,0.006171683,75.3271471039436,7.18864393234253,0.0,-0.003769911,-0.083506823,1.880609465,631.0221092,0.0,0.0,0.0,0.004996
57,4,0,0,65.7557,73.0,19.6,0.006187855,75.4605622268004,6.59391736984253,0.0,0.011938052,-0.069867373,1.8802423,649.2299279,0.0,0.0,0.0,0.0
58,4,0,0,65.7791,73.0,19.7,0.006193951,75.5878799305454,9.17106628417969,0.0,-0.001884956,-0.039467096,1.884019327,665.4892586,0.0,0.0,0.0,0.0
59,4,0,0,65.9196,76.0,19.7,0.006187035,75.733119067503,9.36930847167969,0.0,0.005654867,-0.013043642,1.889090014,683.8444123,0.0,0.0,0.006786,0.0
60,4,0,0,66.2024,81.0,19.9,0.006163328,75.8536458553434,9.17106628417969,0.0,-0.001256637,0.015598536,1.898001623,700.2195228,0.0,0.0,0.0,0.0
