Time,Drive,Stimulus,Failure,Palm.EDA,Heart.Rate,Breathing.Rate,Perinasal.Perspiration,Speed,Acceleration,Brake,Steering,LaneOffset,Lane.Position,Distance,Gaze.X.Pos,Gaze.Y.Pos,Lft.Pupil.Diameter,Rt.Pupil.Diameter
1,4,0,0,128.7565,90.0,18.1,0.005365263,-3.0255592e-12,47.2618865966797,0.0,-0.052778754,-0.099999666,1.924999666,0.0,0.0,0.0,0.0,0.0
2,4,0,0,129.1156,96.0,17.8,0.005364054,6.276426e-09,0.0,0.0,-0.074769907,-0.099999666,1.924999666,0.0,0.0,0.0,0.004793,0.005013
3,4,0,0,129.1156,102.0,17.8,0.005356967,1.1104446e-08,0.0,129.634094238281,-0.007539822,-0.099999666,1.924999666,2e-11,0.0,0.0,0.0,0.0
4,4,0,0,129.1156,103.0,17.8,0.005358347,6.5661072e-09,0.0,120.625305175781,0.00816814,-0.099999666,1.924999666,5e-11,0.0,0.0,0.0,0.0
5,4,0,0,129.5672,101.0,17.8,0.005376178,1.3035654e-08,4.97965955734253,0.0,-0.003769911,-0.099999666,1.924999666,0.0,0.0,0.0,0.0,0.0
6,4,0,0,130.8489,98.0,17.5,0.005404164,5.5361296e-09,19.6212615966797,0.0,-0.02136283,-0.099999666,1.924999666,0.0,943.2004,861.4677,0.005339,0.005293
7,4,0,0,132.1563,99.0,17.5,0.005406626,0.06734448670152,20.1310272216797,0.0,0.027646014,-0.099999666,1.924999666,0.0,0.0,0.0,0.0,0.0
8,4,0,0,132.3452,97.0,17.3,0.005360066,1.260614127075,25.0870819091797,0.0,0.043982297,-0.099999666,1.924999666,0.001708486,915.1027,887.0096,0.005014,0.005114
9,4,0,0,132.062,92.0,17.3,0.005290641,2.12240963630056,29.4484100341797,0.0,0.09738937,-0.099949121,1.924949121,0.045409454,924.6888,837.653,0.005139,0.005187
10,4,0,0,132.4398,91.0,17.1,0.005212448,6.41230200166562,28.5988006591797,0.0,0.103672557,-0.099450827,1.924450827,0.331053955,824.2655,834.0437,0.005411,0.00541
11,4,0,0,132.7246,95.0,17.1,0.005157075,14.5255531223713,22.1417694091797,0.0,0.038327429,-0.097832441,1.922832441,0.77832014,849.1725,826.7857,0.005733,0.005714
