Feature,Group,Total_Tests,Normal_Count_P>=0.05,Mean_W_statistic,Mean_P_value
Brake,MD,10.0,4.0,0.8049,0.108306
AU09_r,ND,10.0,3.0,0.7754,0.049026
AU25_r,ND,10.0,3.0,0.8025,0.041391
gaze_1_z,ND,10.0,3.0,0.8035,0.16369
AU01_r,MD,10.0,2.0,0.8021,0.094631
AU12_r,CD_ED,10.0,2.0,0.7854,0.026662
AU20_r,ND,10.0,2.0,0.7452,0.029491
AU23_r,MD,10.0,2.0,0.7703,0.025341
Brake,CD_ED,10.0,2.0,0.751,0.026676
Brake,ND,10.0,2.0,0.7818,0.055209
Steering,CD_ED,10.0,2.0,0.6668,0.120606
Steering,MD,10.0,2.0,0.6236,0.074047
pose_Tx,ND,10.0,2.0,0.4742,0.114017
pose_Ty,ND,10.0,2.0,0.476,0.120303
pose_Tz,ND,10.0,2.0,0.4748,0.142469
AU01_r,CD_ED,10.0,1.0,0.7656,0.080223
AU01_r,ND,10.0,1.0,0.7529,0.017
AU02_r,CD_ED,10.0,1.0,0.7503,0.105835
AU04_r,CD_ED,10.0,0.0,0.6675,0.005937
AU04_r,ND,10.0,0.0,0.7567,0.003351
AU12_r,ND,10.0,0.0,0.5857,4.6e-05
