Feature,Metric,Comparison,Welch_F,P_value,Result,ND_Value,CD_Value,ED_Value,MD_Value
AU01_r,std,ND_vs_CD_vs_ED_vs_MD,1.7015,0.2197934662170965,기각하지 못함 (차이 없음),0.2615,0.4703,0.2912,0.6828
AU02_r,std,ND_vs_CD_vs_ED_vs_MD,1.2222,0.342052425098051,기각하지 못함 (차이 없음),0.1889,0.3085,0.2572,0.3745
AU04_r,std,ND_vs_CD_vs_ED_vs_MD,0.7901,0.5174332202333642,기각하지 못함 (차이 없음),0.2458,0.2159,0.1499,0.3068
AU05_r,std,ND_vs_CD_vs_ED_vs_MD,4.426,0.024796621146811575,기각 (차이 있음),0.1175,0.117,0.1941,0.1688
AU06_r,std,ND_vs_CD_vs_ED_vs_MD,1.4026,0.28232405612802863,기각하지 못함 (차이 없음),0.2646,0.2948,0.337,0.3446
AU07_r,std,ND_vs_CD_vs_ED_vs_MD,0.9361,0.44700914649617485,기각하지 못함 (차이 없음),0.3369,0.2882,0.3955,0.4358
AU09_r,std,ND_vs_CD_vs_ED_vs_MD,1.6763,0.21930306790879225,기각하지 못함 (차이 없음),0.1317,0.1682,0.2049,0.261
AU10_r,std,ND_vs_CD_vs_ED_vs_MD,3.7801,0.03399544569242428,기각 (차이 있음),0.2597,0.3674,0.3608,0.4193
AU12_r,std,ND_vs_CD_vs_ED_vs_MD,5.7904,0.007831488083411046,기각 (차이 있음),0.1731,0.2839,0.3317,0.3626
AU14_r,std,ND_vs_CD_vs_ED_vs_MD,1.2996,0.31092741531657175,기각하지 못함 (차이 없음),0.3146,0.4083,0.328,0.4299
AU15_r,std,ND_vs_CD_vs_ED_vs_MD,1.0788,0.3871087038262514,기각하지 못함 (차이 없음),0.1952,0.2069,0.1749,0.248
AU17_r,std,ND_vs_CD_vs_ED_vs_MD,0.6552,0.5914646083472125,기각하지 못함 (차이 없음),0.2691,0.3084,0.3111,0.3235
AU20_r,std,ND_vs_CD_vs_ED_vs_MD,3.0385,0.06388350990003652,기각하지 못함 (차이 없음),0.179,0.1291,0.1669,0.2179
AU23_r,std,ND_vs_CD_vs_ED_vs_MD,1.7489,0.20645431120774427,기각하지 못함 (차이 없음),0.2037,0.2392,0.2816,0.3377
AU25_r,std,ND_vs_CD_vs_ED_vs_MD,4.6658,0.019411416227371896,기각 (차이 있음),0.3244,0.4663,0.6832,0.5357
AU26_r,std,ND_vs_CD_vs_ED_vs_MD,2.054,0.14897532016665055,기각하지 못함 (차이 없음),0.3324,0.4249,0.4207,0.4995
AU45_r,std,ND_vs_CD_vs_ED_vs_MD,1.3798,0.2898070597483905,기각하지 못함 (차이 없음),0.3138,0.4755,0.3783,0.3964
pose_Tx,std,ND_vs_CD_vs_ED_vs_MD,0.6804,0.5772407148275766,기각하지 못함 (차이 없음),43124.984,5.6815,4.7877,6.3076
pose_Ty,std,ND_vs_CD_vs_ED_vs_MD,0.3469,0.7918748195518643,기각하지 못함 (차이 없음),32345.02,5.6246,5.7209,5.1696
pose_Tz,std,ND_vs_CD_vs_ED_vs_MD,1.2674,0.3208343592854502,기각하지 못함 (차이 없음),67382.6617,3.7566,4.0203,5.3145
pose_Rx,std,ND_vs_CD_vs_ED_vs_MD,0.346,0.7925519367129896,기각하지 못함 (차이 없음),0.0588,0.05,0.0578,0.0626
pose_Ry,std,ND_vs_CD_vs_ED_vs_MD,0.5268,0.6704179959727706,기각하지 못함 (차이 없음),0.0335,0.0282,0.0312,0.0449
pose_Rz,std,ND_vs_CD_vs_ED_vs_MD,3.2395,0.05769264650115695,기각하지 못함 (차이 없음),0.035,0.0242,0.0452,0.0407
Speed,std,ND_vs_CD_vs_ED_vs_MD,15.3469,7.821030933560299e-05,기각 (차이 있음),12.5996,5.7978,3.5461,7.8478
Acceleration,std,ND_vs_CD_vs_ED_vs_MD,0.361,0.7819978758495173,기각하지 못함 (차이 없음),4.2929,3.6801,3.405,3.7897
Brake,std,ND_vs_CD_vs_ED_vs_MD,3.2061,0.05361429145271091,기각하지 못함 (차이 없음),53.7206,29.194,23.8425,44.1985
Steering,std,ND_vs_CD_vs_ED_vs_MD,1.531,0.25337164697941317,기각하지 못함 (차이 없음),0.0287,0.0547,0.0234,0.0481
LaneOffset,std,ND_vs_CD_vs_ED_vs_MD,8.6223,0.0014922930671659085,기각 (차이 있음),0.2697,0.1982,0.1364,0.1828
gaze_0_x,std,ND_vs_CD_vs_ED_vs_MD,0.2861,0.8346691860069843,기각하지 못함 (차이 없음),0.0401,0.0394,0.0438,0.0441
gaze_0_y,std,ND_vs_CD_vs_ED_vs_MD,0.0482,0.9854520323846069,기각하지 못함 (차이 없음),0.06,0.0615,0.0631,0.0642
gaze_0_z,std,ND_vs_CD_vs_ED_vs_MD,5.1704,0.013382416876051722,기각 (차이 있음),0.0642,0.0392,0.0212,0.0432
gaze_1_x,std,ND_vs_CD_vs_ED_vs_MD,0.4502,0.7208616997232282,기각하지 못함 (차이 없음),0.0397,0.0501,0.0423,0.043
gaze_1_y,std,ND_vs_CD_vs_ED_vs_MD,0.412,0.7466975852560437,기각하지 못함 (차이 없음),0.0559,0.0625,0.0614,0.0671
gaze_1_z,std,ND_vs_CD_vs_ED_vs_MD,5.9265,0.008681119576574015,기각 (차이 있음),0.0625,0.0416,0.0185,0.0449
gaze_angle_x,std,ND_vs_CD_vs_ED_vs_MD,0.2268,0.8762522290153769,기각하지 못함 (차이 없음),0.0316,0.0374,0.0337,0.0345
gaze_angle_y,std,ND_vs_CD_vs_ED_vs_MD,0.1884,0.9027576327652915,기각하지 못함 (차이 없음),0.0566,0.0629,0.0633,0.0634
gaze_vel,std,ND_vs_CD_vs_ED_vs_MD,1.7342,0.20546656107809788,기각하지 못함 (차이 없음),29.8136,39.5366,39.6752,38.1157
gaze_amp,std,ND_vs_CD_vs_ED_vs_MD,1.4617,0.26672202323425287,기각하지 못함 (차이 없음),1.1194,1.4487,1.4452,1.4204
gaze_acc,std,ND_vs_CD_vs_ED_vs_MD,3.0526,0.06399422896921385,기각하지 못함 (차이 없음),878.285,1260.7865,1222.6835,1170.8683
