experiment,ablation,removed_type,removed_name,removed_group,num_features,acc_mean,acc_std,bacc_mean,bacc_std,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,spec_mean,spec_std,auc_mean,auc_std
4Class_ND_CD_ED_MD,baseline_all_features,baseline,none,none,39,0.551749920616514,0.009181071978180234,0.551749920616514,0.009181071978180234,0.5390600941358483,0.008392512153453536,0.551749920616514,0.009181071978180234,0.541209553486023,0.005311253617441892,0.8505833068721713,0.0030603573260601096,0.8088042569146525,0.011392078233925079
4Class_ND_CD_ED_MD,group_minus_AU,group,AU,AU,22,0.406809155803969,0.01633190025015542,0.406809155803969,0.01633190025015542,0.45815063977886805,0.030325085233450448,0.406809155803969,0.01633190025015542,0.3946668243778128,0.030607181532247233,0.802269718601323,0.005443966750051789,0.7264128668096316,0.020109658193899604
4Class_ND_CD_ED_MD,group_minus_POSE,group,POSE,POSE,33,0.5523886642043393,0.011873109660619574,0.5523886642043392,0.011873109660619606,0.5398109084053089,0.010147320424716595,0.5523886642043392,0.011873109660619606,0.5416799726928192,0.008892998413775168,0.8507962214014464,0.003957703220206533,0.8091506803943368,0.01066512652797765
4Class_ND_CD_ED_MD,group_minus_VEHICLE,group,VEHICLE,VEHICLE,34,0.5455318479341427,0.010011518813171992,0.5455318479341427,0.010011518813172025,0.5330203800782591,0.01486025228771978,0.5455318479341427,0.010011518813172025,0.5345526806948493,0.010667110097277445,0.8485106159780476,0.0033371729377240046,0.8007075064352074,0.014133432058457056
4Class_ND_CD_ED_MD,group_minus_GAZE,group,GAZE,GAZE,28,0.5438133002640625,0.012295389426199904,0.5438133002640625,0.0122953894261999,0.5466667901881411,0.015025617766138418,0.5438133002640625,0.0122953894261999,0.5386397064883883,0.013132554742655825,0.8479377667546875,0.004098463142066678,0.8129297102752258,0.011397998363241919
4Class_ND_CD_ED_MD,feature_minus_AU01_r,feature,AU01_r,AU,38,0.5505832201419028,0.0071407783518194256,0.5505832201419026,0.007140778351819402,0.5383750303857127,0.00848029718607782,0.5505832201419026,0.007140778351819402,0.5405401394706286,0.005179643401939966,0.8501944067139675,0.00238025945060646,0.808761588431252,0.010318656476662087
4Class_ND_CD_ED_MD,feature_minus_AU02_r,feature,AU02_r,AU,38,0.5533112456539986,0.00992137173804436,0.5533112456539986,0.00992137173804439,0.5401914375498671,0.005098546013255031,0.5533112456539986,0.00992137173804439,0.5424533978890346,0.003828429356576665,0.8511037485513329,0.0033071239126814663,0.8093665345459368,0.01017811916664027
4Class_ND_CD_ED_MD,feature_minus_AU04_r,feature,AU04_r,AU,38,0.5518360457912591,0.009007702984475237,0.5518360457912591,0.009007702984475242,0.5383196337005326,0.00801033410390499,0.5518360457912591,0.009007702984475242,0.5408304900528803,0.005100637605846476,0.8506120152637531,0.0030025676614916837,0.8100451797744401,0.010931241893425793
4Class_ND_CD_ED_MD,feature_minus_AU05_r,feature,AU05_r,AU,38,0.5501341560727651,0.010389227477099455,0.5501341560727651,0.010389227477099425,0.5386469399090819,0.01025626901134609,0.5501341560727651,0.010389227477099425,0.5403222204710942,0.007968540314547409,0.8500447186909217,0.0034630758256997967,0.8084066157198441,0.01183040247207176
4Class_ND_CD_ED_MD,feature_minus_AU06_r,feature,AU06_r,AU,38,0.5523629336278933,0.011379532540362983,0.5523629336278935,0.01137953254036295,0.5395038756682182,0.008725726170660923,0.5523629336278935,0.01137953254036295,0.5415930912833856,0.005888423674995474,0.850787644542631,0.0037931775134543225,0.8084567276318049,0.011978614175042014
