frame,face_id,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.0,0.98,1,0.12456,0.258409,-0.957972,-0.161003,0.265263,-0.950639,-0.019,0.268,-8.5,12.5,282.2,0.035,0.048,0.095,0.15,0.39,0.79,0.0,0.51,2.26,0.02,0.0,0.0,0.53,0.0,0.57,0.0,0.19,0.17,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2,0,0.037,0.98,1,0.109311,0.295649,-0.949022,-0.147823,0.288889,-0.945881,-0.02,0.299,-9.0,12.6,283.2,0.053,0.05,0.102,0.13,0.29,0.86,0.0,0.56,2.19,0.01,0.0,0.0,0.51,0.05,0.61,0.03,0.13,0.1,0.0,0.15,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3,0,0.074,0.98,1,0.10717,0.308001,-0.945331,-0.145978,0.2977,-0.943432,-0.021,0.31,-9.0,12.4,281.6,0.072,0.048,0.108,0.23,0.21,1.01,0.0,0.67,1.9,0.0,0.0,0.0,0.51,0.1,0.61,0.15,0.07,0.05,0.0,0.63,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0.111,0.98,1,0.092388,0.357232,-0.929435,-0.299394,0.333381,-0.893991,-0.113,0.362,-10.3,13.1,282.4,0.086,0.058,0.112,0.34,0.09,1.06,0.0,0.72,1.57,0.0,0.0,0.0,0.57,0.1,0.53,0.2,0.04,0.02,0.0,1.03,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
5,0,0.148,0.98,1,0.071171,0.358501,-0.930812,-0.311703,0.341507,-0.886687,-0.132,0.368,-11.2,13.3,281.4,0.101,0.066,0.116,0.49,0.05,1.21,0.0,0.81,1.4,0.0,0.0,0.0,0.57,0.06,0.49,0.26,0.0,0.04,0.0,1.6,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
6,0,0.185,0.98,1,0.044224,0.364928,-0.929985,-0.301157,0.353365,-0.885685,-0.141,0.377,-12.0,13.5,280.8,0.109,0.07,0.12,0.53,0.0,1.2,0.0,0.79,1.38,0.0,0.0,0.0,0.55,0.02,0.43,0.27,0.0,0.07,0.0,1.63,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
7,0,0.222,0.98,1,0.038397,0.371224,-0.927749,-0.291762,0.357677,-0.887098,-0.139,0.382,-12.8,13.9,280.0,0.11,0.073,0.123,0.56,0.0,1.19,0.0,0.82,1.37,0.0,0.0,0.0,0.49,0.02,0.38,0.35,0.0,0.12,0.0,1.68,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
8,0,0.259,0.98,1,0.029193,0.364982,-0.930557,-0.299358,0.354433,-0.885868,-0.148,0.377,-13.5,14.4,279.0,0.113,0.075,0.125,0.6,0.0,1.1,0.0,0.84,1.27,0.0,0.0,0.0,0.45,0.0,0.34,0.38,0.0,0.1,0.0,1.55,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
9,0,0.296,0.98,1,0.023345,0.363608,-0.93126,-0.304653,0.350099,-0.885786,-0.154,0.374,-13.4,14.4,278.8,0.114,0.075,0.125,0.63,0.0,1.11,0.0,0.88,1.31,0.0,0.0,0.0,0.4,0.07,0.32,0.38,0.0,0.13,0.0,1.53,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
10,0,0.333,0.98,1,0.035106,0.376248,-0.925854,-0.292691,0.377146,-0.878688,-0.142,0.395,-15.0,16.3,280.2,0.132,0.081,0.123,0.57,0.0,1.11,0.0,0.87,1.41,0.0,0.0,0.0,0.34,0.14,0.29,0.38,0.0,0.12,0.06,1.54,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
