frame,face_id,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.0,0.98,1,0.224668,0.298351,-0.927637,0.017527,0.252842,-0.967349,0.127,0.283,-53.8,-0.3,308.2,0.111,-0.073,-0.004,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.39,0.63,0.73,0.0,0.06,0.0,0.81,0.33,0.0,1.05,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0,0.04,0.98,1,0.228467,0.324282,-0.917956,0.068169,0.301639,-0.950982,0.157,0.323,-53.9,0.5,309.0,0.125,-0.067,-0.001,0.03,0.0,0.0,0.0,0.0,0.07,0.0,0.18,0.52,0.68,0.0,0.03,0.0,0.73,0.59,0.0,1.22,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
3,0,0.08,0.98,1,0.230524,0.335249,-0.913492,0.070013,0.30841,-0.948673,0.16,0.333,-54.1,1.4,309.2,0.129,-0.065,0.001,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.49,0.64,0.0,0.01,0.0,0.69,0.68,0.0,1.25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4,0,0.12,0.98,1,0.166957,0.251385,-0.953379,0.062832,0.286417,-0.956043,0.12,0.275,-53.9,2.2,308.1,0.131,-0.068,0.001,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.53,0.67,0.0,0.03,0.0,0.59,0.68,0.0,1.34,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
5,0,0.16,0.98,1,0.194104,0.314534,-0.929189,0.040741,0.291694,-0.955643,0.124,0.311,-54.5,3.0,310.0,0.147,-0.064,0.006,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.58,0.72,0.0,0.02,0.0,0.47,0.66,0.0,1.33,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
6,0,0.2,0.98,1,0.12859,0.303326,-0.944171,0.036545,0.286346,-0.957429,0.087,0.301,-54.5,4.8,310.2,0.175,-0.062,0.017,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.63,0.82,0.0,0.04,0.0,0.31,0.65,0.0,1.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,0,0.24,0.98,1,0.150873,0.357631,-0.921595,-0.004455,0.300796,-0.953678,0.078,0.338,-54.4,5.6,310.4,0.213,-0.044,0.028,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.89,0.0,0.03,0.0,0.19,0.63,0.0,1.62,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,0,0.28,0.98,1,0.126342,0.358251,-0.925037,0.002468,0.307717,-0.951475,0.069,0.341,-54.3,6.0,312.3,0.228,-0.034,0.032,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.95,0.0,0.09,0.0,0.1,0.52,0.0,1.63,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,0,0.32,0.98,1,0.118116,0.369349,-0.921754,-0.007948,0.306931,-0.951699,0.059,0.346,-53.3,5.8,311.5,0.24,-0.029,0.037,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.95,0.0,0.1,0.02,0.08,0.46,0.0,1.56,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,0,0.36,0.98,1,0.100202,0.374985,-0.9216,-0.021318,0.327668,-0.944553,0.042,0.36,-52.3,5.2,311.6,0.251,-0.024,0.039,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,1.13,0.0,0.17,0.1,0.14,0.36,0.0,1.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
