Time,Drive,Stimulus,Failure,Palm.EDA,Heart.Rate,Breathing.Rate,Perinasal.Perspiration,Speed,Acceleration,Brake,Steering,LaneOffset,Lane.Position,Distance,Gaze.X.Pos,Gaze.Y.Pos,Lft.Pupil.Diameter,Rt.Pupil.Diameter
1,4,0,0,69.4811,79.0,14.4,0.006067387,-0.01780772690424,0.0,263.6810303,0.055988647,-0.099996805,1.924996805,8.06e-06,,,,
2,4,0,0,71.77,79.0,14.4,0.006039779,0.02322647124464,0.0,261.630249,0.055988647,-0.099995852,1.924995852,1.51e-05,,,,
3,4,0,0,74.3937,81.0,13.9,0.006001713,0.85549268844022,0.0,76.18103027,0.055988647,-0.099713564,1.924713564,0.004712303,,,,
4,4,0,0,74.096,82.0,13.9,0.00597442,1.05136999656968,11.12640381,0.0,0.055988647,-0.099202394,1.924202394,0.091878271,,,,
5,4,0,0,73.8302,79.0,13.7,0.005957159,13.3513668136289,23.57666016,0.0,0.055988647,-0.091430902,1.916430902,0.268177488,,,,
6,4,0,0,73.3913,79.0,13.7,0.005946617,23.2415178977172,28.10577393,0.0,0.055988647,-0.054006815,1.879006815,0.685315373,,,,
7,4,0,0,72.4155,78.0,13.5,0.005923209,32.3403458097412,29.42687988,0.0,-0.077655487,-0.001273394,1.826273394,3.049438278,,,,
8,4,0,0,74.5734,80.0,13.5,0.005888894,39.312639433949,28.85284424,0.0,-0.025501678,0.000716,1.824284029,6.754659404,,,,
9,4,0,0,75.3012,84.0,14.0,0.005845035,44.8507603025178,35.80444336,0.0,-0.010162323,0.000198,1.824801874,12.55197541,,,,
10,4,0,0,76.2939,83.0,14.0,0.005811637,49.8473357666096,40.90759277,0.0,-0.010162323,-0.043081522,1.868081522,18.88715702,,,,
11,4,0,0,77.5398,80.0,14.4,0.005778979,55.2506884114364,40.02593994,0.0,0.054454712,-0.133819818,1.958819818,27.01228498,,,,
12,4,0,0,77.7025,79.0,14.4,0.005751026,60.0600454909122,40.02593994,0.0,0.054454712,-0.146054506,1.971054506,35.62791295,,,,
13,4,0,0,78.0628,80.0,14.7,0.005719216,65.3386492283152,44.86541748,0.0,-0.019365936,0.047996283,1.777003717,45.47146166,,,,
14,4,0,0,78.6262,79.0,14.7,0.005696869,68.828469656697,0.0,35.31188965,-0.052345551,0.183482885,1.641517115,55.68664526,,,,
15,4,0,0,79.7435,80.0,15.0,0.005684375,68.1438543768352,0.0,92.00134277,0.025309937,0.089340925,1.735659075,67.19144714,,,,
16,4,0,0,78.9615,80.0,15.0,0.005686629,67.4810317814626,3.606262207,0.0,0.018407227,0.023242235,1.801757765,78.42107871,,,,
17,4,0,0,79.538,80.0,15.6,0.005703471,68.2001244832266,13.15063477,0.0,-0.015531097,0.073201418,1.751798582,92.09336799,,,,
18,4,0,0,79.6064,80.0,15.6,0.005728529,69.2118379893412,12.9309082,0.0,-0.012463226,0.071615934,1.753384066,104.7903664,,,,
19,4,0,0,79.6407,81.0,16.2,0.005762173,70.3716557565088,14.07348633,0.0,-0.001725677,0.005231142,1.819768858,119.9845564,,,,
20,4,0,0,79.2996,82.0,16.2,0.005789207,71.0244024028886,7.915649414,0.0,0.019941162,-0.074536562,1.899536562,133.3015984,,,,
21,4,0,0,75.4239,83.0,16.6,0.005817625,71.2785403151044,7.168579102,0.0,0.005368774,-0.107897997,1.932897997,148.4059491,,,,
22,4,0,0,76.4514,85.0,16.6,0.005848047,71.4278722128962,6.421508789,0.0,-0.004793549,-0.099722624,1.924722624,161.5419329,,,,
23,4,0,0,78.1616,86.0,17.4,0.005899726,72.8070521148348,19.44030762,0.0,0.005368774,-0.105980158,1.930980158,176.6513467,,,,
24,4,0,0,79.2657,87.0,17.4,0.005962699,74.3942694351786,18.47351074,0.0,-0.012463226,-0.093595743,1.918595743,189.3755498,,,,
25,4,0,0,80.2272,87.0,18.0,0.00604543,75.4827490225622,6.904907227,0.0,0.009203613,-0.118698835,1.943698835,205.4629137,,,,
26,4,0,0,79.9846,84.0,18.0,0.00611608,75.0021285473058,0.0,0.0,0.009203613,-0.148380995,1.973380995,218.489933,,,,
27,4,0,0,80.1578,83.0,18.3,0.006187238,74.175428984062,0.0,16.70837402,0.009203613,-0.123266935,1.948266935,234.9100887,,,,
28,4,0,0,80.8224,82.0,18.3,0.006235328,73.468750489657,0.0,15.97595215,0.003067871,-0.049063921,1.874063921,248.0908484,,,,
29,4,0,0,81.4266,84.0,18.3,0.00626942,72.6609743347098,0.0,15.6829834,-0.007094452,0.064903498,1.760096502,263.9395827,,,,
30,4,0,0,81.8947,85.0,18.3,0.006283921,71.9688083212492,0.0,0.0,0.001533936,0.133033514,1.691966486,277.8341186,,,,
31,4,0,0,79.7435,86.0,18.6,0.006289316,71.3412199399138,5.75958252,0.0,-0.020132904,0.187963247,1.637036753,293.9022065,,,,
32,4,0,0,76.8321,85.0,18.6,0.006287455,71.2868342901954,4.309387207,0.0,-0.020132904,0.180104017,1.644895983,308.2104623,,,,
33,4,0,0,77.8331,85.0,18.5,0.006281879,71.2180463510424,5.58380127,0.0,0.001533936,0.100067377,1.724932623,324.8224806,,,,
34,4,0,0,79.0289,86.0,18.5,0.006275181,71.2378284870696,5.671691895,0.0,0.001533936,0.041311026,1.783688974,339.4904387,,,,
35,4,0,0,80.5062,86.0,18.8,0.006257814,71.260645886617,5.58380127,0.0,0.003067871,-0.017481565,1.842481565,356.1986389,,,,
36,4,0,0,81.1412,86.0,18.8,0.006227065,71.277459466267,5.58380127,0.0,0.008436646,-0.03587985,1.86087985,370.7054073,,,,
37,4,0,0,81.606,85.0,19.0,0.006173328,71.2971568866366,5.627746582,0.0,-0.001725677,-0.02650094,1.85150094,387.1565176,,,,
38,4,0,0,82.222,82.0,19.0,0.006110939,71.325214860493,5.671691895,0.0,0.0,-0.059233904,1.884233904,401.4400816,,,,
39,4,0,0,82.5887,79.0,18.9,0.006026173,71.3446727788838,5.58380127,0.0,0.00690271,-0.093436956,1.918436956,416.9660644,,,,
40,4,0,0,83.033,78.0,18.9,0.005950767,70.886942895958,5.05645752,0.0,0.001533936,-0.096809626,1.921809626,431.7026812,,,,
41,4,0,0,83.2945,78.0,19.1,0.005878703,71.1999982627718,8.797302246,0.0,-0.001725677,-0.082176924,1.907176924,446.9905963,,,,
42,4,0,0,83.407,80.0,19.1,0.0058335,71.5549350615588,8.486938477,0.0,-0.003259613,-0.073755503,1.898755503,461.5284104,,,,
43,4,0,0,84.0124,81.0,19.3,0.005799393,71.851557393259,7.344360352,0.0,-0.003259613,-0.080853224,1.905853224,476.7173722,,,,
44,4,0,0,84.2034,82.0,19.3,0.005784179,72.0559331608292,7.212524414,0.0,-0.001725677,-0.101042032,1.926042032,490.5662863,,,,
45,4,0,0,84.6267,82.0,19.2,0.005787934,72.2338109038984,5.938110352,0.0,-0.001725677,-0.13422513,1.95922513,506.3924353,,,,
46,4,0,0,84.5881,82.0,19.2,0.005811,72.3115421546456,6.817016602,0.0,0.0,-0.16934371,1.99434371,520.2435395,,,,
47,4,0,0,85.0152,82.0,19.3,0.005850014,72.4798855560056,6.817016602,0.0,0.00690271,-0.20993495,2.03493495,536.0771284,,,,
48,4,0,0,85.3679,82.0,19.3,0.005879845,72.615062648668,6.817016602,0.0,0.010737549,-0.231660128,2.056660128,549.9342489,,,,
49,4,0,0,85.7633,82.0,19.5,0.005895842,72.7446752390662,5.806274414,0.0,-0.003259613,-0.207690954,2.032690954,565.1139035,,,,
50,4,0,0,85.8428,81.0,19.5,0.005890929,72.7908459322876,6.421508789,0.0,-0.005560516,-0.187143564,2.012143564,579.6364246,,,,
51,4,0,0,86.1623,81.0,19.4,0.005867981,72.8940791226362,6.465454102,0.0,-0.005560516,-0.191618681,2.016618681,594.8235824,,,,
52,4,0,0,86.3632,82.0,19.4,0.005841781,72.9584085462532,5.320129395,0.0,-0.003259613,-0.221647024,2.046647024,608.6935011,,,,
53,4,0,0,85.5652,82.0,19.5,0.005815027,72.8743089600986,5.627746582,0.0,0.00690271,-0.272880316,2.097880316,624.5412802,,,,
54,4,0,0,85.1325,83.0,19.5,0.005799886,72.9398620453846,6.597290039,0.0,0.00690271,-0.296984434,2.121984434,638.3399483,,,,
55,4,0,0,85.9623,84.0,19.7,0.005795521,73.0471855342772,6.421508789,0.0,-0.003259613,-0.298500776,2.123500776,654.1289023,,,,
56,4,0,0,86.4842,82.0,19.7,0.005800599,73.139297831171,6.685180664,0.0,0.0,-0.306778669,2.131778669,668.001235,,,,
57,4,0,0,86.3632,82.0,19.5,0.005812271,73.1609382881896,5.58380127,0.0,0.003067871,-0.321136713,2.146136713,683.9163782,,,,
58,4,0,0,86.8086,85.0,19.5,0.005827575,73.1524674788194,5.627746582,0.0,0.00690271,-0.327974081,2.152974081,697.8813471,,,,
59,4,0,0,87.2174,87.0,19.6,0.005852597,73.140168805979,5.938110352,0.0,0.00690271,-0.308393717,2.133393717,713.8779268,,,,
60,4,0,0,87.6716,87.0,19.6,0.005880924,73.1942236719538,6.289672852,0.0,0.001533936,-0.26501298,2.09001298,727.9043395,,,,
61,4,0,0,86.89,85.0,19.8,0.005918677,73.275545199307,6.597290039,0.0,0.001533936,-0.203254461,2.028254461,743.9557534,,,,
62,4,0,0,84.7041,83.0,19.8,0.005951124,73.2948588564602,5.850219727,0.0,-0.000959,-0.147198915,1.972198915,757.3444715,,,,
63,4,0,0,85.5652,79.0,19.6,0.005965373,73.3563793863214,6.992797852,0.0,-0.007094452,-0.082482576,1.907482576,774.1067386,,,,
64,4,0,0,86.5651,79.0,19.6,0.00593657,73.5201112560982,8.267211914,0.0,-0.007094452,-0.046932459,1.871932459,787.5379241,,,,
65,4,0,0,87.0944,79.0,19.7,0.005861271,73.8027541685422,8.399047852,0.0,-0.005560516,-0.034391642,1.859391642,804.3520569,,,,
66,4,0,0,87.5887,79.0,19.7,0.005785438,74.0528552283954,8.311157227,0.0,-0.005560516,-0.045961618,1.870961618,817.8205841,,,,
67,4,0,0,87.9631,79.0,19.9,0.005718114,74.2965332352812,8.047485352,0.0,-0.001725677,-0.078701735,1.903701735,833.9899427,,,,
68,4,0,0,88.2566,80.0,19.9,0.00568857,74.5146093464582,8.267211914,0.0,0.001533936,-0.115765333,1.940765333,848.1508409,,,,
69,4,0,0,88.5944,81.0,19.7,0.005685611,74.745819072161,7.300415039,0.0,0.001533936,-0.155833483,1.980833483,864.3507123,,,,
70,4,0,0,88.6792,83.0,19.7,0.005698934,74.8174908359402,6.597290039,0.0,0.001533936,-0.184734583,2.009734583,878.5351465,,,,
71,4,0,0,89.0631,85.0,19.8,0.005716379,74.6733423487006,5.276184082,0.0,0.001533936,-0.211745977,2.036745977,894.7305194,,,,
72,4,0,0,91.6187,87.0,19.8,0.00571944,74.6347157585972,5.627746582,0.0,0.001533936,-0.230486155,2.055486155,908.9034816,,,,
73,4,0,0,88.2145,90.0,19.6,0.00569994,74.6748184836288,7.036743164,0.0,-0.017832001,-0.238562346,2.063562346,925.1173478,,,,
74,4,0,0,84.9762,92.0,19.6,0.005670068,74.7917034959832,6.641235352,0.0,-0.004793549,-0.23795867,2.06295867,939.3196179,,,,
75,4,0,0,82.9958,91.0,19.2,0.005642616,74.7822492833126,4.089660645,0.0,0.032979614,-0.304794073,2.129794073,955.5677348,,,,
76,4,0,0,84.8983,89.0,19.2,0.005639372,74.388247059591,5.276184082,0.0,0.042183228,-0.279563189,2.104563189,969.7941941,,,,
77,4,0,0,86.5247,85.0,19.1,0.005660735,74.4813127455942,8.003540039,0.0,0.001533936,-0.110710859,1.935710859,985.3733216,,,,
78,4,0,0,87.0944,83.0,19.1,0.005690619,74.6499581396052,7.915649414,0.0,-0.037773163,0.071626902,1.753373098,1000.273534,,,,
79,4,0,0,87.838,83.0,18.7,0.005722046,74.8379827713744,7.959594727,0.0,-0.041608002,0.1885674,1.6364326,1015.850193,,,,
80,4,0,0,87.8796,82.0,18.7,0.005741846,75.0265196399722,8.841247559,0.0,-0.041608002,0.163500071,1.661499929,1030.080005,,,,
81,4,0,0,87.1764,79.0,18.3,0.005754532,75.2848480965206,9.104919434,0.0,-0.017832001,0.015327215,1.809672785,1046.354908,,,,
82,4,0,0,87.382,79.0,18.3,0.005750628,75.5379750535352,9.500427246,0.0,0.054454712,-0.165663481,1.990663481,1060.605095,,,,
