frame,face_id,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.0,0.88,1,0.229655,-0.056832,-0.971611,-0.046911,0.052799,-0.997503,0.093,-0.002,-41.9,32.2,273.0,-0.249,-0.063,-0.041,0.0,0.0,0.0,0.0,1.21,0.0,0.72,1.67,0.97,0.46,0.61,0.28,0.0,1.74,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2,0,0.037,0.88,1,0.21079,-0.032815,-0.976981,-0.058364,0.054801,-0.99679,0.077,0.011,-41.6,31.9,271.4,-0.236,-0.058,-0.042,0.0,0.0,0.0,0.0,1.2,0.0,0.66,1.8,0.92,0.31,0.76,0.35,0.0,1.61,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3,0,0.074,0.88,1,0.23105,-0.033119,-0.972378,-0.073541,0.05171,-0.995951,0.08,0.009,-41.8,31.9,272.2,-0.231,-0.053,-0.044,0.0,0.0,0.0,0.0,1.2,0.0,0.63,1.88,0.93,0.15,0.85,0.39,0.0,1.44,0.07,0.0,0.12,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
4,0,0.111,0.88,1,0.172355,-0.056097,-0.983436,-0.00495,0.065596,-0.997834,0.084,0.005,-42.3,32.8,275.6,-0.233,-0.051,-0.05,0.0,0.0,0.0,0.0,1.19,0.0,0.65,1.9,0.96,0.09,0.93,0.39,0.0,1.25,0.16,0.0,0.27,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5,0,0.148,0.88,1,0.172343,-0.040817,-0.984191,0.005347,0.046277,-0.998914,0.089,0.003,-42.4,32.9,276.1,-0.237,-0.049,-0.052,0.0,0.0,0.0,0.0,1.15,0.0,0.69,1.85,0.98,0.14,0.89,0.43,0.0,1.12,0.14,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6,0,0.185,0.88,1,0.168285,-0.036016,-0.98508,-0.040975,0.03622,-0.998503,0.064,0.0,-42.1,33.0,275.1,-0.242,-0.049,-0.051,0.0,0.0,0.0,0.0,1.17,0.14,0.79,1.83,0.92,0.21,0.81,0.51,0.0,1.01,0.09,0.04,0.6,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7,0,0.222,0.88,1,0.154214,0.009009,-0.987996,0.055841,0.051554,-0.997108,0.105,0.03,-42.2,32.9,274.2,-0.229,-0.045,-0.049,0.0,0.0,0.0,0.0,1.18,0.19,0.88,1.84,0.86,0.35,0.63,0.57,0.0,0.94,0.03,0.11,0.58,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8,0,0.259,0.88,1,0.218218,-0.005382,-0.975885,0.027231,0.059335,-0.997867,0.124,0.027,-42.2,33.0,274.6,-0.233,-0.042,-0.05,0.0,0.0,0.0,0.0,1.15,0.19,0.87,1.86,0.77,0.4,0.57,0.51,0.0,0.94,0.05,0.11,0.35,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
9,0,0.296,0.88,1,0.229129,-0.000622,-0.973396,-0.025874,0.03857,-0.998921,0.103,0.019,-41.8,32.9,272.1,-0.229,-0.047,-0.048,0.0,0.0,0.0,0.0,1.06,0.05,0.78,1.85,0.68,0.5,0.51,0.52,0.0,0.99,0.05,0.07,0.12,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
10,0,0.333,0.88,1,0.244205,0.012825,-0.969639,-0.039785,0.053113,-0.997796,0.104,0.034,-41.7,33.1,272.0,-0.231,-0.049,-0.048,0.0,0.0,0.0,0.0,0.98,0.0,0.65,1.82,0.58,0.5,0.46,0.53,0.0,1.03,0.03,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
