frame,face_id,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.0,0.98,1,0.144033,0.055789,-0.987999,-0.103217,0.03644,-0.993991,0.021,0.046,-20.2,30.9,245.7,-0.166,0.083,0.0,0.0,0.0,1.05,0.0,1.46,1.79,0.8,1.13,0.0,1.14,0.0,0.0,0.0,0.41,1.11,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,0,0.04,0.98,1,0.086814,0.063168,-0.99422,-0.075495,-0.002286,-0.997144,0.006,0.031,-20.8,31.0,245.0,-0.18,0.093,0.013,0.0,0.0,1.37,0.0,1.64,1.79,0.76,1.25,0.0,1.39,0.0,0.0,0.0,0.59,0.89,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,0,0.08,0.98,1,0.100621,0.066581,-0.992694,-0.097587,-0.005854,-0.99521,0.002,0.031,-20.9,31.1,244.6,-0.183,0.086,0.023,0.0,0.0,1.54,0.0,1.77,1.85,0.78,1.37,0.0,1.51,0.0,0.0,0.0,0.74,0.66,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0.12,0.98,1,0.104963,0.082266,-0.991068,-0.065295,0.011911,-0.997795,0.02,0.047,-20.9,31.0,245.6,-0.179,0.082,0.035,0.0,0.0,1.61,0.0,1.87,1.95,0.84,1.48,0.0,1.44,0.0,0.0,0.0,0.79,0.45,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0.16,0.98,1,0.101826,0.094551,-0.990299,-0.085814,0.022538,-0.996056,0.008,0.059,-21.1,31.1,247.0,-0.176,0.082,0.043,0.0,0.0,1.65,0.0,1.97,2.01,0.88,1.57,0.0,1.46,0.0,0.0,0.0,0.82,0.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0.2,0.88,1,0.116854,0.088011,-0.989242,-0.070544,0.023061,-0.997242,0.023,0.056,-21.2,31.1,246.7,-0.172,0.077,0.049,0.0,0.0,1.67,0.04,2.0,1.97,0.89,1.6,0.0,1.48,0.0,0.0,0.0,0.9,0.16,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0.24,0.98,1,0.125815,0.086579,-0.988269,-0.061464,0.022913,-0.997846,0.032,0.055,-21.3,31.2,247.9,-0.17,0.072,0.056,0.0,0.0,1.65,0.04,2.03,1.83,0.9,1.67,0.01,1.55,0.0,0.0,0.0,0.96,0.07,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0.28,0.88,1,0.13882,0.084378,-0.986717,-0.06832,0.029166,-0.997237,0.036,0.057,-21.2,31.1,248.2,-0.167,0.07,0.062,0.0,0.0,1.75,0.1,2.05,1.79,0.97,1.73,0.02,1.58,0.0,0.0,0.0,0.96,0.04,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0,0.32,0.88,1,0.115777,0.09441,-0.988778,-0.062445,0.039892,-0.997251,0.027,0.068,-21.2,31.1,249.1,-0.154,0.065,0.069,0.0,0.0,1.91,0.1,2.09,1.87,1.03,1.83,0.07,1.57,0.0,0.0,0.0,0.86,0.02,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0,0.36,0.98,1,0.101628,0.092002,-0.990559,-0.075751,0.040841,-0.99629,0.013,0.067,-21.5,31.2,250.7,-0.148,0.061,0.077,0.0,0.0,2.11,0.1,2.07,1.95,0.95,1.78,0.06,1.61,0.0,0.01,0.0,0.94,0.02,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
