Time,Drive,Stimulus,Failure,Palm.EDA,Heart.Rate,Breathing.Rate,Perinasal.Perspiration,Speed,Acceleration,Brake,Steering,LaneOffset,Lane.Position,Distance,Gaze.X.Pos,Gaze.Y.Pos,Lft.Pupil.Diameter,Rt.Pupil.Diameter
32,4,0,0,57.4099,74.0,11.3,,63.5918120306418,11.21429443,0.0,0.017640259,-0.214328051,2.039328051,181.6214501,1304.253784,446.468811,0.0,0.008179
33,4,0,0,55.855,74.0,11.3,,64.5148184906488,10.55511475,0.0,-0.016298065,-0.115326643,1.940326643,194.4805514,0.0,0.0,0.0,0.0
34,4,0,0,52.6726,75.0,11.4,,65.3189817094828,10.99456787,0.0,-0.005560516,-0.057838202,1.882838202,204.9132699,0.0,0.0,0.0,0.0
35,4,0,0,54.3821,75.0,11.4,,66.2229056457474,11.17034912,0.0,0.001533936,-0.024236441,1.849236441,218.1319353,658.155823,769.43219,0.009211,0.008198
36,4,0,0,56.2063,74.0,11.4,,67.0700357481044,12.9309082,0.0,-0.005560516,0.008280039,1.816719961,228.858025,637.70752,784.278503,0.009577,0.008168
37,4,0,0,57.5331,75.0,11.4,,68.2430554301874,12.88696289,0.0,0.001533936,0.018887758,1.806112242,241.9049312,693.125488,763.67041,0.009431,0.008269
38,4,0,0,58.4105,75.0,11.8,,69.2406637632182,13.01879883,0.0,0.003834839,0.004387617,1.820612383,253.4758355,0.0,0.0,0.0,0.0
39,4,0,0,58.6662,76.0,11.8,,70.3029643616624,12.9309082,0.0,-0.013997162,0.006202936,1.818797064,266.8750337,1264.789063,974.140015,0.0,0.00829
40,4,0,0,59.3151,76.0,12.1,,71.2162331398512,11.21429443,0.0,0.00690271,-0.032951593,1.857951593,278.7494791,0.0,0.0,0.009493,0.007954
41,4,0,0,56.3244,77.0,12.1,,71.9433935595956,11.21429443,0.0,0.003067871,-0.090447187,1.915447187,291.912369,0.0,0.0,0.009343,0.008444
42,4,0,0,50.6812,76.0,12.4,,72.570678580341,10.77484131,0.0,0.001533936,-0.126528025,1.951528025,304.6535808,0.0,0.0,0.009394,0.007996
43,4,0,0,52.8804,79.0,12.4,,72.8663241070348,5.58380127,0.0,-0.005560516,-0.162627935,1.987627935,318.1279447,0.0,0.0,0.0,0.008469
44,4,0,0,55.855,80.0,13.0,,72.8537603437096,5.58380127,0.0,0.045251099,-0.212182283,2.037182283,330.5624897,0.0,0.0,0.008947,0.008085
45,4,0,0,56.8017,79.0,13.0,,72.842858368775,5.58380127,0.0,0.010737549,-0.180283308,2.005283308,344.9119903,1328.520752,556.6651,0.0,0.008532
