Feature,Comparison,Welch_F,P_value,Result,ND_Mean,CD_ED_Mean,MD_Mean
AU01_r,ND_vs_CD_ED_vs_MD,1.4168,0.26831990892619756,기각하지 못함 (차이 없음),0.1877,0.1879,0.4203
AU02_r,ND_vs_CD_ED_vs_MD,0.6063,0.557674525880879,기각하지 못함 (차이 없음),0.0949,0.11,0.1701
AU04_r,ND_vs_CD_ED_vs_MD,2.9828,0.07271909446433478,기각하지 못함 (차이 없음),0.5967,0.2096,0.8545
AU05_r,ND_vs_CD_ED_vs_MD,2.0432,0.162268975701629,기각하지 못함 (차이 없음),0.0523,0.0766,0.0733
AU06_r,ND_vs_CD_ED_vs_MD,3.5775,0.04597015197032402,기각 (차이 있음),0.7855,0.8436,0.4669
AU07_r,ND_vs_CD_ED_vs_MD,0.688,0.512882697363462,기각하지 못함 (차이 없음),0.5803,0.811,0.4831
AU09_r,ND_vs_CD_ED_vs_MD,1.275,0.3019641548572673,기각하지 못함 (차이 없음),0.0722,0.1084,0.093
AU10_r,ND_vs_CD_ED_vs_MD,0.6163,0.5485467579627149,기각하지 못함 (차이 없음),0.8249,0.8583,0.6432
AU12_r,ND_vs_CD_ED_vs_MD,1.3577,0.2784273356088044,기각하지 못함 (차이 없음),0.1095,0.2797,0.2122
AU14_r,ND_vs_CD_ED_vs_MD,0.4232,0.6599716667060131,기각하지 못함 (차이 없음),0.6964,0.7151,0.8846
AU15_r,ND_vs_CD_ED_vs_MD,0.0295,0.9709409740531076,기각하지 못함 (차이 없음),0.1353,0.1439,0.1403
AU17_r,ND_vs_CD_ED_vs_MD,0.5759,0.5704219861788344,기각하지 못함 (차이 없음),0.3433,0.2922,0.3231
AU20_r,ND_vs_CD_ED_vs_MD,2.2744,0.12698636402737384,기각하지 못함 (차이 없음),0.1258,0.0733,0.0986
AU23_r,ND_vs_CD_ED_vs_MD,0.4588,0.6392377553083566,기각하지 못함 (차이 없음),0.1235,0.1554,0.1411
AU25_r,ND_vs_CD_ED_vs_MD,7.5274,0.004544472236285378,기각 (차이 있음),0.294,0.7237,0.5624
AU26_r,ND_vs_CD_ED_vs_MD,4.8387,0.020871172509585353,기각 (차이 있음),0.2937,0.4287,0.5066
AU45_r,ND_vs_CD_ED_vs_MD,3.8786,0.044374670885631115,기각 (차이 있음),0.1786,0.2486,0.4673
pose_Tx,ND_vs_CD_ED_vs_MD,0.9711,0.3949640350822257,기각하지 못함 (차이 없음),-2358.6947,-34.9285,-37.6008
pose_Ty,ND_vs_CD_ED_vs_MD,1.6338,0.21774670576453084,기각하지 못함 (차이 없음),-1713.2234,29.2048,20.039
pose_Tz,ND_vs_CD_ED_vs_MD,1.8959,0.17482288107865773,기각하지 못함 (차이 없음),3886.4631,269.0966,279.0585
pose_Rx,ND_vs_CD_ED_vs_MD,2.0447,0.15373986421402291,기각하지 못함 (차이 없음),-0.0548,0.0509,0.0405
pose_Ry,ND_vs_CD_ED_vs_MD,0.4877,0.6203229310224527,기각하지 못함 (차이 없음),-0.0272,-0.0131,0.0087
pose_Rz,ND_vs_CD_ED_vs_MD,3.4441,0.05068701670180802,기각하지 못함 (차이 없음),0.0086,-0.0019,0.0454
Speed,ND_vs_CD_ED_vs_MD,3.781,0.04007115919668241,기각 (차이 있음),68.9335,72.8461,69.3949
Acceleration,ND_vs_CD_ED_vs_MD,1.2938,0.29964138377428684,기각하지 못함 (차이 없음),5.8344,5.9881,5.3425
Brake,ND_vs_CD_ED_vs_MD,0.5214,0.6005761080692387,기각하지 못함 (차이 없음),18.8754,10.622,15.2802
Steering,ND_vs_CD_ED_vs_MD,0.4218,0.6634747514419603,기각하지 못함 (차이 없음),0.0004,0.0054,0.0006
LaneOffset,ND_vs_CD_ED_vs_MD,0.9173,0.41398901208599886,기각하지 못함 (차이 없음),-0.0276,-0.0503,-0.0811
gaze_0_x,ND_vs_CD_ED_vs_MD,0.4113,0.6675277936684195,기각하지 못함 (차이 없음),0.1576,0.1679,0.1392
gaze_0_y,ND_vs_CD_ED_vs_MD,1.1269,0.343042423055447,기각하지 못함 (차이 없음),0.1379,0.2069,0.2009
gaze_0_z,ND_vs_CD_ED_vs_MD,0.9096,0.41800557001750877,기각하지 못함 (차이 없음),-0.9545,-0.9353,-0.9546
gaze_1_x,ND_vs_CD_ED_vs_MD,0.6372,0.5381359545236118,기각하지 못함 (차이 없음),-0.0241,-0.0559,-0.0536
gaze_1_y,ND_vs_CD_ED_vs_MD,0.7899,0.46645787642775216,기각하지 못함 (차이 없음),0.1503,0.2119,0.211
gaze_1_z,ND_vs_CD_ED_vs_MD,0.488,0.6201992755854049,기각하지 못함 (차이 없음),-0.9625,-0.9472,-0.96
gaze_angle_x,ND_vs_CD_ED_vs_MD,0.27,0.7658187341164467,기각하지 못함 (차이 없음),0.068,0.0591,0.0441
gaze_angle_y,ND_vs_CD_ED_vs_MD,0.963,0.39776011558670576,기각하지 못함 (차이 없음),0.1484,0.218,0.2116
gaze_vel,ND_vs_CD_ED_vs_MD,0.9375,0.40618704131060684,기각하지 못함 (차이 없음),23.5501,23.0581,26.608
gaze_amp,ND_vs_CD_ED_vs_MD,1.0197,0.37647711715146714,기각하지 못함 (차이 없음),0.8872,0.8409,0.984
gaze_acc,ND_vs_CD_ED_vs_MD,1.8875,0.17959543152872107,기각하지 못함 (차이 없음),0.084,0.243,0.3762
