frame,face_id,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,gaze_amp,gaze_vel,gaze_acc,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,emotion,Anger,Contempt,Disgust,Fear,Happiness,Neutral,Sadness,Surprise,Valence,Arousal,Distraction,Time,Drive,Stimulus,Failure,Palm_EDA,Heart_Rate,Breathing_Rate,Perinasal_Perspiration,Speed,Acceleration,Brake,Steering,LaneOffset,Lane_Position,Distance,Gaze_X_Pos,Gaze_Y_Pos,Lft_Pupil_Diameter,Rt_Pupil_Diameter
29,0,1,0.93,1,0.246926,0.323821,-0.913328,0.044041,0.48542,-0.873171,0.161,0.425,0.454473322,0,0,-70.1,69.1,272.4,0.345,0.032,-0.078,4.65,0,0,0,1.2,0,0,0,0.12,1.04,0.02,0,0.52,0,0,1.04,2.28,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,Happiness,0.003322514,0.021524245,0.001611988,0.01301251,0.824412584,0.037762146,0.090043612,0.008310501,0.522476375,-0.09126994,0,1,5,0,0,170.6368,71,19.8,0.00721935,-0.017814842,0,263.0950928,-0.122139618,-0.100002527,1.925002527,8.93E-06,0,0,0,0
30,0,1.036,0.93,1,0.220134,0.310724,-0.924658,0.039665,0.470546,-0.881483,0.143,0.408,0.432334361,0.038270835,0,-70.3,69.6,273.5,0.324,0.031,-0.08,4.72,0,0,0,1.18,0,0,0,0.05,1.02,0.04,0,0.5,0,0,0.94,2.36,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,Happiness,0.003037418,0.02359942,0.001274819,0.010568089,0.846448004,0.03701609,0.069388852,0.008667333,0.567191064,-0.083584413,0,1,5,0,0,170.6368,71,19.8,0.00721935,-0.017814842,0,263.0950928,-0.122139618,-0.100002527,1.925002527,8.93E-06,0,0,0,0
31,0,1.071,0.98,1,0.232635,0.307758,-0.922587,0.034121,0.471961,-0.880959,0.147,0.408,0.433673841,-0.403596501,4.025293414,-70.3,70.7,274.7,0.321,0.031,-0.081,4.58,0,0,0,1.2,0,0,0,0.02,1.05,0.1,0,0.49,0,0,0.85,2.44,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,Happiness,0.004103852,0.022414844,0.001520736,0.013390535,0.808095396,0.041949876,0.099197261,0.00932744,0.518042862,-0.072851852,0,1,5,0,0,170.6368,71,19.8,0.00721935,-0.017814842,0,263.0950928,-0.122139618,-0.100002527,1.925002527,8.93E-06,0,0,0,0
32,0,1.107,0.98,1,0.246685,0.289256,-0.92492,0.028696,0.458708,-0.888124,0.151,0.391,0.419144367,-0.258685938,-13.24286095,-69.8,71.5,275.3,0.317,0.031,-0.082,4.44,0,0,0,1.15,0,0,0,0,1.05,0.15,0.01,0.46,0,0,0.75,2.58,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,Happiness,0.006729823,0.024070546,0.002455104,0.020397156,0.693175316,0.046775013,0.197085813,0.009311171,0.403549016,-0.102600381,0,1,5,0,0,170.6368,71,19.8,0.00721935,-0.017814842,0,263.0950928,-0.122139618,-0.100002527,1.925002527,8.93E-06,0,0,0,0
33,0,1.143,0.93,1,0.238179,0.284328,-0.92867,0.03842,0.446539,-0.893939,0.151,0.381,0.409831673,-0.735428932,18.81258489,-69.4,71.8,274.9,0.305,0.03,-0.087,4.27,0,0,0,1.02,0,0,0,0,0.89,0.2,0.05,0.47,0,0,0.78,2.47,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,Happiness,0.005519041,0.011595296,0.002639799,0.052966096,0.54509306,0.039509002,0.328658491,0.014019228,0.225502253,-0.136615798,0,1,5,0,0,170.6368,71,19.8,0.00721935,-0.017814842,0,263.0950928,-0.122139618,-0.100002527,1.925002527,8.93E-06,0,0,0,0
34,0,1.179,0.93,1,0.195383,0.267541,-0.943529,0.044489,0.42884,-0.902284,0.129,0.361,0.383356231,-0.058175876,3.972981709,-69.4,72,275.1,0.291,0.029,-0.09,4.24,0,0,0,0.88,0,0,0,0,0.77,0.19,0.13,0.53,0,0,0.82,2.31,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,Happiness,0.007911693,0.012161863,0.003459509,0.052670725,0.559289694,0.04237685,0.305961788,0.016167909,0.258670807,-0.120291427,0,1,5,0,0,170.6368,71,19.8,0.00721935,-0.017814842,0,263.0950928,-0.122139618,-0.100002527,1.925002527,8.93E-06,0,0,0,0
35,0,1.214,0.93,1,0.205943,0.266251,-0.941646,0.04256,0.421995,-0.905599,0.134,0.357,0.381320076,0.080878483,-5.133374531,-69.5,72.1,274.9,0.287,0.033,-0.092,4.26,0,0,0,0.81,0,0,0,0,0.69,0.21,0.23,0.58,0,0,0.82,2.1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,Happiness,0.006277742,0.013782396,0.003019238,0.052333049,0.615550995,0.044332642,0.244032249,0.020671649,0.310167372,-0.112347648,0,1,5,0,0,170.6368,71,19.8,0.00721935,-0.017814842,0,263.0950928,-0.122139618,-0.100002527,1.925002527,8.93E-06,0,0,0,0
36,0,1.25,0.93,1,0.225906,0.263072,-0.937955,0.046706,0.420153,-0.90625,0.147,0.355,0.384231701,-0.103923,3.195300002,-69.6,72.2,275.1,0.285,0.033,-0.093,4.23,0,0,0,0.82,0,0,0,0,0.67,0.16,0.28,0.65,0,0,0.88,2.12,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,Happiness,0.00734624,0.012478252,0.003129008,0.054855499,0.581290722,0.042376775,0.280692458,0.017831054,0.278437823,-0.114062607,0,1,5,0,0,170.6368,71,19.8,0.00721935,-0.017814842,0,263.0950928,-0.122139618,-0.100002527,1.925002527,8.93E-06,0,0,0,0
37,0,1.286,0.93,1,0.21558,0.261979,-0.940687,0.048043,0.418609,-0.906895,0.142,0.353,0.380490473,0.0111078,-0.184036194,-69.5,72.5,275.6,0.281,0.03,-0.092,4.15,0,0,0,0.8,0,0,0,0,0.62,0.13,0.3,0.69,0,0,0.83,2.06,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,Happiness,0.007027678,0.013325733,0.003060912,0.061616965,0.575301468,0.044706013,0.274424255,0.020536901,0.272323519,-0.124759331,0,1,5,0,0,170.6368,71,19.8,0.00721935,-0.017814842,0,263.0950928,-0.122139618,-0.100002527,1.925002527,8.93E-06,0,0,0,0
38,0,1.321,0.93,1,0.211907,0.262702,-0.94132,0.044974,0.421363,-0.905776,0.138,0.355,0.380879246,0.004666534,-0.641373369,-68.9,72.4,275.5,0.278,0.026,-0.092,4.05,0,0,0,0.76,0,0,0,0,0.65,0.12,0.26,0.74,0,0,0.82,2.07,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,Happiness,0.006848435,0.01242819,0.002794189,0.058705673,0.613739073,0.040379111,0.245954975,0.019150406,0.297991425,-0.125002608,0,1,5,0,0,170.6368,71,19.8,0.00721935,-0.017814842,0,263.0950928,-0.122139618,-0.100002527,1.925002527,8.93E-06,0,0,0,0
39,0,1.357,0.93,1,0.217851,0.262086,-0.940134,0.044637,0.421042,-0.905942,0.141,0.354,0.381047241,-0.018422908,-1.743468767,-68.1,71.9,275,0.278,0.027,-0.092,4.04,0,0,0,0.72,0,0,0,0,0.75,0.09,0.23,0.86,0,0,0.76,2.05,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,Happiness,0.00571528,0.013217242,0.002103889,0.041708495,0.681911051,0.03690248,0.200853363,0.017588159,0.371475816,-0.116084099,0,1,5,0,0,170.6368,71,19.8,0.00721935,-0.017814842,0,263.0950928,-0.122139618,-0.100002527,1.925002527,8.93E-06,0,0,0,0
40,0,1.393,0.93,1,0.207862,0.264306,-0.941773,0.042064,0.42277,-0.90526,0.134,0.356,0.380384016,-0.081187783,7.363045842,-67.8,71.6,274.4,0.276,0.026,-0.09,4.07,0,0,0,0.7,0,0,0,0,0.82,0.09,0.23,0.9,0,0,0.78,2.1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,Happiness,0.005899283,0.012071354,0.002142982,0.046023257,0.690040529,0.037335306,0.187654451,0.018832827,0.382432759,-0.103545174,0,1,5,0,0,170.6368,71,19.8,0.00721935,-0.017814842,0,263.0950928,-0.122139618,-0.100002527,1.925002527,8.93E-06,0,0,0,0
41,0,1.429,0.93,1,0.199021,0.258829,-0.945197,0.04453,0.425317,-0.903948,0.131,0.354,0.377461256,0.183881867,-5.534022829,-67.5,71.7,274.5,0.279,0.028,-0.089,4.14,0,0,0,0.72,0,0,0,0,0.88,0.1,0.25,0.95,0,0,0.75,2.08,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,Happiness,0.007012322,0.012087547,0.002493151,0.057203446,0.648469388,0.039744459,0.212340564,0.020649105,0.332715839,-0.106626108,0,1,5,0,0,170.6368,71,19.8,0.00721935,-0.017814842,0,263.0950928,-0.122139618,-0.100002527,1.925002527,8.93E-06,0,0,0,0
42,0,1.464,0.93,1,0.216248,0.260819,-0.940856,0.03575,0.430952,-0.901666,0.136,0.359,0.383897122,-0.009808932,-1.325169312,-67.1,71.9,274.6,0.277,0.029,-0.089,4.19,0,0,0,0.72,0,0,0,0,0.91,0.18,0.26,0.89,0,0,0.69,2.16,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,Happiness,0.006830654,0.012184818,0.002410057,0.059558764,0.659213305,0.04180998,0.192638755,0.025353605,0.340254098,-0.106986031,0,1,5,0,0,170.6368,71,19.8,0.00721935,-0.017814842,0,263.0950928,-0.122139618,-0.100002527,1.925002527,8.93E-06,0,0,0,0
43,0,1.5,0.93,1,0.213033,0.26142,-0.941423,0.03822,0.430206,-0.901922,0.135,0.359,0.383544,-0.057515027,0.177496867,-66,72.5,275.5,0.279,0.024,-0.088,4.28,0,0,0,0.73,0,0,0,0,0.98,0.25,0.24,0.9,0,0,0.63,2.21,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,Happiness,0.005792542,0.014467333,0.003269707,0.064880289,0.574286461,0.039659984,0.279423594,0.018220076,0.273276061,-0.127116561,0,1,5,0,0,170.6368,71,19.8,0.00721935,-0.017814842,0,263.0950928,-0.122139618,-0.100002527,1.925002527,8.93E-06,0,0,0,0
