frame,face_id,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,gaze_amp,gaze_vel,gaze_acc,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,emotion,Anger,Contempt,Disgust,Fear,Happiness,Neutral,Sadness,Surprise,Valence,Arousal,Distraction,Time,Drive,Stimulus,Failure,Palm_EDA,Heart_Rate,Breathing_Rate,Perinasal_Perspiration,Speed,Acceleration,Brake,Steering,LaneOffset,Lane_Position,Distance,Gaze_X_Pos,Gaze_Y_Pos,Lft_Pupil_Diameter,Rt_Pupil_Diameter
29,0,1,0.98,1,0.086364,0.248304,-0.964824,-0.135338,0.289581,-0.947537,-0.026,0.274,0.275230812,0,0,-30.9,20.7,266.3,0.065,0.118,-0.045,0,0,0,0.63,1.1,0.98,0,0.93,0.32,0.96,0,0.67,0,1.45,0.71,0.21,0.58,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,Happiness,0.001161636,0.113587126,0.000610089,8.42E-05,0.87136054,0.011586606,0.001250295,0.000359435,0.869900465,-0.051234994,0,1,7,0,0,121.2533,0,18.9,0.006901867,-0.019789141,0,252.4017334,-0.010162323,0,1.92500062,1.05E-05,0,0,0,0
30,0,1.036,0.98,1,0.120458,0.250203,-0.960671,-0.152456,0.286793,-0.945784,-0.017,0.275,0.275524953,-0.183825453,0,-30.4,23,267.4,0.072,0.122,-0.045,0,0,0,0.86,1.03,0.8,0,0.82,0.25,0.92,0,0.57,0,1.53,0.77,0.14,0.23,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,Happiness,0.001270133,0.125249833,0.000829865,0.0001088,0.858619094,0.012096811,0.001427853,0.000397643,0.882025838,-0.046609733,0,1,7,0,0,121.2533,0,18.9,0.006901867,-0.019789141,0,252.4017334,-0.010162323,0,1.92500062,1.05E-05,0,0,0,0
31,0,1.071,0.98,1,0.106765,0.250291,-0.962266,-0.120031,0.278242,-0.952982,-0.007,0.269,0.269091063,0.053077288,-6.092320048,-29.7,24.9,268.5,0.078,0.123,-0.045,0,0,0,0.9,1.01,0.76,0,0.8,0.19,0.93,0,0.6,0,1.5,0.72,0.13,0.22,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,Happiness,0.001072842,0.118584476,0.000760497,7.18E-05,0.866494417,0.011668788,0.001037063,0.000310051,0.907630384,-0.040313262,0,1,7,0,0,121.2533,0,18.9,0.006901867,-0.019789141,0,252.4017334,-0.010162323,0,1.92500062,1.05E-05,0,0,0,0
32,0,1.107,0.98,1,0.116078,0.241501,-0.963433,-0.118739,0.290016,-0.949627,-0.001,0.271,0.271001845,-0.166246234,22.41739253,-29.1,26.2,269.4,0.082,0.121,-0.04,0,0,0,0.97,1.02,0.73,0,0.75,0.18,0.97,0,0.6,0,1.49,0.64,0.07,0.09,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,Happiness,0.000690588,0.117481358,0.000343732,4.36E-05,0.869672358,0.010657204,0.000822191,0.000289079,0.899063528,-0.044574205,0,1,7,0,0,121.2533,0,18.9,0.006901867,-0.019789141,0,252.4017334,-0.010162323,0,1.92500062,1.05E-05,0,0,0,0
33,0,1.143,0.98,1,0.123471,0.235415,-0.96402,-0.117459,0.283477,-0.951758,0.003,0.265,0.265016981,0.640779897,-22.62322315,-29.1,26.2,269,0.077,0.121,-0.038,0,0,0,0.77,0.96,0.67,0,0.66,0.13,1.03,0,0.63,0,1.43,0.58,0.03,0.06,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,Happiness,0.00065874,0.126525864,0.000288062,3.24E-05,0.861024678,0.010561161,0.000659,0.000250126,0.899996877,-0.042444225,0,1,7,0,0,121.2533,0,18.9,0.006901867,-0.019789141,0,252.4017334,-0.010162323,0,1.92500062,1.05E-05,0,0,0,0
34,0,1.179,0.98,1,0.083869,0.280366,-0.956222,-0.097388,0.285639,-0.953376,-0.007,0.288,0.288085057,-0.173656136,1.817054917,-28.4,27.3,270.7,0.084,0.126,-0.031,0,0,0,0.77,0.9,0.58,0,0.58,0.12,1,0,0.62,0,1.41,0.58,0.01,0.02,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,Happiness,0.000524177,0.141889393,0.000212699,2.15E-05,0.84768939,0.008973404,0.000455012,0.000234448,0.912554145,-0.045212481,0,1,7,0,0,121.2533,0,18.9,0.006901867,-0.019789141,0,252.4017334,-0.010162323,0,1.92500062,1.05E-05,0,0,0,0
35,0,1.214,0.98,1,0.088669,0.272262,-0.958129,-0.093447,0.282715,-0.954641,-0.002,0.282,0.282007092,-0.110059214,1.161753565,-28.1,27.6,270.9,0.08,0.121,-0.028,0,0,0,0.64,0.81,0.51,0,0.54,0.09,1.12,0,0.62,0,1.36,0.55,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,Happiness,0.000608726,0.149183691,0.000259034,3.26E-05,0.838638723,0.010351392,0.000649341,0.000276495,0.89866221,-0.0492546,0,1,7,0,0,121.2533,0,18.9,0.006901867,-0.019789141,0,252.4017334,-0.010162323,0,1.92500062,1.05E-05,0,0,0,0
36,0,1.25,0.98,1,0.091581,0.272775,-0.957709,-0.100967,0.272876,-0.956736,-0.005,0.278,0.27804496,-0.068236086,-3.794246355,-28,27.9,271.4,0.076,0.12,-0.025,0,0,0,0.64,0.83,0.48,0.01,0.63,0.12,1.14,0,0.62,0,1.34,0.53,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,Happiness,0.000739534,0.162408456,0.000303873,4.08E-05,0.823102176,0.012344471,0.000742998,0.000317804,0.885293007,-0.055491317,0,1,7,0,0,121.2533,0,18.9,0.006901867,-0.019789141,0,252.4017334,-0.010162323,0,1.92500062,1.05E-05,0,0,0,0
37,0,1.286,0.98,1,0.093239,0.270398,-0.958223,-0.126984,0.268924,-0.954754,-0.018,0.275,0.275588461,-0.204828955,7.816831768,-27.7,28.2,271.6,0.072,0.117,-0.021,0,0,0,0.59,0.84,0.37,0.03,0.68,0.15,1.22,0,0.6,0,1.3,0.51,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,Happiness,0.000593034,0.15602605,0.000282442,3.25E-05,0.831343353,0.010801767,0.000615095,0.000305754,0.891970336,-0.046779569,0,1,7,0,0,121.2533,0,18.9,0.006901867,-0.019789141,0,252.4017334,-0.010162323,0,1.92500062,1.05E-05,0,0,0,0
38,0,1.321,0.98,1,0.094705,0.261694,-0.960493,-0.124216,0.264443,-0.956368,-0.015,0.268,0.268419448,0.068760157,1.662634497,-27.7,28.2,271.6,0.068,0.116,-0.021,0,0,0,0.62,0.83,0.3,0.03,0.68,0.18,1.16,0,0.58,0,1.31,0.52,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,Happiness,0.000653146,0.150569037,0.000355664,6.30E-05,0.834900677,0.012193731,0.000828048,0.00043668,0.897358537,-0.041930486,0,1,7,0,0,121.2533,0,18.9,0.006901867,-0.019789141,0,252.4017334,-0.010162323,0,1.92500062,1.05E-05,0,0,0,0
