frame,face_id,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,gaze_amp,gaze_vel,gaze_acc,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,emotion,Anger,Contempt,Disgust,Fear,Happiness,Neutral,Sadness,Surprise,Valence,Arousal,Distraction,Time,Drive,Stimulus,Failure,Palm_EDA,Heart_Rate,Breathing_Rate,Perinasal_Perspiration,Speed,Acceleration,Brake,Steering,LaneOffset,Lane_Position,Distance,Gaze_X_Pos,Gaze_Y_Pos,Lft_Pupil_Diameter,Rt_Pupil_Diameter
28,0,1,0.98,1,0.002582,0.14401,-0.989573,-0.108562,0.291589,-0.950363,-0.055,0.221,0.227741081,0,0,-25.7,17.7,289,0.201,0.151,-0.052,2.9,1.03,0.48,0.2,0,0,0,0,0,0.43,1.08,0,0.37,0,1.2,0.51,0.65,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,Happiness,0.029115532,0.128479913,0.00566063,0.004012782,0.374854147,0.116525449,0.33741942,0.003932219,0.127002537,-0.198250443,0,1,7,0,0,0,0,0,0,0.021805953,0,260.6048584,-0.032404388,-0.099999666,1.924999666,1.39E-05,0,0,0,0
29,0,1.037,0.98,1,0.031239,0.176557,-0.983795,-0.103036,0.298614,-0.948796,-0.037,0.241,0.243823707,0,0,-26,18.2,288.4,0.207,0.153,-0.053,2.96,1.03,0.47,0.24,0,0,0,0,0,0.53,0.97,0,0.2,0,1.19,0.49,0.67,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,Happiness,0.02525414,0.115098976,0.005269396,0.003375537,0.426860809,0.104769781,0.315868795,0.003502599,0.178131223,-0.197126225,0,1,7,0,0,0,0,0,0,0.021805953,0,260.6048584,-0.032404388,-0.099999666,1.924999666,1.39E-05,0,0,0,0
30,0,1.074,0.98,1,0.06369,0.178442,-0.981887,-0.134753,0.296147,-0.945589,-0.037,0.241,0.243823707,-0.768030122,68.89048448,-26.4,18.8,288.5,0.213,0.153,-0.05,3.01,0.94,0.47,0.2,0,0,0,0,0,0.55,0.86,0,0.16,0,1.09,0.42,0.54,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Happiness,0.02058905,0.101349972,0.004718482,0.002868834,0.496624589,0.102677584,0.268062353,0.003109089,0.208341122,-0.190412775,0,1,7,0,0,0,0,0,0,0.021805953,0,260.6048584,-0.032404388,-0.099999666,1.924999666,1.39E-05,0,0,0,0
31,0,1.111,0.98,1,-0.003419,0.130778,-0.991406,-0.106148,0.279785,-0.954177,-0.056,0.208,0.215406592,1.780917803,-0.77333692,-26.6,19.5,289.6,0.224,0.151,-0.047,3.46,1.41,0.43,0.37,0,0,0,0,0,0.5,0.89,0,0.16,0,1.11,0.27,0.56,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Happiness,0.025391379,0.093644798,0.005136286,0.003687184,0.430530161,0.101447552,0.336649835,0.003512844,0.127408281,-0.195053875,0,1,7,0,0,0,0,0,0,0.021805953,0,260.6048584,-0.032404388,-0.099999666,1.924999666,1.39E-05,0,0,0,0
32,0,1.148,0.98,1,-0.017136,0.135085,-0.990686,-0.225144,0.352519,-0.908317,-0.127,0.251,0.281300551,1.752304337,-90.20499479,-26.2,19.8,287.4,0.255,0.152,-0.042,4.02,1.89,0.39,0.57,0,0,0,0,0,0.44,0.99,0,0.21,0,1.25,0.11,0.58,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Sadness,0.032190483,0.047646865,0.005794801,0.007366322,0.18963486,0.101340272,0.612369537,0.003656939,-0.114168338,-0.243123934,0,1,7,0,0,0,0,0,0,0.021805953,0,260.6048584,-0.032404388,-0.099999666,1.924999666,1.39E-05,0,0,0,0
33,0,1.185,0.98,1,-0.032929,0.269763,-0.962364,-0.114973,0.386969,-0.914897,-0.079,0.337,0.346135811,-1.58528047,43.56579921,-26.1,20.4,291.2,0.256,0.161,-0.045,4.65,2.63,0.35,0.84,0,0,0,0,0,0.4,1.11,0,0.24,0,1.55,0,0.53,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Sadness,0.039434485,0.051842924,0.008338045,0.011488045,0.209545016,0.095376767,0.579264283,0.00471044,-0.084525682,-0.232919857,0,1,7,0,0,0,0,0,0,0.021805953,0,260.6048584,-0.032404388,-0.099999666,1.924999666,1.39E-05,0,0,0,0
34,0,1.222,0.98,1,-0.013795,0.21889,-0.975652,-0.153353,0.317697,-0.935709,-0.087,0.274,0.287480434,0.026654101,19.01454926,-25.3,20.5,293.5,0.249,0.156,-0.05,4.8,2.73,0.24,0.89,0,0,0,0,0,0.36,1.16,0,0.27,0,1.78,0,0.29,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Sadness,0.036433946,0.050332725,0.007880623,0.010086346,0.199163929,0.110301979,0.580947757,0.004852637,-0.078266047,-0.244753048,0,1,7,0,0,0,0,0,0,0.021805953,0,260.6048584,-0.032404388,-0.099999666,1.924999666,1.39E-05,0,0,0,0
35,0,1.259,0.98,1,0.034667,0.242304,-0.969581,-0.181461,0.301236,-0.936124,-0.077,0.278,0.288466636,0.730192424,-165.4089512,-25.2,20.7,294.4,0.26,0.161,-0.05,4.81,2.71,0.24,1.11,0,0,0,0,0,0.29,1.16,0,0.3,0,1.93,0,0.11,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Sadness,0.037512202,0.03564157,0.00936093,0.011020066,0.140408173,0.087433919,0.674845636,0.003777534,-0.145805806,-0.25704962,0,1,7,0,0,0,0,0,0,0.021805953,0,260.6048584,-0.032404388,-0.099999666,1.924999666,1.39E-05,0,0,0,0
36,0,1.296,0.98,1,-0.039722,0.261253,-0.964453,-0.248219,0.276936,-0.928275,-0.151,0.277,0.315483756,-5.389938772,289.3481496,-23.9,19.9,292.6,0.228,0.145,-0.052,3.82,1.84,0.2,1.3,0,0,0,0,0,0.3,1.01,0,0.19,0.06,1.57,0,0.04,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Sadness,0.04645773,0.125482082,0.011939217,0.005078409,0.311126858,0.121859059,0.371644288,0.006412374,0.063309222,-0.144132972,0,1,7,0,0,0,0,0,0,0.021805953,0,260.6048584,-0.032404388,-0.099999666,1.924999666,1.39E-05,0,0,0,0
37,0,1.333,0.88,1,0.040072,0.112287,-0.992868,-0.113604,0.107007,-0.987747,-0.037,0.11,0.116056021,5.315942765,-136.6230564,-18.7,17,284.3,0.192,0.117,-0.038,2.75,1.04,0.18,0.98,0,0,0,0,0,0.25,0.76,0.04,0.17,0.09,0.93,0.09,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,Happiness,0.049654018,0.297163129,0.017085735,0.002313606,0.408198565,0.09806978,0.119377114,0.008137987,0.187822014,-0.025193792,0,1,7,0,0,0,0,0,0,0.021805953,0,260.6048584,-0.032404388,-0.099999666,1.924999666,1.39E-05,0,0,0,0
