frame,face_id,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,gaze_amp,gaze_vel,gaze_acc,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,emotion,Anger,Contempt,Disgust,Fear,Happiness,Neutral,Sadness,Surprise,Valence,Arousal,Distraction,Time,Drive,Stimulus,Failure,Palm_EDA,Heart_Rate,Breathing_Rate,Perinasal_Perspiration,Speed,Acceleration,Brake,Steering,LaneOffset,Lane_Position,Distance,Gaze_X_Pos,Gaze_Y_Pos,Lft_Pupil_Diameter,Rt_Pupil_Diameter
38,0,1.37,0.98,1,0.175536,0.194495,-0.965069,0.019692,0.30011,-0.953701,0.101,0.252,0.271486648,0.736867143,43.60949629,-57.1,44.8,297,-0.052,-0.041,-0.004,0,0,0.86,0,0,0.07,0,0.19,0,2.08,0.24,1.91,0.48,0.29,1.64,0.5,1.49,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,Sadness,0.026370445,0.006964494,0.056082856,0.017586581,0.020338899,0.040603399,0.83089155,0.00116174,-0.50008738,-0.255080789,0,1,5,0,0,215.0168,83,10.7,0.006881687,-0.017807751,0,263.8275146,0.014572388,-0.099999189,1.924999189,8.06E-06,536.258118,838.510498,0.003808,0.003756
39,0,1.407,0.98,1,0.171164,0.194115,-0.965931,0.08946,0.32551,-0.941297,0.136,0.266,0.298750732,2.350418506,-88.78064596,-58.3,49.3,295.8,-0.016,-0.042,-0.002,0,0,0.7,0,0,0,0,0.16,0,2.48,0.04,1.61,0.44,0.09,2.01,0.23,1.68,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,Sadness,0.017885685,0.003151801,0.03056979,0.022799119,0.011255092,0.028130621,0.88508743,0.001120372,-0.545169234,-0.338392556,0,1,5,0,0,215.0168,83,10.7,0.006881687,-0.017807751,0,263.8275146,0.014572388,-0.099999189,1.924999189,8.06E-06,536.258118,838.510498,0.003808,0.003756
40,0,1.444,0.98,1,0.248134,0.270273,-0.930259,0.096345,0.381572,-0.919304,0.184,0.339,0.385716217,-0.934465395,7.45967115,-60.1,53.8,299.1,0.033,-0.019,-0.006,0,0,0.62,0,0,0,0,0.07,0,2.53,0,1.32,0.54,0.05,2.26,0.06,1.78,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,Sadness,0.024750976,0.003216029,0.028133241,0.028769352,0.011885442,0.027311781,0.8747527,0.001180573,-0.547039747,-0.305719793,0,1,5,0,0,215.0168,83,10.7,0.006881687,-0.017807751,0,263.8275146,0.014572388,-0.099999189,1.924999189,8.06E-06,536.258118,838.510498,0.003808,0.003756
41,0,1.481,0.98,1,0.213615,0.285851,-0.934161,-0.022477,0.366041,-0.930327,0.102,0.336,0.351140997,-0.658457562,1.110693092,-61.3,57.4,297.3,0.084,0.011,0.008,0,0,0.6,0,0,0,0,0.07,0,2.5,0,1.19,0.74,0.08,2.44,0.03,2.21,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,Sadness,0.027244627,0.003119471,0.023409685,0.026950086,0.013691479,0.027515009,0.876573563,0.001496104,-0.542362988,-0.319142878,0,1,5,0,0,215.0168,83,10.7,0.006881687,-0.017807751,0,263.8275146,0.014572388,-0.099999189,1.924999189,8.06E-06,536.258118,838.510498,0.003808,0.003756
42,0,1.519,0.98,1,0.171164,0.280475,-0.944477,-0.086014,0.348532,-0.933342,0.045,0.323,0.32611961,-0.616251225,18.23681843,-63.4,60.4,299.1,0.089,0.037,0.018,0,0,0.44,0,0,0,0,0.02,0,2.25,0,1.05,1.1,0.2,2.56,0,2.62,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,Sadness,0.030190205,0.002033497,0.024269992,0.033345878,0.00841269,0.022353416,0.877915025,0.001479309,-0.590306997,-0.310413659,0,1,5,0,0,215.0168,83,10.7,0.006881687,-0.017807751,0,263.8275146,0.014572388,-0.099999189,1.924999189,8.06E-06,536.258118,838.510498,0.003808,0.003756
43,0,1.556,0.98,1,0.149575,0.262599,-0.953241,-0.053574,0.321866,-0.945268,0.051,0.299,0.303318315,0.058511057,10.22471513,-64.8,62.7,299.6,0.08,0.045,0.021,0,0,0.21,0,0,0,0,0.02,0,2.16,0,0.94,1.28,0.22,2.63,0,2.91,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,Sadness,0.027517838,0.001584654,0.030447645,0.035217326,0.00693022,0.016003776,0.880945504,0.00135299,-0.597865641,-0.311391413,0,1,5,0,0,215.0168,83,10.7,0.006881687,-0.017807751,0,263.8275146,0.014572388,-0.099999189,1.924999189,8.06E-06,536.258118,838.510498,0.003808,0.003756
44,0,1.593,0.98,1,0.164557,0.271098,-0.948381,-0.077588,0.318684,-0.94468,0.046,0.302,0.305483224,0.436825517,3.949863856,-65.8,65.5,302.3,0.107,0.059,0.015,0,0,0.09,0,0,0,0,0,0,2.04,0,0.7,1.32,0.2,2.55,0,2.92,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,Sadness,0.041335393,0.001322517,0.033855852,0.052694142,0.005930845,0.015615334,0.847245991,0.001999955,-0.633707523,-0.268302619,0,1,5,0,0,215.0168,83,10.7,0.006881687,-0.017807751,0,263.8275146,0.014572388,-0.099999189,1.924999189,8.06E-06,536.258118,838.510498,0.003808,0.003756
45,0,1.63,0.98,1,0.18485,0.27703,-0.942913,-0.071541,0.337976,-0.938432,0.06,0.316,0.321645768,0.58297048,-11.69404725,-66,67.5,302.7,0.119,0.05,0.009,0,0,0.03,0,0,0,0,0,0,2.12,0,0.49,1.36,0.17,2.51,0.04,2.77,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,Sadness,0.067976288,0.002025318,0.04407813,0.059581902,0.008671784,0.019558614,0.79577297,0.002334998,-0.598917603,-0.200696394,0,1,5,0,0,215.0168,83,10.7,0.006881687,-0.017807751,0,263.8275146,0.014572388,-0.099999189,1.924999189,8.06E-06,536.258118,838.510498,0.003808,0.003756
46,0,1.667,0.98,1,0.189348,0.295739,-0.936315,-0.04219,0.354273,-0.93419,0.079,0.334,0.343215676,0.150290731,-4.977741867,-66.4,70,302.8,0.137,0.037,-0.002,0,0,0.03,0,0,0,0,0,0,2.06,0,0.42,1.38,0.34,2.39,0.16,2.62,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,Sadness,0.105109759,0.003499716,0.054502126,0.052104041,0.013101202,0.025697235,0.743081152,0.002904751,-0.576484561,-0.152021378,0,1,5,0,0,215.0168,83,10.7,0.006881687,-0.017807751,0,263.8275146,0.014572388,-0.099999189,1.924999189,8.06E-06,536.258118,838.510498,0.003808,0.003756
47,0,1.704,0.98,1,0.184404,0.301048,-0.93561,-0.031252,0.358232,-0.933109,0.082,0.339,0.348776433,-0.033885718,-7.968868507,-67.1,71.5,302.6,0.152,0.035,-0.008,0,0,0,0,0,0,0,0,0,2.08,0,0.43,1.36,0.55,2.45,0.2,2.46,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,Sadness,0.092748061,0.004275045,0.043543462,0.044960961,0.016566258,0.028555129,0.766436517,0.002914624,-0.549313307,-0.18150945,0,1,5,0,0,215.0168,83,10.7,0.006881687,-0.017807751,0,263.8275146,0.014572388,-0.099999189,1.924999189,8.06E-06,536.258118,838.510498,0.003808,0.003756
