A,B,mean_A,mean_B,diff,se,T,df,pval,hedges,Feature,Metric
CD_ED,MD,0.059620773308987754,0.15186199297779301,-0.09224121966880526,0.028425176629102662,-3.2450535267515477,13.230780919279848,0.016098513529536618,-1.3755732884338434,AU06_r,var
CD_ED,ND,0.059620773308987754,0.08628543142851694,-0.026664658119529186,0.020886337081665214,-1.2766555483266806,21.979925963024677,0.42277637150639347,-0.46023018049958264,AU06_r,var
MD,ND,0.15186199297779301,0.08628543142851694,0.06557656154927607,0.03023708458263664,2.1687461755797974,16.327274679585777,0.1068702596348251,0.897455112280011,AU06_r,var
CD_ED,MD,0.09410314934956693,0.20351364744915784,-0.10941049809959091,0.035652131293254286,-3.0688347128434477,15.940189104812088,0.019077726028077224,-1.319963247267286,AU10_r,var
CD_ED,ND,0.09410314934956693,0.155719090186659,-0.06161594083709207,0.05736371922077101,-1.0741273696002152,17.860858680482416,0.5417317276245808,-0.3512615990270477,AU10_r,var
MD,ND,0.20351364744915784,0.155719090186659,0.047794557262498844,0.06076631166911984,0.7865304960871441,20.646789422301804,0.7152655866430186,0.2697830769645424,AU10_r,var
CD_ED,MD,0.0749736667335515,0.19249979755713398,-0.11752613082358247,0.06619849110240796,-1.775359662530246,16.485753775512038,0.20839634661553585,-0.7820361009561143,AU12_r,var
CD_ED,ND,0.0749736667335515,0.02274782668686604,0.05222584004668547,0.05006612047644411,1.0431373461672049,8.381250017160852,0.5715537085487915,0.5447696741205221,AU12_r,var
MD,ND,0.19249979755713398,0.02274782668686604,0.16975197087026794,0.04462913581018733,3.803613217881743,9.543116407970096,0.00955042099409531,1.824312527226254,AU12_r,var
CD_ED,MD,0.01773988958884422,0.04022677041211928,-0.022486880823275057,0.009919847095405478,-2.26685760445745,13.566938594312342,0.09529099629671911,-0.9624566985983466,AU20_r,var
CD_ED,ND,0.01773988958884422,0.05900631402276649,-0.04126642443392227,0.0234533506611277,-1.7595108276924587,15.123634632373772,0.21633059928606202,-0.5570968937132154,AU20_r,var
MD,ND,0.04022677041211928,0.05900631402276649,-0.01877954361064721,0.024602091396668038,-0.7633311862742937,17.780852006248256,0.7296640417857041,-0.25366113696897225,AU20_r,var
CD_ED,MD,0.17547470867836457,0.5828858706627674,-0.40741116198440286,0.14235515219807185,-2.861934785595495,10.106506671741341,0.04067375464813294,-1.1951367845239051,AU25_r,var
CD_ED,ND,0.17547470867836457,0.17546262498014908,1.2083698215481498e-05,0.06542813697891889,0.000184686570234682,21.297579551642734,0.9999999811946516,6.379718578226907e-05,AU25_r,var
MD,ND,0.5828858706627674,0.17546262498014908,0.40742324568261834,0.1489310322142952,2.7356504525959475,11.957051731201437,0.0444780381165939,1.2278870371069084,AU25_r,var
CD_ED,MD,30.69117687751435,119.36981939598743,-88.67864251847308,74.43950139796993,-1.191284746043335,10.244970567943026,0.4838090539238743,-0.4978266094232668,Speed,var
CD_ED,ND,30.69117687751435,121.61073163065129,-90.91955475313694,23.465094806252107,-3.87467238056554,16.034307501970098,0.003617048190658778,-1.6063447048394908,Speed,var
MD,ND,119.36981939598743,121.61073163065129,-2.2409122346638526,73.26857512091128,-0.030584902612965967,9.659935198203556,0.9994844286711043,-0.01461297133127682,Speed,var
CD_ED,MD,0.040740300644548394,0.0432430598679183,-0.002502759223369906,0.016937700311114474,-0.14776263467878234,16.900522465025155,0.9880436344827718,-0.06472629971749339,LaneOffset,var
CD_ED,ND,0.040740300644548394,0.07236050703964782,-0.03162020639509942,0.013470143080119597,-2.3474291406575527,11.954514936549268,0.0872208207171895,-1.0686206041698039,LaneOffset,var
MD,ND,0.0432430598679183,0.07236050703964782,-0.029117447171729517,0.013279624653256142,-2.1926408262292236,13.547800205131747,0.10840617551237197,-0.9518791783404881,LaneOffset,var
