Feature,Metric,Comparison,Welch_F,P_value,Result,ND_Value,CD_Value,ED_Value,MD_Value
AU01_r,mean,ND_vs_CD_vs_ED_vs_MD,1.4497,0.28769444064402727,기각하지 못함 (차이 없음),0.156,0.2672,0.3092,0.3667
AU02_r,mean,ND_vs_CD_vs_ED_vs_MD,0.4889,0.6969561380208533,기각하지 못함 (차이 없음),0.1135,0.1489,0.1571,0.2098
AU04_r,mean,ND_vs_CD_vs_ED_vs_MD,1.2441,0.32971436155165795,기각하지 못함 (차이 없음),0.4113,0.2275,0.8244,0.5836
AU05_r,mean,ND_vs_CD_vs_ED_vs_MD,0.3457,0.7930281381733011,기각하지 못함 (차이 없음),0.0546,0.0575,0.0772,0.0749
AU06_r,mean,ND_vs_CD_vs_ED_vs_MD,0.4208,0.741500687055303,기각하지 못함 (차이 없음),0.6643,0.8555,0.8216,0.6331
AU07_r,mean,ND_vs_CD_vs_ED_vs_MD,0.2025,0.8928664730302206,기각하지 못함 (차이 없음),0.5498,0.4856,0.6781,0.6863
AU09_r,mean,ND_vs_CD_vs_ED_vs_MD,1.537,0.25855399740561175,기각하지 못함 (차이 없음),0.0785,0.119,0.0783,0.1532
AU10_r,mean,ND_vs_CD_vs_ED_vs_MD,1.9245,0.17935850252166516,기각하지 못함 (차이 없음),0.4479,1.0198,0.849,0.8306
AU12_r,mean,ND_vs_CD_vs_ED_vs_MD,3.8792,0.04584840505365745,기각 (차이 있음),0.0474,0.2679,0.1752,0.3755
AU14_r,mean,ND_vs_CD_vs_ED_vs_MD,0.3511,0.7890902083075307,기각하지 못함 (차이 없음),0.8374,0.9817,0.6523,0.806
AU15_r,mean,ND_vs_CD_vs_ED_vs_MD,0.1535,0.9252611244207888,기각하지 못함 (차이 없음),0.1154,0.1071,0.1132,0.1423
AU17_r,mean,ND_vs_CD_vs_ED_vs_MD,0.9603,0.438907857772068,기각하지 못함 (차이 없음),0.2587,0.2335,0.3319,0.2925
AU20_r,mean,ND_vs_CD_vs_ED_vs_MD,0.2178,0.882298517320889,기각하지 못함 (차이 없음),0.0934,0.0921,0.0964,0.0774
AU23_r,mean,ND_vs_CD_vs_ED_vs_MD,2.0331,0.16009684248625836,기각하지 못함 (차이 없음),0.1335,0.0867,0.1172,0.2412
AU25_r,mean,ND_vs_CD_vs_ED_vs_MD,8.2016,0.0044773000000914625,기각 (차이 있음),0.2443,0.679,0.6222,0.5619
AU26_r,mean,ND_vs_CD_vs_ED_vs_MD,1.7174,0.21271775554651282,기각하지 못함 (차이 없음),0.3067,0.406,0.4332,0.5644
AU45_r,mean,ND_vs_CD_vs_ED_vs_MD,2.0807,0.16164642062349135,기각하지 못함 (차이 없음),0.1683,0.432,0.3197,0.187
pose_Tx,mean,ND_vs_CD_vs_ED_vs_MD,2.57,0.09553906186504364,기각하지 못함 (차이 없음),-43.7998,-25.001,-44.0467,-31.8701
pose_Ty,mean,ND_vs_CD_vs_ED_vs_MD,1.5717,0.24538479672836747,기각하지 못함 (차이 없음),25.6441,28.9969,30.5795,11.7865
pose_Tz,mean,ND_vs_CD_vs_ED_vs_MD,0.7327,0.5510906817942858,기각하지 못함 (차이 없음),277.0149,271.3476,267.231,268.7974
pose_Rx,mean,ND_vs_CD_vs_ED_vs_MD,0.6106,0.6192501826419619,기각하지 못함 (차이 없음),0.0779,-0.0299,0.0013,-0.0456
