A,B,mean_A,mean_B,diff,se,T,df,pval,hedges,Feature
CD_ED,MD,0.7599996717495064,0.15248818623024307,0.6075114855192634,0.2189212958434524,2.775022334755804,13.776206197849739,0.037648918175056556,0.9517498452429424,AU07_r
CD_ED,ND,0.7599996717495064,0.7060513120653812,0.05394835968412526,0.2537598495148208,0.21259612104622727,21.449897244556883,0.9754201461779556,0.0800914006264866,AU07_r
MD,ND,0.15248818623024307,0.7060513120653812,-0.5535631258351381,0.1526750343252105,-3.625760611626932,18.15614872691773,0.005164686914958638,-1.1698715328530702,AU07_r
CD_ED,MD,0.3158336226976386,0.3496377028960795,-0.03380408019844089,0.05474208302285963,-0.617515416509173,17.34368289055881,0.8125737661733148,-0.25307877218243136,AU17_r
CD_ED,ND,0.3158336226976386,0.240018782874013,0.07581483982362561,0.04270643087052029,1.7752558169397301,18.036221669852516,0.20591999880439116,0.679683374619366,AU17_r
MD,ND,0.3496377028960795,0.240018782874013,0.1096189200220665,0.043916551851566746,2.4960730157633217,10.515123440478511,0.07244060982281109,1.1876501822925396,AU17_r
CD_ED,MD,0.6789775467670055,0.5302891760063685,0.148688370760637,0.14853944312172535,1.0010026134189127,17.708154454636837,0.5858165214927213,0.3643253240424564,AU25_r
CD_ED,ND,0.6789775467670055,0.24548868056545955,0.4334888662015459,0.1319146499256477,3.2861313466387347,12.845970173133678,0.015386509267132586,1.294885192085746,AU25_r
MD,ND,0.5302891760063685,0.24548868056545955,0.2848004954409089,0.07645799081500705,3.7249277989791056,8.610699266827456,0.012726230429841667,1.9445695055022214,AU25_r
CD_ED,MD,0.5452250027415501,0.3772628936500677,0.16796210909148235,0.1006674476531347,1.6684848280868492,18.38709699737808,0.2435852446098914,0.6646335491969069,AU26_r
CD_ED,ND,0.5452250027415501,0.29349911334275197,0.2517258893987981,0.08369932367733224,3.007502072169926,18.25625520449833,0.019483377225194554,1.150245232668503,AU26_r
MD,ND,0.3772628936500677,0.29349911334275197,0.08376378030731574,0.07825427877723834,1.0704051154283967,11.655389476382783,0.5497382417971413,0.48852134060754987,AU26_r
CD_ED,MD,0.27689178724981467,0.40283816147909424,-0.12594637422927957,0.12911442770244294,-0.9754632109707796,8.913243496008493,0.6096089398047524,-0.4955718041082709,AU45_r
CD_ED,ND,0.27689178724981467,0.15764131569925713,0.11925047155055754,0.04552913437679666,2.619212361114689,13.200566794169246,0.05149881167372883,1.0297004110642376,AU45_r
MD,ND,0.40283816147909424,0.15764131569925713,0.2451968457798371,0.12163417904240516,2.015854817372956,7.094103315859059,0.17769080938879278,1.1790773360145466,AU45_r
CD_ED,MD,26.302888684289517,27.55200568644815,-1.2491170021586342,3.32233281458829,-0.3759758795608282,13.066719523966166,0.9254757496663483,-0.16901158896080845,gaze_vel
CD_ED,ND,26.302888684289517,18.94578014943336,7.357108534856156,2.182417072719394,3.3710827443669387,20.81440400562024,0.007853849222962062,1.2738236802523444,gaze_vel
MD,ND,27.55200568644815,18.94578014943336,8.60622553701479,3.0056565295619917,2.863342984259402,9.594665581338335,0.04237214563444347,1.4182968669664733,gaze_vel
CD_ED,MD,0.9694675372647273,1.0061345060480194,-0.03666696878329201,0.12107737120703943,-0.30283915497795505,13.332931154461045,0.9508857549281933,-0.13531235610009051,gaze_amp
CD_ED,ND,0.9694675372647273,0.7088822851607718,0.26058525210395556,0.080963899228099,3.2185363425964777,20.85548090784356,0.011079229347196295,1.2159457376594196,gaze_amp
MD,ND,1.0061345060480194,0.7088822851607718,0.29725222088724756,0.10916919607106587,2.722858018426235,9.743532992191245,0.05251228765483007,1.3393009090941237,gaze_amp
