Feature,Metric,Comparison,Welch_F,P_value,Result,ND_Value,CD_Value,ED_Value,MD_Value
AU01_r,var,ND_vs_CD_vs_ED_vs_MD,0.8308,0.5078325143386692,기각하지 못함 (차이 없음),0.1323,0.5235,0.3811,0.3381
AU02_r,var,ND_vs_CD_vs_ED_vs_MD,1.2769,0.33584232549164134,기각하지 못함 (차이 없음),0.0793,0.1841,0.2186,0.2095
AU04_r,var,ND_vs_CD_vs_ED_vs_MD,0.633,0.606727177194503,기각하지 못함 (차이 없음),0.1119,0.0746,0.0574,0.115
AU05_r,var,ND_vs_CD_vs_ED_vs_MD,3.1577,0.05924537943900392,기각하지 못함 (차이 없음),0.0263,0.0122,0.0298,0.0688
AU06_r,var,ND_vs_CD_vs_ED_vs_MD,0.9384,0.4511741792963364,기각하지 못함 (차이 없음),0.0959,0.1099,0.0895,0.1581
AU07_r,var,ND_vs_CD_vs_ED_vs_MD,0.5995,0.627184030870046,기각하지 못함 (차이 없음),0.1798,0.2507,0.1504,0.1405
AU09_r,var,ND_vs_CD_vs_ED_vs_MD,1.0825,0.39619718672208765,기각하지 못함 (차이 없음),0.0283,0.1302,0.0348,0.0515
AU10_r,var,ND_vs_CD_vs_ED_vs_MD,0.9988,0.4205115557385568,기각하지 못함 (차이 없음),0.1858,0.1344,0.1326,0.1991
AU12_r,var,ND_vs_CD_vs_ED_vs_MD,3.735,0.050186547660872785,기각하지 못함 (차이 없음),0.0297,0.12,0.1228,0.1884
AU14_r,var,ND_vs_CD_vs_ED_vs_MD,0.3249,0.8073814303233154,기각하지 못함 (차이 없음),0.1411,0.1841,0.1573,0.178
AU15_r,var,ND_vs_CD_vs_ED_vs_MD,0.7118,0.5601230873135904,기각하지 못함 (차이 없음),0.0508,0.0418,0.078,0.0472
AU17_r,var,ND_vs_CD_vs_ED_vs_MD,0.7013,0.5652484359840125,기각하지 못함 (차이 없음),0.1126,0.1039,0.1141,0.0857
AU20_r,var,ND_vs_CD_vs_ED_vs_MD,1.9777,0.17852000172596227,기각하지 못함 (차이 없음),0.0325,0.0429,0.0207,0.0477
AU23_r,var,ND_vs_CD_vs_ED_vs_MD,1.2813,0.3364519927362159,기각하지 못함 (차이 없음),0.1338,0.2172,0.0588,0.0864
AU25_r,var,ND_vs_CD_vs_ED_vs_MD,1.0799,0.3911628829886355,기각하지 못함 (차이 없음),0.213,0.2891,0.3905,0.4775
AU26_r,var,ND_vs_CD_vs_ED_vs_MD,6.2827,0.006243995131308542,기각 (차이 있음),0.1788,0.3636,0.1832,0.2185
AU45_r,var,ND_vs_CD_vs_ED_vs_MD,0.5504,0.6559000560497186,기각하지 못함 (차이 없음),0.1286,0.146,0.2254,0.1809
pose_Tx,var,ND_vs_CD_vs_ED_vs_MD,0.684,0.5779419088831037,기각하지 못함 (차이 없음),4557160178876.2,46.302,35.9958,81.0324
pose_Ty,var,ND_vs_CD_vs_ED_vs_MD,0.3205,0.8104372160778357,기각하지 못함 (차이 없음),2563450353672.701,30.7441,33.0956,30.2198
pose_Tz,var,ND_vs_CD_vs_ED_vs_MD,0.8104,0.5133720665300261,기각하지 못함 (차이 없음),11125719041310.018,33.9566,14.7443,18.1233
