Feature,Comparison,Welch_F,P_value,Result,ND_Mean,CD_Mean,ED_Mean,MD_Mean
AU01_r,ND_CD_ED_MD,2.9973,0.06327708127003136,기각하지 못함 (차이 없음),0.1905,0.1115,0.4992,0.1776
AU02_r,ND_CD_ED_MD,0.915,0.46025873524165906,기각하지 못함 (차이 없음),0.0992,0.0752,0.2241,0.0871
AU04_r,ND_CD_ED_MD,5.1806,0.01392888409953486,기각 (차이 있음),0.6965,0.0536,0.8468,0.6768
AU05_r,ND_CD_ED_MD,0.342,0.7954963826338532,기각하지 못함 (차이 없음),0.0527,0.0699,0.0635,0.065
AU06_r,ND_CD_ED_MD,0.1979,0.8960778302267979,기각하지 못함 (차이 없음),0.8029,0.7361,0.889,0.7106
AU07_r,ND_CD_ED_MD,2.6882,0.09104196650906853,기각하지 못함 (차이 없음),0.3082,0.7168,1.0073,0.8072
AU09_r,ND_CD_ED_MD,1.4576,0.2716194922665558,기각하지 못함 (차이 없음),0.0639,0.1283,0.0895,0.114
AU10_r,ND_CD_ED_MD,0.0712,0.9744969446817766,기각하지 못함 (차이 없음),0.7148,0.7905,0.8051,0.8354
AU12_r,ND_CD_ED_MD,0.2899,0.8319729092026741,기각하지 못함 (차이 없음),0.1496,0.2388,0.2976,0.2124
AU14_r,ND_CD_ED_MD,0.9786,0.4282302402198471,기각하지 못함 (차이 없음),1.0821,0.5096,0.7571,0.8077
AU15_r,ND_CD_ED_MD,0.5683,0.6444154334441152,기각하지 못함 (차이 없음),0.1252,0.0931,0.1269,0.0975
AU17_r,ND_CD_ED_MD,0.8459,0.4889049380198558,기각하지 못함 (차이 없음),0.3275,0.2512,0.3222,0.2697
AU20_r,ND_CD_ED_MD,0.0593,0.9803622867686944,기각하지 못함 (차이 없음),0.0883,0.0806,0.0799,0.0866
AU23_r,ND_CD_ED_MD,1.0426,0.4081714400684415,기각하지 못함 (차이 없음),0.12,0.2115,0.1635,0.1259
AU25_r,ND_CD_ED_MD,5.9641,0.009042265146659293,기각 (차이 있음),0.2777,0.602,0.7851,0.548
AU26_r,ND_CD_ED_MD,3.8569,0.035522597902206916,기각 (차이 있음),0.2838,0.541,0.6171,0.4519
AU45_r,ND_CD_ED_MD,2.8866,0.08361321847758549,기각하지 못함 (차이 없음),0.1402,0.1971,0.3593,0.3182
pose_Tx,ND_CD_ED_MD,1.7045,0.21141878725950328,기각하지 못함 (차이 없음),-3190.7911,-46.053,-32.9379,-48.2779
pose_Ty,ND_CD_ED_MD,0.872,0.4759964309039101,기각하지 못함 (차이 없음),-2337.9304,27.5707,19.1373,26.0401
pose_Tz,ND_CD_ED_MD,1.085,0.38509921675998693,기각하지 못함 (차이 없음),5217.4162,264.0612,268.8322,274.2831
pose_Rx,ND_CD_ED_MD,0.341,0.7960445378612755,기각하지 못함 (차이 없음),-0.0281,-0.0206,-0.009,0.0361
pose_Ry,ND_CD_ED_MD,0.2256,0.8768593982944058,기각하지 못함 (차이 없음),-0.0169,-0.0185,0.0114,-0.0182
pose_Rz,ND_CD_ED_MD,1.0618,0.39739029244757856,기각하지 못함 (차이 없음),0.0091,0.0142,0.0437,0.0287
Speed,ND_CD_ED_MD,0.8219,0.5070930137739043,기각하지 못함 (차이 없음),70.1789,73.0643,72.7124,69.5088
Acceleration,ND_CD_ED_MD,0.1385,0.9349290248122166,기각하지 못함 (차이 없음),5.9025,6.0467,5.9412,5.6751
Brake,ND_CD_ED_MD,2.1835,0.13727430025243317,기각하지 못함 (차이 없음),16.5599,12.9637,5.0457,13.6501
Steering,ND_CD_ED_MD,2.3508,0.1187968745563694,기각하지 못함 (차이 없음),0.0006,0.0122,-0.0002,0.0001
LaneOffset,ND_CD_ED_MD,2.4191,0.11137762478807571,기각하지 못함 (차이 없음),-0.0254,-0.1089,-0.0825,0.0028
gaze_0_x,ND_CD_ED_MD,0.7044,0.5653101760351205,기각하지 못함 (차이 없음),0.1356,0.1779,0.1268,0.1677
gaze_0_y,ND_CD_ED_MD,0.114,0.9505291821127717,기각하지 못함 (차이 없음),0.1583,0.1884,0.1499,0.1822
gaze_0_z,ND_CD_ED_MD,0.1467,0.9300283235503772,기각하지 못함 (차이 없음),-0.9562,-0.9432,-0.9558,-0.9544
gaze_1_x,ND_CD_ED_MD,0.1666,0.9170713273520714,기각하지 못함 (차이 없음),-0.0424,-0.0422,-0.0564,-0.028
gaze_1_y,ND_CD_ED_MD,0.3055,0.8209867355142714,기각하지 못함 (차이 없음),0.1542,0.1981,0.1559,0.2132
gaze_1_z,ND_CD_ED_MD,0.0659,0.9770519755996439,기각하지 못함 (차이 없음),-0.9636,-0.9575,-0.9589,-0.9592
gaze_angle_x,ND_CD_ED_MD,0.4361,0.7308168913077847,기각하지 못함 (차이 없음),0.0482,0.0714,0.0358,0.072
gaze_angle_y,ND_CD_ED_MD,0.1959,0.8974998780136737,기각하지 못함 (차이 없음),0.1603,0.2,0.1591,0.2037
gaze_vel,ND_CD_ED_MD,2.1785,0.1359261119491041,기각하지 못함 (차이 없음),19.1824,27.2514,26.8154,21.401
gaze_amp,ND_CD_ED_MD,2.1339,0.1415510544693917,기각하지 못함 (차이 없음),0.7101,0.9895,0.9978,0.7959
gaze_acc,ND_CD_ED_MD,2.221,0.13890141553050078,기각하지 못함 (차이 없음),0.0843,0.3841,0.3952,0.3517
