Feature,Metric,Comparison,Welch_F,P_value,Result,ND_Value,CD_Value,ED_Value,MD_Value
AU01_r,var,ND_vs_CD_vs_ED_vs_MD,1.2501,0.35175838100756995,기각하지 못함 (차이 없음),0.0745,0.3468,0.3942,0.3803
AU02_r,var,ND_vs_CD_vs_ED_vs_MD,1.0472,0.40750013530283336,기각하지 못함 (차이 없음),0.0623,0.2287,0.1111,0.0987
AU04_r,var,ND_vs_CD_vs_ED_vs_MD,1.3972,0.2990005864219084,기각하지 못함 (차이 없음),0.0447,0.1632,0.0652,0.0971
AU05_r,var,ND_vs_CD_vs_ED_vs_MD,0.3688,0.7771914472932636,기각하지 못함 (차이 없음),0.0208,0.0189,0.0234,0.0368
AU06_r,var,ND_vs_CD_vs_ED_vs_MD,2.3789,0.13123276740271025,기각하지 못함 (차이 없음),0.0548,0.1271,0.0926,0.1083
AU07_r,var,ND_vs_CD_vs_ED_vs_MD,0.5556,0.6547197516257646,기각하지 못함 (차이 없음),0.119,0.1481,0.1818,0.1923
AU09_r,var,ND_vs_CD_vs_ED_vs_MD,1.2817,0.31962587879250465,기각하지 못함 (차이 없음),0.0274,0.0618,0.0252,0.0562
AU10_r,var,ND_vs_CD_vs_ED_vs_MD,3.2066,0.07509652895221537,기각하지 못함 (차이 없음),0.0632,0.1494,0.123,0.1792
AU12_r,var,ND_vs_CD_vs_ED_vs_MD,4.4949,0.032193712920338576,기각 (차이 있음),0.0286,0.0835,0.0827,0.2516
AU14_r,var,ND_vs_CD_vs_ED_vs_MD,1.1342,0.3769617587211601,기각하지 못함 (차이 없음),0.1211,0.1548,0.1221,0.2348
AU15_r,var,ND_vs_CD_vs_ED_vs_MD,0.6075,0.6257561100790825,기각하지 못함 (차이 없음),0.0419,0.0348,0.046,0.0753
AU17_r,var,ND_vs_CD_vs_ED_vs_MD,3.0309,0.07150913753294691,기각하지 못함 (차이 없음),0.0729,0.1198,0.0578,0.107
AU20_r,var,ND_vs_CD_vs_ED_vs_MD,1.4951,0.2798117816229158,기각하지 못함 (차이 없음),0.0669,0.0199,0.0293,0.0494
