A,B,mean_A,mean_B,diff,se,T,df,pval,hedges,Feature,Metric
CD,ED,0.08350257289100532,0.08266541739437805,0.0008371554966272732,0.04573170143087496,0.018305802549084305,5.4124104252134515,0.9999975073171842,0.011260613040302254,AU12_r,var
CD,MD,0.08350257289100532,0.2515530850940593,-0.168050512203054,0.07165662930658799,-2.3452193304270277,4.511718986083781,0.2172231099153693,-1.64861264796296,AU12_r,var
CD,ND,0.08350257289100532,0.02857022272557729,0.05493235016542804,0.02160314187059127,2.542794492323748,18.330646667560433,0.0860241842589351,1.0430771178594382,AU12_r,var
ED,MD,0.08266541739437805,0.2515530850940593,-0.16888766769968128,0.08135433332785512,-2.0759517138327452,6.603777485579063,0.25310477965417455,-1.1858877444565386,AU12_r,var
ED,ND,0.08266541739437805,0.02857022272557729,0.054095194668800764,0.0441650400918972,1.2248419690379815,4.746599082805842,0.6408521063006454,0.8259977249960555,AU12_r,var
MD,ND,0.2515530850940593,0.02857022272557729,0.22298286236848203,0.07066706994164935,3.155399856716879,4.272417070117283,0.10117375328361311,2.3307569636514933,AU12_r,var
CD,ED,0.21970402299013037,0.13407876591046294,0.08562525707966742,0.05703581106092152,1.5012543082487024,10.253320031488117,0.47101590676418037,0.6872922488567313,AU26_r,var
CD,MD,0.21970402299013037,0.23647572787540022,-0.016771704885269856,0.10126218828386387,-0.1656265301936244,5.351272812655074,0.9981803880198007,-0.10262255430488704,AU26_r,var
CD,ND,0.21970402299013037,0.07317821210766728,0.14652581088246308,0.03993666286295576,3.668954799385021,12.197666756095444,0.014395146771833511,1.5050381811240092,AU26_r,var
ED,MD,0.13407876591046294,0.23647572787540022,-0.10239696196493728,0.10313374308704669,-0.992856061459075,5.581829068068703,0.7595363433064338,-0.5671691819458987,AU26_r,var
ED,ND,0.13407876591046294,0.07317821210766728,0.06090055380279566,0.04446881185435073,1.369511602924405,4.718962685504681,0.567164508647596,0.9277988691046011,AU26_r,var
MD,ND,0.23647572787540022,0.07317821210766728,0.16329751576773294,0.09475453688556132,1.7233741109932668,4.145608201768375,0.4158134905280484,1.3117544233743494,AU26_r,var
CD,ED,23.685673389948477,157.17826581642282,-133.49259242647435,148.47046168987393,-0.8991188611328935,4.0224932323108025,0.8071562759930077,-0.7067835701570734,Speed,var
CD,MD,23.685673389948477,15.679198496811878,8.006474893136598,9.960224748466205,0.8038448022339588,13.444675090849717,0.8514919068510345,0.3261410562641395,Speed,var
CD,ND,23.685673389948477,151.0182802913365,-127.33260690138803,31.39392529078256,-4.055963238810842,11.330953979109019,0.008296417429843883,-1.6637925156965439,Speed,var
ED,MD,157.17826581642282,15.679198496811878,141.49906731961096,148.3886038753882,0.9535709860740865,4.0136305273258825,0.7812278924188922,0.5447275764265218,Speed,var
ED,ND,157.17826581642282,151.0182802913365,6.159985525086313,151.34579686337563,0.04070139807481483,4.340214472106378,0.9999718863118552,0.02961987945897717,Speed,var
MD,ND,15.679198496811878,151.0182802913365,-135.33908179452465,31.004488559655254,-4.365144792958633,10.782951658509605,0.0055076276610973585,-1.4963798847558556,Speed,var
CD,ED,0.04309433894603146,0.034098353254226055,0.008995985691805403,0.01393814134546642,0.645422188571181,11.086361993423703,0.9149758978716682,0.28665460285833816,LaneOffset,var
CD,MD,0.04309433894603146,0.019228591437827857,0.0238657475082036,0.011171450414997107,2.1363159322772485,13.906223774749899,0.18975161780974492,0.8073417635312312,LaneOffset,var
CD,ND,0.04309433894603146,0.06897612848319042,-0.02588178953715896,0.011013997686780467,-2.3498996706911908,15.406430907610847,0.12951826387102416,-0.9639499311340071,LaneOffset,var
ED,MD,0.034098353254226055,0.019228591437827857,0.014869761816398198,0.011468474075932749,1.2965771834984783,6.2549688023818595,0.5956335879053457,0.7406699208884885,LaneOffset,var
ED,ND,0.034098353254226055,0.06897612848319042,-0.03487777522896436,0.011315155248603881,-3.082394758416395,6.302855418790228,0.07436205159622489,-1.738166709261887,LaneOffset,var
MD,ND,0.019228591437827857,0.06897612848319042,-0.049747537045362555,0.007652598154126906,-6.500738186354999,10.836000717630208,0.0002354668350235123,-2.913186050142565,LaneOffset,var
CD,ED,0.0022434743853946494,0.0008439058433286496,0.0013995685420659998,0.0015264870442688666,0.9168558274507621,12.133373059715074,0.7964830127059127,0.3239669449593043,gaze_0_z,var
CD,MD,0.0022434743853946494,0.0005412176222553763,0.0017022567631392732,0.0014565990369200081,1.1686515780888547,10.420116998882252,0.6580146233048287,0.3975971539201738,gaze_0_z,var
CD,ND,0.0022434743853946494,0.003978107454529801,-0.0017346330691351513,0.0017499692962045761,-0.9912362879150584,17.743189664933208,0.7562140183277238,-0.40661401990502904,gaze_0_z,var
ED,MD,0.0008439058433286496,0.0005412176222553763,0.00030268822107327325,0.0005452294317094192,0.5551575235479792,5.362522146947345,0.9414164661774407,0.31713382302274146,gaze_0_z,var
ED,ND,0.0008439058433286496,0.003978107454529801,-0.003134201611201151,0.001112648604234338,-2.816883604826819,13.559245904769995,0.060057600468892636,-1.0410887458769806,gaze_0_z,var
MD,ND,0.0005412176222553763,0.003978107454529801,-0.0034368898322744246,0.0010146452456598885,-3.387282251580646,10.866488231568441,0.026969910422723897,-1.1632146184013097,gaze_0_z,var
