Feature,Comparison,Null_Hypothesis,Welch_F,ddof1,ddof2,P_value,np2,Result,ND_N_CSV,ND_Mean,CD_N_CSV,CD_Mean,ED_N_CSV,ED_Mean,MD_N_CSV,MD_Mean
Acceleration,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (Acceleration)은 모두 같다.",0.7805,2,14.4477,0.4765640917816278,0.082916,기각하지 못함 (차이 없음),12,5.8479,,,10.0,5.9457,10.0,5.3606
Acceleration,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (Acceleration)은 모두 같다.",1.5418,3,18.9471,0.23635150601138494,0.133245,기각하지 못함 (차이 없음),12,5.8479,11.0,6.2227,10.0,5.9457,10.0,5.3606
Brake,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (Brake)은 모두 같다.",1.2216,2,17.03,0.31932067216095233,0.055585,기각하지 못함 (차이 없음),12,13.2827,11.0,7.0341,10.0,16.0204,,
Brake,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (Brake)은 모두 같다.",1.9184,2,17.1265,0.17710129014664064,0.102869,기각하지 못함 (차이 없음),12,13.2827,11.0,7.0341,,,10.0,19.6858
Brake,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (Brake)은 모두 같다.",0.3116,2,17.5689,0.7362342768226571,0.019866,기각하지 못함 (차이 없음),12,13.2827,,,10.0,16.0204,10.0,19.6858
Brake,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (Brake)은 모두 같다.",1.4792,3,19.4147,0.2513424467159709,0.071346,기각하지 못함 (차이 없음),12,13.2827,11.0,7.0341,10.0,16.0204,10.0,19.6858
Steering,ND_CD_ED,"ND, CD, ED 그룹에서 CSV 단위 평균 (Steering)은 모두 같다.",1.8749,2,16.8396,0.18401945171723544,0.148743,기각하지 못함 (차이 없음),12,0.0004,11.0,-0.0,10.0,-0.0,,
Steering,ND_CD_MD,"ND, CD, MD 그룹에서 CSV 단위 평균 (Steering)은 모두 같다.",2.5172,2,14.4643,0.11532940473559897,0.103545,기각하지 못함 (차이 없음),12,0.0004,11.0,-0.0,,,10.0,0.0081
Steering,ND_ED_MD,"ND, ED, MD 그룹에서 CSV 단위 평균 (Steering)은 모두 같다.",2.2071,2,16.3396,0.14174825412360115,0.102312,기각하지 못함 (차이 없음),12,0.0004,,,10.0,-0.0,10.0,0.0081
Steering,ND_CD_ED_MD,"ND, CD, ED, MD 그룹에서 CSV 단위 평균 (Steering)은 모두 같다.",1.6991,3,18.556,0.20182592740055424,0.11485,기각하지 못함 (차이 없음),12,0.0004,11.0,-0.0,10.0,-0.0,10.0,0.0081
