Feature,Comparison_Set,A,B,diff,se,T,df,pval,hedges,mean_A,mean_B
AU07_r,ND_CD_MD,CD,MD,0.724864608304908,0.1771749698372647,4.09123596279258,14.058816874026666,0.002933594216945501,1.6593453048523001,0.8927362058918682,0.16787159758696024
AU07_r,ND_CD_MD,CD,ND,0.45194763953005596,0.240010674643829,1.883031411835066,20.933841707617532,0.16840146747173756,0.7525710208897476,0.8927362058918682,0.44078856636181224
AU07_r,ND_CD_MD,MD,ND,-0.272916968774852,0.19331007391495192,-1.4118093446848696,14.647129669394372,0.3605904909030593,-0.5416959013462411,0.16787159758696024,0.44078856636181224
AU07_r,ND_ED_MD,ED,MD,0.7801128345066234,0.2720378731433097,2.8676625996692,10.457446799579767,0.039175547742617445,1.2282693482783056,0.9479844320935836,0.16787159758696024
AU07_r,ND_ED_MD,ED,ND,0.5071958657317714,0.3165734645078228,1.6021427017590042,16.407778388406733,0.2726664044912017,0.678115420732034,0.9479844320935836,0.44078856636181224
AU07_r,ND_ED_MD,MD,ND,-0.272916968774852,0.19331007391495192,-1.4118093446848696,14.647129669394372,0.3605904909030593,-0.5416959013462411,0.16787159758696024,0.44078856636181224
AU07_r,ND_CD_ED_MD,CD,ED,-0.055248226201715434,0.306986878694053,-0.1799693408289822,15.132929943191874,0.9978362008827728,-0.07707160288113374,0.8927362058918682,0.9479844320935836
AU07_r,ND_CD_ED_MD,CD,MD,0.724864608304908,0.1771749698372647,4.09123596279258,14.058816874026666,0.0053230005127464786,1.6593453048523001,0.8927362058918682,0.16787159758696024
AU07_r,ND_CD_ED_MD,CD,ND,0.45194763953005596,0.240010674643829,1.883031411835066,20.933841707617532,0.26522282799519803,0.7525710208897476,0.8927362058918682,0.44078856636181224
AU07_r,ND_CD_ED_MD,ED,MD,0.7801128345066234,0.2720378731433097,2.8676625996692,10.457446799579767,0.0655824772605903,1.2282693482783056,0.9479844320935836,0.16787159758696024
AU07_r,ND_CD_ED_MD,ED,ND,0.5071958657317714,0.3165734645078228,1.6021427017590042,16.407778388406733,0.4044576657033746,0.678115420732034,0.9479844320935836,0.44078856636181224
AU07_r,ND_CD_ED_MD,MD,ND,-0.272916968774852,0.19331007391495192,-1.4118093446848696,14.647129669394372,0.5119228899181371,-0.5416959013462411,0.16787159758696024,0.44078856636181224
AU09_r,ND_CD_ED,CD,ED,-0.002179879950509944,0.025865466830828316,-0.08427761867850021,18.641309488753105,0.9960926080806098,-0.03493402380520068,0.12633201369925157,0.1285118936497615
AU09_r,ND_CD_ED,CD,ND,0.05898078175577305,0.021306346600834723,2.7682259591826197,12.755110772978352,0.04015228500697576,1.1518089997766012,0.12633201369925157,0.06735123194347852
AU09_r,ND_CD_ED,ED,ND,0.061160661706282995,0.0180575261154891,3.386990073563929,12.636296545074051,0.013008671487789059,1.478411070813931,0.1285118936497615,0.06735123194347852
AU09_r,ND_CD_MD,CD,MD,0.06857961232235539,0.03279748138018954,2.091002401293506,17.312376409007314,0.12097808823853617,0.8865520607457524,0.12633201369925157,0.057752401376896176
AU09_r,ND_CD_MD,CD,ND,0.05898078175577305,0.021306346600834723,2.7682259591826197,12.755110772978352,0.04015228500697576,1.1518089997766012,0.12633201369925157,0.06735123194347852
AU09_r,ND_CD_MD,MD,ND,-0.00959883056658234,0.02706892424753468,-0.3546070201683969,10.478178567405914,0.9334653218625667,-0.15804606936769525,0.057752401376896176,0.06735123194347852
AU09_r,ND_ED_MD,ED,MD,0.07075949227286533,0.030786175936945295,2.298417718972028,15.201582462096642,0.08651052529782155,0.9844519484540265,0.1285118936497615,0.057752401376896176
AU09_r,ND_ED_MD,ED,ND,0.061160661706282995,0.0180575261154891,3.386990073563929,12.636296545074051,0.013008671487789059,1.478411070813931,0.1285118936497615,0.06735123194347852
AU09_r,ND_ED_MD,MD,ND,-0.00959883056658234,0.02706892424753468,-0.3546070201683969,10.478178567405914,0.9334653218625667,-0.15804606936769525,0.057752401376896176,0.06735123194347852
AU09_r,ND_CD_ED_MD,CD,ED,-0.002179879950509944,0.025865466830828316,-0.08427761867850021,18.641309488753105,0.9997771707635769,-0.03493402380520068,0.12633201369925157,0.1285118936497615
AU09_r,ND_CD_ED_MD,CD,MD,0.06857961232235539,0.03279748138018954,2.091002401293506,17.312376409007314,0.19499637939564984,0.8865520607457524,0.12633201369925157,0.057752401376896176
AU09_r,ND_CD_ED_MD,CD,ND,0.05898078175577305,0.021306346600834723,2.7682259591826197,12.755110772978352,0.0679418075437942,1.1518089997766012,0.12633201369925157,0.06735123194347852
AU09_r,ND_CD_ED_MD,ED,MD,0.07075949227286533,0.030786175936945295,2.298417718972028,15.201582462096642,0.14203353588739187,0.9844519484540265,0.1285118936497615,0.057752401376896176
AU09_r,ND_CD_ED_MD,ED,ND,0.061160661706282995,0.0180575261154891,3.386990073563929,12.636296545074051,0.02279297734885266,1.478411070813931,0.1285118936497615,0.06735123194347852
AU09_r,ND_CD_ED_MD,MD,ND,-0.00959883056658234,0.02706892424753468,-0.3546070201683969,10.478178567405914,0.9838654409288705,-0.15804606936769525,0.057752401376896176,0.06735123194347852
AU25_r,ND_CD_ED,CD,ED,0.23508350885753848,0.1637896269869166,1.4352771489998986,18.997016998799577,0.34349748833788707,0.5993967662464893,0.8874555024417444,0.652371993584206
AU25_r,ND_CD_ED,CD,ND,0.5907208288928458,0.12657333493649636,4.6670242921956575,12.927648940112059,0.001209052770204444,1.9405612694712948,0.8874555024417444,0.29673467354889865
AU25_r,ND_CD_ED,ED,ND,0.3556373200353073,0.12224795271237276,2.9091474510993023,11.87424962326814,0.032885584126779444,1.27864544124766,0.652371993584206,0.29673467354889865
AU25_r,ND_CD_MD,CD,MD,0.533795549805772,0.12595220063984722,4.2380803756825856,12.664840058436205,0.002732532973549029,1.7097517771276336,0.8874555024417444,0.3536599526359724
AU25_r,ND_CD_MD,CD,ND,0.5907208288928458,0.12657333493649636,4.6670242921956575,12.927648940112059,0.001209052770204444,1.9405612694712948,0.8874555024417444,0.29673467354889865
AU25_r,ND_CD_MD,MD,ND,0.05692527908707373,0.06309894515658385,0.9021589655074298,19.926074154874183,0.6452345223581907,0.36703766888454237,0.3536599526359724,0.29673467354889865
AU25_r,ND_ED_MD,ED,MD,0.29871204094823356,0.12160472717555171,2.4564180018841304,11.615739489674471,0.07344486888942026,1.0521261945604634,0.652371993584206,0.3536599526359724
AU25_r,ND_ED_MD,ED,ND,0.3556373200353073,0.12224795271237276,2.9091474510993023,11.87424962326814,0.032885584126779444,1.27864544124766,0.652371993584206,0.29673467354889865
AU25_r,ND_ED_MD,MD,ND,0.05692527908707373,0.06309894515658385,0.9021589655074298,19.926074154874183,0.6452345223581907,0.36703766888454237,0.3536599526359724,0.29673467354889865
AU25_r,ND_CD_ED_MD,CD,ED,0.23508350885753848,0.1637896269869166,1.4352771489998986,18.997016998799577,0.49392326805648057,0.5993967662464893,0.8874555024417444,0.652371993584206
AU25_r,ND_CD_ED_MD,CD,MD,0.533795549805772,0.12595220063984722,4.2380803756825856,12.664840058436205,0.00492936671761246,1.7097517771276336,0.8874555024417444,0.3536599526359724
AU25_r,ND_CD_ED_MD,CD,ND,0.5907208288928458,0.12657333493649636,4.6670242921956575,12.927648940112059,0.002206319642717225,1.9405612694712948,0.8874555024417444,0.29673467354889865
AU25_r,ND_CD_ED_MD,ED,MD,0.29871204094823356,0.12160472717555171,2.4564180018841304,11.615739489674471,0.12025704181767882,1.0521261945604634,0.652371993584206,0.3536599526359724
AU25_r,ND_CD_ED_MD,ED,ND,0.3556373200353073,0.12224795271237276,2.9091474510993023,11.87424962326814,0.05584420767210074,1.27864544124766,0.652371993584206,0.29673467354889865
AU25_r,ND_CD_ED_MD,MD,ND,0.05692527908707373,0.06309894515658385,0.9021589655074298,19.926074154874183,0.803820411248485,0.36703766888454237,0.3536599526359724,0.29673467354889865
AU26_r,ND_CD_ED,CD,ED,0.07018470933547893,0.10087421727949157,0.6957645990056963,15.645107182676677,0.7693924753607588,0.28392550942091055,0.6034409457914106,0.5332562364559317
AU26_r,ND_CD_ED,CD,ND,0.3193286767798417,0.093708974330587,3.4076637703163026,12.753180502705371,0.012384026048253838,1.417878275735148,0.6034409457914106,0.2841122690115689
AU26_r,ND_CD_ED,ED,ND,0.2491439674443628,0.059500326515942864,4.18727059216399,16.047227570130445,0.0018919036558333602,1.777396570446777,0.5332562364559317,0.2841122690115689
AU26_r,ND_CD_MD,CD,MD,0.2600788859996888,0.1126799093555251,2.3081211858193265,18.515196739407024,0.0795658401763435,0.9556612780743986,0.6034409457914106,0.3433620597917218
AU26_r,ND_CD_MD,CD,ND,0.3193286767798417,0.093708974330587,3.4076637703163026,12.753180502705371,0.012384026048253838,1.417878275735148,0.6034409457914106,0.2841122690115689
AU26_r,ND_CD_MD,MD,ND,0.05924979078015291,0.07785527031693547,0.76102479047285,12.803587038141623,0.7325726621444588,0.3316978862307347,0.3433620597917218,0.2841122690115689
AU26_r,ND_ED_MD,ED,MD,0.18989417666420988,0.08634627356048756,2.1992168142749624,16.152959016079294,0.10148526961643922,0.9419624901143542,0.5332562364559317,0.3433620597917218
AU26_r,ND_ED_MD,ED,ND,0.2491439674443628,0.059500326515942864,4.18727059216399,16.047227570130445,0.0018919036558333602,1.777396570446777,0.5332562364559317,0.2841122690115689
AU26_r,ND_ED_MD,MD,ND,0.05924979078015291,0.07785527031693547,0.76102479047285,12.803587038141623,0.7325726621444588,0.3316978862307347,0.3433620597917218,0.2841122690115689
AU26_r,ND_CD_ED_MD,CD,ED,0.07018470933547893,0.10087421727949157,0.6957645990056963,15.645107182676677,0.8971761204670966,0.28392550942091055,0.6034409457914106,0.5332562364559317
AU26_r,ND_CD_ED_MD,CD,MD,0.2600788859996888,0.1126799093555251,2.3081211858193265,18.515196739407024,0.13222860207985643,0.9556612780743986,0.6034409457914106,0.3433620597917218
