Feature,Metric,Comparison,Welch_F,P_value,Result,ND_Value,CD_ED_Value,MD_Value
AU01_r,mean,ND_vs_CD_ED_vs_MD,1.8252,0.18992595965307768,기각하지 못함 (차이 없음),0.1856,0.1552,0.3767
AU02_r,mean,ND_vs_CD_ED_vs_MD,0.8699,0.43638920497602346,기각하지 못함 (차이 없음),0.1105,0.0886,0.171
AU04_r,mean,ND_vs_CD_ED_vs_MD,1.2858,0.29833659586333566,기각하지 못함 (차이 없음),0.556,0.3068,0.8276
AU05_r,mean,ND_vs_CD_ED_vs_MD,0.9612,0.40864370683771706,기각하지 못함 (차이 없음),0.0555,0.0861,0.0517
AU06_r,mean,ND_vs_CD_ED_vs_MD,0.2213,0.8037649087762647,기각하지 못함 (차이 없음),0.7948,0.7707,0.6893
AU07_r,mean,ND_vs_CD_ED_vs_MD,3.1897,0.07073197620334007,기각하지 못함 (차이 없음),0.3637,1.0948,0.6434
AU09_r,mean,ND_vs_CD_ED_vs_MD,1.5422,0.24353180798008753,기각하지 못함 (차이 없음),0.0777,0.1375,0.0953
AU10_r,mean,ND_vs_CD_ED_vs_MD,0.297,0.7462840707848923,기각하지 못함 (차이 없음),0.6573,0.7426,0.8332
AU12_r,mean,ND_vs_CD_ED_vs_MD,0.3505,0.7094326216241886,기각하지 못함 (차이 없음),0.1543,0.2803,0.174
AU14_r,mean,ND_vs_CD_ED_vs_MD,0.8294,0.45156642436774097,기각하지 못함 (차이 없음),0.9598,0.5838,0.7614
AU15_r,mean,ND_vs_CD_ED_vs_MD,0.3079,0.7386329923285672,기각하지 못함 (차이 없음),0.1265,0.1081,0.1122
AU17_r,mean,ND_vs_CD_ED_vs_MD,1.7524,0.19858720144475317,기각하지 못함 (차이 없음),0.3182,0.2499,0.3014
AU20_r,mean,ND_vs_CD_ED_vs_MD,1.4178,0.2646346039186581,기각하지 못함 (차이 없음),0.1048,0.0642,0.0874
AU23_r,mean,ND_vs_CD_ED_vs_MD,0.662,0.5303977844881248,기각하지 못함 (차이 없음),0.1219,0.1534,0.1421
AU25_r,mean,ND_vs_CD_ED_vs_MD,8.8136,0.0036927917417601853,기각 (차이 있음),0.2764,0.8066,0.5401
AU26_r,mean,ND_vs_CD_ED_vs_MD,5.7651,0.013668866047475775,기각 (차이 있음),0.2897,0.5195,0.5228
AU45_r,mean,ND_vs_CD_ED_vs_MD,3.9088,0.046377911140921345,기각 (차이 있음),0.1462,0.178,0.3893
pose_Tx,mean,ND_vs_CD_ED_vs_MD,1.2033,0.32765283810981155,기각하지 못함 (차이 없음),-2352.7035,-36.5796,-44.4908
pose_Ty,mean,ND_vs_CD_ED_vs_MD,0.9099,0.4178874102051701,기각하지 못함 (차이 없음),-1705.2418,23.4939,22.4035
pose_Tz,mean,ND_vs_CD_ED_vs_MD,1.5212,0.24309859842601025,기각하지 못함 (차이 없음),3897.6576,266.189,273.6451
pose_Rx,mean,ND_vs_CD_ED_vs_MD,0.3692,0.6970483946206216,기각하지 못함 (차이 없음),-0.0296,0.0354,0.0158
pose_Ry,mean,ND_vs_CD_ED_vs_MD,0.8692,0.43750145209928104,기각하지 못함 (차이 없음),-0.0298,0.0238,-0.0124
pose_Rz,mean,ND_vs_CD_ED_vs_MD,1.3491,0.28557719233936624,기각하지 못함 (차이 없음),0.0095,0.0239,0.0373
Speed,mean,ND_vs_CD_ED_vs_MD,0.2583,0.776373253759102,기각하지 못함 (차이 없음),70.1763,71.8664,70.3298
Acceleration,mean,ND_vs_CD_ED_vs_MD,0.4395,0.6538660430680274,기각하지 못함 (차이 없음),5.9246,5.6758,5.7552
Brake,mean,ND_vs_CD_ED_vs_MD,0.5193,0.6041029532731966,기각하지 못함 (차이 없음),14.6774,8.7773,11.2429
Steering,mean,ND_vs_CD_ED_vs_MD,1.7763,0.20428825329667027,기각하지 못함 (차이 없음),0.0005,0.0009,-0.0001
LaneOffset,mean,ND_vs_CD_ED_vs_MD,1.5982,0.234421979628845,기각하지 못함 (차이 없음),-0.0325,-0.1031,-0.0134
gaze_0_x,mean,ND_vs_CD_ED_vs_MD,0.0784,0.9249700190548278,기각하지 못함 (차이 없음),0.1531,0.141,0.1578
gaze_0_y,mean,ND_vs_CD_ED_vs_MD,0.1324,0.8769493058613256,기각하지 못함 (차이 없음),0.1594,0.1998,0.1712
gaze_0_z,mean,ND_vs_CD_ED_vs_MD,0.4168,0.6662313306101477,기각하지 못함 (차이 없음),-0.9513,-0.9405,-0.9588
gaze_1_x,mean,ND_vs_CD_ED_vs_MD,0.627,0.5457792685763079,기각하지 못함 (차이 없음),-0.0305,-0.0661,-0.0356
gaze_1_y,mean,ND_vs_CD_ED_vs_MD,0.3002,0.7446325434877776,기각하지 못함 (차이 없음),0.1585,0.2096,0.1943
gaze_1_z,mean,ND_vs_CD_ED_vs_MD,0.343,0.7149567828916751,기각하지 못함 (차이 없음),-0.9643,-0.9464,-0.9637
gaze_angle_x,mean,ND_vs_CD_ED_vs_MD,0.2032,0.8180597850528111,기각하지 못함 (차이 없음),0.0643,0.0401,0.0627
gaze_angle_y,mean,ND_vs_CD_ED_vs_MD,0.2045,0.8171357588482107,기각하지 못함 (차이 없음),0.1641,0.2141,0.1878
gaze_vel,mean,ND_vs_CD_ED_vs_MD,2.632,0.1013810945028294,기각하지 못함 (차이 없음),19.532,27.3137,24.1747
gaze_amp,mean,ND_vs_CD_ED_vs_MD,2.3331,0.12761483603654758,기각하지 못함 (차이 없음),0.7269,0.9985,0.9001
gaze_acc,mean,ND_vs_CD_ED_vs_MD,4.389,0.034163234424547426,기각 (차이 있음),0.0598,0.3688,0.4028
