Feature,Metric,Comparison,Welch_F,P_value,Result,ND_Value,CD_Value,ED_Value,MD_Value
AU01_r,std,ND_vs_CD_vs_ED_vs_MD,1.4217,0.2725080113054009,기각하지 못함 (차이 없음),0.3882,0.5585,0.4467,0.2841
AU02_r,std,ND_vs_CD_vs_ED_vs_MD,0.4794,0.7006822713344651,기각하지 못함 (차이 없음),0.377,0.2919,0.3013,0.2375
AU04_r,std,ND_vs_CD_vs_ED_vs_MD,0.5594,0.6496596745003811,기각하지 못함 (차이 없음),0.1645,0.2775,0.2314,0.2348
AU05_r,std,ND_vs_CD_vs_ED_vs_MD,1.4905,0.2542251304711732,기각하지 못함 (차이 없음),0.1386,0.1363,0.2161,0.1183
AU06_r,std,ND_vs_CD_vs_ED_vs_MD,3.6575,0.03569065231923848,기각 (차이 있음),0.1997,0.2989,0.3378,0.3475
AU07_r,std,ND_vs_CD_vs_ED_vs_MD,3.1719,0.05279135450700664,기각하지 못함 (차이 없음),0.2547,0.4591,0.391,0.2525
AU09_r,std,ND_vs_CD_vs_ED_vs_MD,0.5994,0.6247671253929991,기각하지 못함 (차이 없음),0.1577,0.2517,0.1763,0.1598
AU10_r,std,ND_vs_CD_vs_ED_vs_MD,2.8654,0.06870971551476562,기각하지 못함 (차이 없음),0.2486,0.3705,0.3912,0.3567
AU12_r,std,ND_vs_CD_vs_ED_vs_MD,10.9495,0.0006089021031572911,기각 (차이 있음),0.0837,0.3318,0.3685,0.2615
AU14_r,std,ND_vs_CD_vs_ED_vs_MD,1.1223,0.3692681492528835,기각하지 못함 (차이 없음),0.3146,0.419,0.3995,0.3363
AU15_r,std,ND_vs_CD_vs_ED_vs_MD,2.0761,0.14207307151312376,기각하지 못함 (차이 없음),0.1811,0.2568,0.221,0.1609
AU17_r,std,ND_vs_CD_vs_ED_vs_MD,3.1022,0.0562299868928162,기각하지 못함 (차이 없음),0.2409,0.3023,0.3244,0.3357
AU20_r,std,ND_vs_CD_vs_ED_vs_MD,3.7979,0.030841251976317704,기각 (차이 있음),0.1602,0.2156,0.1769,0.1139
AU23_r,std,ND_vs_CD_vs_ED_vs_MD,1.2117,0.33864427438436095,기각하지 못함 (차이 없음),0.2332,0.299,0.3045,0.2075
AU25_r,std,ND_vs_CD_vs_ED_vs_MD,5.2441,0.01123310664929987,기각 (차이 있음),0.3038,0.4864,0.572,0.6199
AU26_r,std,ND_vs_CD_vs_ED_vs_MD,3.5342,0.040609533679955,기각 (차이 있음),0.2881,0.4432,0.4479,0.4297
AU45_r,std,ND_vs_CD_vs_ED_vs_MD,0.9637,0.4361704728736976,기각하지 못함 (차이 없음),0.3635,0.5006,0.3667,0.4942
pose_Tx,std,ND_vs_CD_vs_ED_vs_MD,0.5999,0.6244811156037898,기각하지 못함 (차이 없음),5.9764,5.6011,5.7843,4.8297
pose_Ty,std,ND_vs_CD_vs_ED_vs_MD,4.2037,0.02494990099212241,기각 (차이 있음),5.4222,6.6369,3.6462,4.9913
pose_Tz,std,ND_vs_CD_vs_ED_vs_MD,1.7634,0.19832865207460873,기각하지 못함 (차이 없음),9.0533,5.1471,3.6946,3.6303
pose_Rx,std,ND_vs_CD_vs_ED_vs_MD,2.4589,0.10189488065728798,기각하지 못함 (차이 없음),0.0575,0.0663,0.0438,0.0575
pose_Ry,std,ND_vs_CD_vs_ED_vs_MD,0.2794,0.839452039608144,기각하지 못함 (차이 없음),0.0326,0.0343,0.0353,0.0285
pose_Rz,std,ND_vs_CD_vs_ED_vs_MD,0.3864,0.7643228394031241,기각하지 못함 (차이 없음),0.0282,0.0345,0.0293,0.0363
Speed,std,ND_vs_CD_vs_ED_vs_MD,18.3074,1.9187741007384313e-05,기각 (차이 있음),12.8209,6.6945,5.3109,3.932
Acceleration,std,ND_vs_CD_vs_ED_vs_MD,0.0315,0.9921754967408638,기각하지 못함 (차이 없음),3.7554,3.6253,3.8426,3.5518
Brake,std,ND_vs_CD_vs_ED_vs_MD,1.6115,0.23165529893593015,기각하지 못함 (차이 없음),46.945,39.1944,26.9577,28.4627
Steering,std,ND_vs_CD_vs_ED_vs_MD,1.3176,0.31200126277506646,기각하지 못함 (차이 없음),0.0243,0.0362,0.11,0.0439
LaneOffset,std,ND_vs_CD_vs_ED_vs_MD,8.0968,0.0018176007080980547,기각 (차이 있음),0.2653,0.1682,0.1864,0.2124
gaze_0_x,std,ND_vs_CD_vs_ED_vs_MD,0.4072,0.7498579478459371,기각하지 못함 (차이 없음),0.0393,0.0464,0.0401,0.0395
gaze_0_y,std,ND_vs_CD_vs_ED_vs_MD,0.2132,0.8858006355255319,기각하지 못함 (차이 없음),0.0649,0.0611,0.0572,0.0641
gaze_0_z,std,ND_vs_CD_vs_ED_vs_MD,2.6556,0.08067527170944422,기각하지 못함 (차이 없음),0.048,0.0336,0.0513,0.0217
gaze_1_x,std,ND_vs_CD_vs_ED_vs_MD,0.2027,0.893016111437209,기각하지 못함 (차이 없음),0.0432,0.0402,0.0437,0.0458
gaze_1_y,std,ND_vs_CD_vs_ED_vs_MD,1.4162,0.2734874202719093,기각하지 못함 (차이 없음),0.0576,0.0715,0.0584,0.0613
gaze_1_z,std,ND_vs_CD_vs_ED_vs_MD,3.0057,0.05937027012168992,기각하지 못함 (차이 없음),0.0465,0.0346,0.052,0.0221
gaze_angle_x,std,ND_vs_CD_vs_ED_vs_MD,0.0395,0.9890998507581898,기각하지 못함 (차이 없음),0.0334,0.0328,0.0323,0.0341
gaze_angle_y,std,ND_vs_CD_vs_ED_vs_MD,0.4728,0.7054150389239788,기각하지 못함 (차이 없음),0.0612,0.0648,0.0563,0.0641
gaze_vel,std,ND_vs_CD_vs_ED_vs_MD,0.7219,0.5532139309773023,기각하지 못함 (차이 없음),33.2013,38.9869,38.7069,35.2472
gaze_amp,std,ND_vs_CD_vs_ED_vs_MD,0.8389,0.49187276195173857,기각하지 못함 (차이 없음),1.2232,1.4598,1.4147,1.2937
gaze_acc,std,ND_vs_CD_vs_ED_vs_MD,0.8614,0.4809610002940372,기각하지 못함 (차이 없음),1005.4767,1174.7781,1188.4336,1128.5295
