A,B,mean_A,mean_B,diff,se,T,df,pval,hedges,Feature,Metric
CD,ED,0.09119743384388983,0.13948471715837735,-0.04828728331448752,0.02704326106907561,-1.7855569707791188,12.909788952778925,0.3232319002449108,-0.8440814770955835,AU06_r,var
CD,MD,0.09119743384388983,0.12492688442069147,-0.03372945057680164,0.045649362324848855,-0.738881089658536,8.9511076072259,0.8790596105045173,-0.3492892423840349,AU06_r,var
CD,ND,0.09119743384388983,0.06198451452429013,0.029212919319599698,0.016865352537828976,1.7321262187715991,8.361784597334522,0.366416836165637,0.8752382225764304,AU06_r,var
ED,MD,0.13948471715837735,0.12492688442069147,0.014557832737685877,0.0479206755730676,0.3037902233971776,10.39426687233845,0.9896892373409778,0.14360992378775694,AU06_r,var
ED,ND,0.13948471715837735,0.06198451452429013,0.07750020263408722,0.022292756288514945,3.4764746732558467,7.747094726643328,0.03548793985508547,1.7867953468935678,AU06_r,var
MD,ND,0.12492688442069147,0.06198451452429013,0.06294236989640134,0.04300573559833935,1.4635808228991634,7.192472980414973,0.5028177016183092,0.765308182781142,AU06_r,var
CD,ED,0.12003469800217564,0.18257991292059816,-0.06254521491842252,0.04859788140551472,-1.2869946818571623,13.961835889783156,0.5854445900554389,-0.6083974859688405,AU10_r,var
CD,MD,0.12003469800217564,0.12892073474567609,-0.008886036743500442,0.044207832907087664,-0.20100593399763278,13.037867094242271,0.9969755926155984,-0.09502098698069913,AU10_r,var
CD,ND,0.12003469800217564,0.0520019038807012,0.06803279412147445,0.0369088343846189,1.8432658537118665,8.358647546425926,0.3195224446216105,0.9314732119017821,AU10_r,var
ED,MD,0.18257991292059816,0.12892073474567609,0.05365917817492208,0.042788480858099845,1.2540566315703732,13.339431410356447,0.6054259214059341,0.5928267712878128,AU10_r,var
ED,ND,0.18257991292059816,0.0520019038807012,0.13057800903989697,0.03519635861043328,3.7099863223120373,8.50865662859082,0.02253703491851644,1.8675457319490627,AU10_r,var
MD,ND,0.12892073474567609,0.0520019038807012,0.07691883086497489,0.02883335000777276,2.667703573959997,9.36606502033088,0.09642857656007409,1.3156916433877852,AU10_r,var
CD,ED,0.07047989853068265,0.12469048529571636,-0.05421058676503371,0.035693687363179065,-1.5187723872136654,13.931536019195805,0.4531184820005071,-0.7179651285010055,AU12_r,var
CD,MD,0.07047989853068265,0.11874790709767177,-0.04826800856698912,0.06570262224183336,-0.7346435639863474,9.536140079381784,0.8809173873312429,-0.3472860484299097,AU12_r,var
CD,ND,0.07047989853068265,0.027203622082393273,0.04327627644828938,0.02855277158217889,1.5156593931252584,9.750223794604006,0.46499619955630944,0.7412801431518959,AU12_r,var
ED,MD,0.12469048529571636,0.11874790709767177,0.005942578198044585,0.06501939422826497,0.0913970095935045,9.222342368644076,0.9997053823564407,0.043205859080565755,AU12_r,var
ED,ND,0.12469048529571636,0.027203622082393273,0.09748686321332309,0.026943418888136,3.6182068659538045,10.15175683775748,0.020150903200741643,1.7549276614140947,AU12_r,var
MD,ND,0.11874790709767177,0.027203622082393273,0.0915442850152785,0.061390089373238824,1.4911899616028985,7.51681867606954,0.4869269768485939,0.771739319018102,AU12_r,var
CD,ED,0.20571677082070178,0.33673247468483664,-0.13101570386413486,0.0919173479562675,-1.425364273199762,9.798163668997919,0.5133615352950733,-0.6738085655126149,AU25_r,var
CD,MD,0.20571677082070178,0.40483820504895807,-0.1991214342282563,0.1390716174939288,-1.4317905969343383,8.133901713283054,0.5153110477988034,-0.6768464640053236,AU25_r,var
CD,ND,0.20571677082070178,0.10615929036523859,0.09955748045546318,0.0423978963011084,2.348170290063672,10.250996120093557,0.14983924329536547,1.1366535925655994,AU25_r,var
ED,MD,0.33673247468483664,0.40483820504895807,-0.06810573036412143,0.15771391625208644,-0.431830823700191,11.747390756864908,0.9718166165756336,-0.20413820756736284,AU25_r,var
ED,ND,0.33673247468483664,0.10615929036523859,0.23057318431959806,0.08561744096825155,2.693063255710932,7.683849707685647,0.1053181285285949,1.3867330863011706,AU25_r,var
MD,ND,0.40483820504895807,0.10615929036523859,0.2986789146837195,0.1349906001728125,2.2125904640868046,7.266525037172241,0.2063895480183321,1.1541689983960293,AU25_r,var
CD,ED,117.4339375856,29.066053592996184,88.36788399260382,91.71328484105116,0.9635232686928041,7.220654839701745,0.7733941739163726,0.45548372701841644,Speed,var
CD,MD,117.4339375856,41.53921151855007,75.89472606704993,93.2692934913535,0.8137161034042327,7.705539461950568,0.8464271198243959,0.38466579433654635,Speed,var
CD,ND,117.4339375856,159.92397520818295,-42.490037622582946,96.63409857974946,-0.43970025329637746,8.8013336626997,0.9699512758828627,-0.21973028883875811,Speed,var
ED,MD,29.066053592996184,41.53921151855007,-12.473157925553885,23.429193680733686,-0.5323767473829379,10.980808726966139,0.9493391206545869,-0.25166900785375235,Speed,var
ED,ND,29.066053592996184,159.92397520818295,-130.85792161518677,34.466143046094295,-3.7967091774725166,12.352706973228914,0.011274214630501378,-1.465828828925582,Speed,var
MD,ND,41.53921151855007,159.92397520818295,-118.38476368963288,38.415485269800804,-3.081693823680461,15.91881927723496,0.03270129046761783,-1.2472837282230196,Speed,var
CD,ED,0.02801144804373531,0.026748424988445648,0.0012630230552896603,0.007612508200079469,0.16591417993828567,11.542462740319614,0.9982780882707178,0.07843215778900776,LaneOffset,var
CD,MD,0.02801144804373531,0.04351557555252994,-0.015504127508794631,0.015665072493488023,-0.9897258704190295,9.797946066972514,0.7585297478107178,-0.4678704114708138,LaneOffset,var
CD,ND,0.02801144804373531,0.06629788901380523,-0.038286440970069925,0.0074268793695009645,-5.155118195038424,11.161912223278689,0.00146196111684882,-2.4523486256659597,LaneOffset,var
ED,MD,0.026748424988445648,0.04351557555252994,-0.01676715056408429,0.014786980983709147,-1.1339130402992132,8.069646855839093,0.680510255810859,-0.5360316190505372,LaneOffset,var
ED,ND,0.026748424988445648,0.06629788901380523,-0.03954946402535958,0.005330933084879218,-7.418863338866248,15.771566417867444,8.648896940965933e-06,-3.259721127952098,LaneOffset,var
MD,ND,0.04351557555252994,0.06629788901380523,-0.022782313461275294,0.014692279016048457,-1.550631691406762,7.889361405315698,0.4548693648710068,-0.793702145366893,LaneOffset,var
