Feature,Metric,Comparison,Welch_F,P_value,Result,ND_Value,CD_Value,ED_Value,MD_Value
AU01_r,var,ND_vs_CD_vs_ED_vs_MD,1.297,0.31640022591081496,기각하지 못함 (차이 없음),0.0857,0.5384,0.4782,0.108
AU02_r,var,ND_vs_CD_vs_ED_vs_MD,1.1544,0.36141110484491235,기각하지 못함 (차이 없음),0.0449,0.1963,0.3131,0.0526
AU04_r,var,ND_vs_CD_vs_ED_vs_MD,0.7289,0.5502660121308076,기각하지 못함 (차이 없음),0.0806,0.0556,0.121,0.1028
AU05_r,var,ND_vs_CD_vs_ED_vs_MD,0.4866,0.6965148108590422,기각하지 못함 (차이 없음),0.0247,0.0283,0.0189,0.0326
AU06_r,var,ND_vs_CD_vs_ED_vs_MD,4.8598,0.017987675025987367,기각 (차이 있음),0.062,0.0912,0.1395,0.1249
AU07_r,var,ND_vs_CD_vs_ED_vs_MD,1.2157,0.33538831024585614,기각하지 못함 (차이 없음),0.1604,0.1376,0.2439,0.1141
AU09_r,var,ND_vs_CD_vs_ED_vs_MD,0.5575,0.6505669328371719,기각하지 못함 (차이 없음),0.0286,0.0364,0.0987,0.0359
AU10_r,var,ND_vs_CD_vs_ED_vs_MD,6.2184,0.006768583886205629,기각 (차이 있음),0.052,0.12,0.1826,0.1289
AU12_r,var,ND_vs_CD_vs_ED_vs_MD,4.6353,0.018660220065330847,기각 (차이 있음),0.0272,0.0705,0.1247,0.1187
AU14_r,var,ND_vs_CD_vs_ED_vs_MD,0.335,0.8002310857603891,기각하지 못함 (차이 없음),0.1213,0.124,0.1757,0.1242
AU15_r,var,ND_vs_CD_vs_ED_vs_MD,1.1222,0.3704273387966493,기각하지 못함 (차이 없음),0.0338,0.0514,0.0288,0.0455
AU17_r,var,ND_vs_CD_vs_ED_vs_MD,0.3914,0.7607338105119004,기각하지 못함 (차이 없음),0.1053,0.0803,0.0901,0.1038
AU20_r,var,ND_vs_CD_vs_ED_vs_MD,0.5749,0.6392857373502732,기각하지 못함 (차이 없음),0.0377,0.0351,0.0264,0.0228
AU23_r,var,ND_vs_CD_vs_ED_vs_MD,0.5578,0.6514559391745575,기각하지 못함 (차이 없음),0.0568,0.099,0.1172,0.0574
AU25_r,var,ND_vs_CD_vs_ED_vs_MD,4.7777,0.01789192728620139,기각 (차이 있음),0.1062,0.2057,0.3367,0.4048
AU26_r,var,ND_vs_CD_vs_ED_vs_MD,0.5875,0.6317848101346539,기각하지 못함 (차이 없음),0.1777,0.2453,0.2498,0.197
AU45_r,var,ND_vs_CD_vs_ED_vs_MD,2.1998,0.13253345800557778,기각하지 못함 (차이 없음),0.0885,0.2878,0.1265,0.2272
pose_Tx,var,ND_vs_CD_vs_ED_vs_MD,0.1455,0.9311381719052253,기각하지 못함 (차이 없음),58.1971,41.6904,42.9773,38.9237
pose_Ty,var,ND_vs_CD_vs_ED_vs_MD,1.0192,0.41281301772271006,기각하지 못함 (차이 없음),69.2069,71.7534,26.3257,45.0466
pose_Tz,var,ND_vs_CD_vs_ED_vs_MD,1.3979,0.2792256362554264,기각하지 못함 (차이 없음),137.6539,24.3805,24.5531,20.5229
pose_Rx,var,ND_vs_CD_vs_ED_vs_MD,0.4441,0.724665133473585,기각하지 못함 (차이 없음),0.0058,0.0036,0.0036,0.004
pose_Ry,var,ND_vs_CD_vs_ED_vs_MD,0.2324,0.8725527791001074,기각하지 못함 (차이 없음),0.0023,0.0019,0.0014,0.0015
pose_Rz,var,ND_vs_CD_vs_ED_vs_MD,0.619,0.6131143622918387,기각하지 못함 (차이 없음),0.0014,0.0018,0.0022,0.0011
Speed,var,ND_vs_CD_vs_ED_vs_MD,4.6263,0.017053059670048745,기각 (차이 있음),159.924,117.4339,29.0661,41.5392
Acceleration,var,ND_vs_CD_vs_ED_vs_MD,0.1191,0.9474157706897965,기각하지 못함 (차이 없음),16.0269,15.928,18.0094,20.6393
Brake,var,ND_vs_CD_vs_ED_vs_MD,1.0383,0.4028817262300863,기각하지 못함 (차이 없음),2478.9451,2709.9584,1188.6348,2234.5309
Steering,var,ND_vs_CD_vs_ED_vs_MD,1.8212,0.1910605282476129,기각하지 못함 (차이 없음),0.0006,0.0028,0.0005,0.0069
LaneOffset,var,ND_vs_CD_vs_ED_vs_MD,19.4837,1.7331589138223734e-05,기각 (차이 있음),0.0663,0.028,0.0267,0.0435
gaze_0_x,var,ND_vs_CD_vs_ED_vs_MD,0.744,0.5407435719998523,기각하지 못함 (차이 없음),0.0023,0.0028,0.0017,0.0019
gaze_0_y,var,ND_vs_CD_vs_ED_vs_MD,0.721,0.5548669879047023,기각하지 못함 (차이 없음),0.0033,0.0047,0.0044,0.0036
gaze_0_z,var,ND_vs_CD_vs_ED_vs_MD,0.4493,0.7213293629771961,기각하지 못함 (차이 없음),0.0032,0.003,0.0025,0.0016
gaze_1_x,var,ND_vs_CD_vs_ED_vs_MD,2.4202,0.10586534709032,기각하지 못함 (차이 없음),0.0025,0.0021,0.0014,0.0033
gaze_1_y,var,ND_vs_CD_vs_ED_vs_MD,0.7138,0.5580066522996494,기각하지 못함 (차이 없음),0.0036,0.0049,0.0041,0.0042
gaze_1_z,var,ND_vs_CD_vs_ED_vs_MD,0.3059,0.8207163548260565,기각하지 못함 (차이 없음),0.0031,0.0031,0.0024,0.0017
gaze_angle_x,var,ND_vs_CD_vs_ED_vs_MD,1.6534,0.21728274480962848,기각하지 못함 (차이 없음),0.0019,0.0014,0.0009,0.002
gaze_angle_y,var,ND_vs_CD_vs_ED_vs_MD,0.4708,0.7068942913557896,기각하지 못함 (차이 없음),0.0034,0.0043,0.004,0.0041
gaze_vel,var,ND_vs_CD_vs_ED_vs_MD,1.5331,0.24471381629889355,기각하지 못함 (차이 없음),1023.7122,1676.2177,1208.7712,2217.8452
gaze_amp,var,ND_vs_CD_vs_ED_vs_MD,1.6674,0.21411803872972981,기각하지 못함 (차이 없음),1.3868,2.3291,1.6221,2.9502
gaze_acc,var,ND_vs_CD_vs_ED_vs_MD,1.9126,0.16913643995737176,기각하지 못함 (차이 없음),957400.8171,1586005.453,1181692.1724,2084661.651
