Feature,Comparison,Group,W_statistic,P_value,Is_Normal,Result
AU01_r,ND_vs_CD_ED_vs_MD,ND,0.7151,0.00036184906813430286,False,정규성 위배
AU01_r,ND_vs_CD_ED_vs_MD,CD_ED,0.8371,0.01944596103980271,False,정규성 위배
AU01_r,ND_vs_CD_ED_vs_MD,MD,0.685,0.002538583755858806,False,정규성 위배
AU02_r,ND_vs_CD_ED_vs_MD,ND,0.856,0.021111801173115074,False,정규성 위배
AU02_r,ND_vs_CD_ED_vs_MD,CD_ED,0.7954,0.006019587330027109,False,정규성 위배
AU02_r,ND_vs_CD_ED_vs_MD,MD,0.5877,0.00019501149514613027,False,정규성 위배
AU04_r,ND_vs_CD_ED_vs_MD,ND,0.8315,0.00961744128398035,False,정규성 위배
AU04_r,ND_vs_CD_ED_vs_MD,CD_ED,0.6323,0.0001263541316141823,False,정규성 위배
AU04_r,ND_vs_CD_ED_vs_MD,MD,0.9054,0.36504787574428066,True,정규성 만족
AU05_r,ND_vs_CD_ED_vs_MD,ND,0.8182,0.0063546902926793275,False,정규성 위배
AU05_r,ND_vs_CD_ED_vs_MD,CD_ED,0.8059,0.00802632945714785,False,정규성 위배
AU05_r,ND_vs_CD_ED_vs_MD,MD,0.9835,0.974747192358433,True,정규성 만족
AU06_r,ND_vs_CD_ED_vs_MD,ND,0.9611,0.7111723757771664,True,정규성 만족
AU06_r,ND_vs_CD_ED_vs_MD,CD_ED,0.9463,0.5440802193927965,True,정규성 만족
AU06_r,ND_vs_CD_ED_vs_MD,MD,0.975,0.9319233609764808,True,정규성 만족
AU07_r,ND_vs_CD_ED_vs_MD,ND,0.8581,0.022669458343917336,False,정규성 위배
AU07_r,ND_vs_CD_ED_vs_MD,CD_ED,0.7982,0.006481692532648738,False,정규성 위배
AU07_r,ND_vs_CD_ED_vs_MD,MD,0.919,0.4616089406794401,True,정규성 만족
AU09_r,ND_vs_CD_ED_vs_MD,ND,0.9334,0.30613951086371527,True,정규성 만족
AU09_r,ND_vs_CD_ED_vs_MD,CD_ED,0.8743,0.05982440211179118,True,정규성 만족
AU09_r,ND_vs_CD_ED_vs_MD,MD,0.8215,0.06641638598136881,True,정규성 만족
AU10_r,ND_vs_CD_ED_vs_MD,ND,0.9257,0.23501622142107403,True,정규성 만족
AU10_r,ND_vs_CD_ED_vs_MD,CD_ED,0.9124,0.19807706082487403,True,정규성 만족
AU10_r,ND_vs_CD_ED_vs_MD,MD,0.9849,0.9799867979386205,True,정규성 만족
AU12_r,ND_vs_CD_ED_vs_MD,ND,0.6603,9.642477280666934e-05,False,정규성 위배
AU12_r,ND_vs_CD_ED_vs_MD,CD_ED,0.8063,0.008112295306074489,False,정규성 위배
AU12_r,ND_vs_CD_ED_vs_MD,MD,0.7079,0.0045206673294706165,False,정규성 위배
AU14_r,ND_vs_CD_ED_vs_MD,ND,0.865,0.028489530918537072,False,정규성 위배
AU14_r,ND_vs_CD_ED_vs_MD,CD_ED,0.8637,0.04309454012669056,False,정규성 위배
AU14_r,ND_vs_CD_ED_vs_MD,MD,0.8389,0.09694376205619046,True,정규성 만족
AU15_r,ND_vs_CD_ED_vs_MD,ND,0.8634,0.027043553636460257,False,정규성 위배
AU15_r,ND_vs_CD_ED_vs_MD,CD_ED,0.8763,0.06353412077434421,True,정규성 만족
AU15_r,ND_vs_CD_ED_vs_MD,MD,0.9313,0.562333089398382,True,정규성 만족
AU17_r,ND_vs_CD_ED_vs_MD,ND,0.7812,0.002132601382528351,False,정규성 위배
AU17_r,ND_vs_CD_ED_vs_MD,CD_ED,0.8722,0.05593894959602435,True,정규성 만족
AU17_r,ND_vs_CD_ED_vs_MD,MD,0.9014,0.33926927742067686,True,정규성 만족
AU20_r,ND_vs_CD_ED_vs_MD,ND,0.8832,0.0530089171029604,True,정규성 만족
AU20_r,ND_vs_CD_ED_vs_MD,CD_ED,0.8736,0.058423171464068606,True,정규성 만족
AU20_r,ND_vs_CD_ED_vs_MD,MD,0.6998,0.00368636082075329,False,정규성 위배
AU23_r,ND_vs_CD_ED_vs_MD,ND,0.9462,0.466810752388358,True,정규성 만족
AU23_r,ND_vs_CD_ED_vs_MD,CD_ED,0.8758,0.06256451864170597,True,정규성 만족
AU23_r,ND_vs_CD_ED_vs_MD,MD,0.6551,0.0011749890110879556,False,정규성 위배
AU25_r,ND_vs_CD_ED_vs_MD,ND,0.6589,9.346114735664662e-05,False,정규성 위배
AU25_r,ND_vs_CD_ED_vs_MD,CD_ED,0.8309,0.01626844427258478,False,정규성 위배
AU25_r,ND_vs_CD_ED_vs_MD,MD,0.937,0.6116530946126528,True,정규성 만족
AU26_r,ND_vs_CD_ED_vs_MD,ND,0.8527,0.018987431227326046,False,정규성 위배
AU26_r,ND_vs_CD_ED_vs_MD,CD_ED,0.965,0.8286272352468131,True,정규성 만족
AU26_r,ND_vs_CD_ED_vs_MD,MD,0.8949,0.3010089743205297,True,정규성 만족
AU45_r,ND_vs_CD_ED_vs_MD,ND,0.926,0.2372929921692259,True,정규성 만족
AU45_r,ND_vs_CD_ED_vs_MD,CD_ED,0.7884,0.004974848495438094,False,정규성 위배
AU45_r,ND_vs_CD_ED_vs_MD,MD,0.8543,0.13446777315857794,True,정규성 만족
pose_Tx,ND_vs_CD_ED_vs_MD,ND,0.2857,1.0065561773541036e-07,False,정규성 위배
pose_Tx,ND_vs_CD_ED_vs_MD,CD_ED,0.981,0.983834514189781,True,정규성 만족
pose_Tx,ND_vs_CD_ED_vs_MD,MD,0.9197,0.4668889909962618,True,정규성 만족
pose_Ty,ND_vs_CD_ED_vs_MD,ND,0.2857,1.0066492643638092e-07,False,정규성 위배
pose_Ty,ND_vs_CD_ED_vs_MD,CD_ED,0.9311,0.3523833079368257,True,정규성 만족
pose_Ty,ND_vs_CD_ED_vs_MD,MD,0.8198,0.06390859517006728,True,정규성 만족
pose_Tz,ND_vs_CD_ED_vs_MD,ND,0.2857,1.0064222907820988e-07,False,정규성 위배
pose_Tz,ND_vs_CD_ED_vs_MD,CD_ED,0.969,0.8821438566753097,True,정규성 만족
pose_Tz,ND_vs_CD_ED_vs_MD,MD,0.8901,0.27543584337864907,True,정규성 만족
pose_Rx,ND_vs_CD_ED_vs_MD,ND,0.9496,0.518662169014428,True,정규성 만족
pose_Rx,ND_vs_CD_ED_vs_MD,CD_ED,0.9028,0.14596998442281645,True,정규성 만족
pose_Rx,ND_vs_CD_ED_vs_MD,MD,0.8524,0.1293448310080681,True,정규성 만족
pose_Ry,ND_vs_CD_ED_vs_MD,ND,0.9446,0.44434307137380225,True,정규성 만족
pose_Ry,ND_vs_CD_ED_vs_MD,CD_ED,0.9681,0.8710920270066121,True,정규성 만족
pose_Ry,ND_vs_CD_ED_vs_MD,MD,0.9768,0.9425719815314374,True,정규성 만족
pose_Rz,ND_vs_CD_ED_vs_MD,ND,0.9777,0.9513184881726005,True,정규성 만족
pose_Rz,ND_vs_CD_ED_vs_MD,CD_ED,0.9115,0.19204185633852183,True,정규성 만족
pose_Rz,ND_vs_CD_ED_vs_MD,MD,0.9846,0.9789029941031956,True,정규성 만족
Speed,ND_vs_CD_ED_vs_MD,ND,0.7652,0.0013619179405120754,False,정규성 위배
Speed,ND_vs_CD_ED_vs_MD,CD_ED,0.9274,0.31529124810970016,True,정규성 만족
Speed,ND_vs_CD_ED_vs_MD,MD,0.8174,0.060651993518266376,True,정규성 만족
Acceleration,ND_vs_CD_ED_vs_MD,ND,0.7302,0.0005333718136729996,False,정규성 위배
Acceleration,ND_vs_CD_ED_vs_MD,CD_ED,0.8547,0.03285953129264917,False,정규성 위배
Acceleration,ND_vs_CD_ED_vs_MD,MD,0.8725,0.19530114116990777,True,정규성 만족
Brake,ND_vs_CD_ED_vs_MD,ND,0.8139,0.005575655428614339,False,정규성 위배
Brake,ND_vs_CD_ED_vs_MD,CD_ED,0.8054,0.00791753648154074,False,정규성 위배
Brake,ND_vs_CD_ED_vs_MD,MD,0.7086,0.004602271976061433,False,정규성 위배
Steering,ND_vs_CD_ED_vs_MD,ND,0.9747,0.920553068394101,True,정규성 만족
Steering,ND_vs_CD_ED_vs_MD,CD_ED,0.6964,0.0005103134458500914,False,정규성 위배
Steering,ND_vs_CD_ED_vs_MD,MD,0.9172,0.44775105832358897,True,정규성 만족
LaneOffset,ND_vs_CD_ED_vs_MD,ND,0.9623,0.731632393922561,True,정규성 만족
LaneOffset,ND_vs_CD_ED_vs_MD,CD_ED,0.8717,0.05518493034171828,True,정규성 만족
LaneOffset,ND_vs_CD_ED_vs_MD,MD,0.9613,0.8300113681189549,True,정규성 만족
gaze_0_x,ND_vs_CD_ED_vs_MD,ND,0.9438,0.43192414156165043,True,정규성 만족
gaze_0_x,ND_vs_CD_ED_vs_MD,CD_ED,0.9098,0.18213151127652888,True,정규성 만족
gaze_0_x,ND_vs_CD_ED_vs_MD,MD,0.9137,0.4220359884188826,True,정규성 만족
gaze_0_y,ND_vs_CD_ED_vs_MD,ND,0.8608,0.024783278719618336,False,정규성 위배
gaze_0_y,ND_vs_CD_ED_vs_MD,CD_ED,0.9202,0.2523441245863972,True,정규성 만족
gaze_0_y,ND_vs_CD_ED_vs_MD,MD,0.891,0.2798107066911786,True,정규성 만족
gaze_0_z,ND_vs_CD_ED_vs_MD,ND,0.493,3.09050928027781e-06,False,정규성 위배
gaze_0_z,ND_vs_CD_ED_vs_MD,CD_ED,0.9097,0.18139216724819412,True,정규성 만족
gaze_0_z,ND_vs_CD_ED_vs_MD,MD,0.8043,0.045180828632895915,False,정규성 위배
