Feature,Metric,Comparison,Welch_F,P_value,Result,ND_Value,CD_Value,ED_Value,MD_Value
AU01_r,std,ND_vs_CD_vs_ED_vs_MD,2.4646,0.1084636444713994,기각하지 못함 (차이 없음),0.2648,0.5604,0.5229,0.3876
AU02_r,std,ND_vs_CD_vs_ED_vs_MD,0.7825,0.5202202497042074,기각하지 못함 (차이 없음),0.2195,0.405,0.3004,0.2884
AU04_r,std,ND_vs_CD_vs_ED_vs_MD,0.7963,0.5134329949861947,기각하지 못함 (차이 없음),0.1969,0.3291,0.1985,0.1731
AU05_r,std,ND_vs_CD_vs_ED_vs_MD,1.1704,0.3530390632611015,기각하지 못함 (차이 없음),0.1288,0.1364,0.1835,0.1825
AU06_r,std,ND_vs_CD_vs_ED_vs_MD,3.9255,0.028146925870714875,기각 (차이 있음),0.208,0.3817,0.2927,0.3037
AU07_r,std,ND_vs_CD_vs_ED_vs_MD,0.4554,0.7166832229075424,기각하지 못함 (차이 없음),0.3412,0.3954,0.3776,0.3129
AU09_r,std,ND_vs_CD_vs_ED_vs_MD,0.3755,0.7717762569429405,기각하지 못함 (차이 없음),0.1543,0.1922,0.1776,0.1753
AU10_r,std,ND_vs_CD_vs_ED_vs_MD,1.9716,0.15732975670047467,기각하지 못함 (차이 없음),0.3003,0.4279,0.3158,0.3107
AU12_r,std,ND_vs_CD_vs_ED_vs_MD,5.3472,0.01030592409339686,기각 (차이 있음),0.1337,0.3715,0.2888,0.2599
AU14_r,std,ND_vs_CD_vs_ED_vs_MD,1.7124,0.20375690039769348,기각하지 못함 (차이 없음),0.4003,0.4545,0.367,0.2839
AU15_r,std,ND_vs_CD_vs_ED_vs_MD,0.861,0.480432065354639,기각하지 못함 (차이 없음),0.2019,0.231,0.2189,0.1676
AU17_r,std,ND_vs_CD_vs_ED_vs_MD,4.4368,0.018269780050554043,기각 (차이 있음),0.2677,0.3903,0.2838,0.2662
AU20_r,std,ND_vs_CD_vs_ED_vs_MD,0.2858,0.834864288564421,기각하지 못함 (차이 없음),0.185,0.1743,0.1605,0.1797
AU23_r,std,ND_vs_CD_vs_ED_vs_MD,1.1555,0.35848488363689085,기각하지 못함 (차이 없음),0.2681,0.2119,0.3181,0.2547
AU25_r,std,ND_vs_CD_vs_ED_vs_MD,8.0965,0.0018848556154752443,기각 (차이 있음),0.3214,0.7444,0.5114,0.4296
AU26_r,std,ND_vs_CD_vs_ED_vs_MD,1.674,0.2096569739682699,기각하지 못함 (차이 없음),0.4036,0.4487,0.4838,0.3073
AU45_r,std,ND_vs_CD_vs_ED_vs_MD,4.5074,0.020274483496810512,기각 (차이 있음),0.2761,0.4431,0.5029,0.4575
pose_Tx,std,ND_vs_CD_vs_ED_vs_MD,0.6817,0.5774625415629955,기각하지 못함 (차이 없음),640775.6387,6.109,4.8617,5.6963
pose_Ty,std,ND_vs_CD_vs_ED_vs_MD,0.4848,0.6969952008379131,기각하지 못함 (차이 없음),480585.9818,6.4048,5.5852,4.9986
pose_Tz,std,ND_vs_CD_vs_ED_vs_MD,0.5328,0.6659493787986834,기각하지 못함 (차이 없음),1001203.3741,4.5895,4.1457,3.9013
pose_Rx,std,ND_vs_CD_vs_ED_vs_MD,1.431,0.27324118018361354,기각하지 못함 (차이 없음),0.0764,0.0553,0.0465,0.067
pose_Ry,std,ND_vs_CD_vs_ED_vs_MD,1.566,0.24148869450951319,기각하지 못함 (차이 없음),0.0654,0.0345,0.0253,0.0349
pose_Rz,std,ND_vs_CD_vs_ED_vs_MD,1.3462,0.29464815652379894,기각하지 못함 (차이 없음),0.0526,0.0277,0.0291,0.0439
Speed,std,ND_vs_CD_vs_ED_vs_MD,16.8651,3.384553684164492e-05,기각 (차이 있음),12.8009,7.5616,3.0551,5.6176
Acceleration,std,ND_vs_CD_vs_ED_vs_MD,2.0905,0.13959422600309984,기각하지 못함 (차이 없음),4.1768,4.6025,2.8115,3.4964
Brake,std,ND_vs_CD_vs_ED_vs_MD,6.1615,0.005287346257494052,기각 (차이 있음),57.4601,49.1767,15.3111,29.1731
Steering,std,ND_vs_CD_vs_ED_vs_MD,1.8036,0.19509463897361404,기각하지 못함 (차이 없음),0.0237,0.045,0.0342,0.1462
LaneOffset,std,ND_vs_CD_vs_ED_vs_MD,7.8337,0.0018700356898017103,기각 (차이 있음),0.2784,0.1855,0.1496,0.2055
gaze_0_x,std,ND_vs_CD_vs_ED_vs_MD,0.277,0.8411792732924775,기각하지 못함 (차이 없음),0.0496,0.0426,0.0409,0.0465
