Feature,Comparison,Welch_F,P_value,Result,ND_Mean,CD_ED_Mean,MD_Mean
AU01_r,ND_vs_CD_ED_vs_MD,0.9887,0.3956250827662642,기각하지 못함 (차이 없음),0.1826,0.2305,0.3617
AU02_r,ND_vs_CD_ED_vs_MD,0.1851,0.8323938979083707,기각하지 못함 (차이 없음),0.1236,0.0966,0.1133
AU04_r,ND_vs_CD_ED_vs_MD,0.1997,0.820486200459906,기각하지 못함 (차이 없음),0.542,0.5903,0.4186
AU05_r,ND_vs_CD_ED_vs_MD,0.8569,0.44494639595578706,기각하지 못함 (차이 없음),0.0542,0.0433,0.0655
AU06_r,ND_vs_CD_ED_vs_MD,0.1616,0.8519882976915385,기각하지 못함 (차이 없음),0.7123,0.7977,0.6917
AU07_r,ND_vs_CD_ED_vs_MD,0.2804,0.7587669669428772,기각하지 못함 (차이 없음),0.7211,0.5399,0.6395
AU09_r,ND_vs_CD_ED_vs_MD,1.5629,0.23629411924214586,기각하지 못함 (차이 없음),0.0804,0.1343,0.0867
AU10_r,ND_vs_CD_ED_vs_MD,1.6454,0.2179817188240539,기각하지 못함 (차이 없음),0.7142,1.0207,0.5949
AU12_r,ND_vs_CD_ED_vs_MD,0.3944,0.6792883201166627,기각하지 못함 (차이 없음),0.1824,0.2125,0.1414
AU14_r,ND_vs_CD_ED_vs_MD,0.5775,0.5711239729225865,기각하지 못함 (차이 없음),0.6593,0.9195,0.7103
AU15_r,ND_vs_CD_ED_vs_MD,1.6401,0.22507140785005442,기각하지 못함 (차이 없음),0.1243,0.0879,0.1567
AU17_r,ND_vs_CD_ED_vs_MD,3.7157,0.050602486450821084,기각하지 못함 (차이 없음),0.2538,0.3329,0.3541
AU20_r,ND_vs_CD_ED_vs_MD,2.0465,0.15951565625608932,기각하지 못함 (차이 없음),0.1082,0.0671,0.105
AU23_r,ND_vs_CD_ED_vs_MD,1.5616,0.24097552388525656,기각하지 못함 (차이 없음),0.1128,0.1657,0.167
AU25_r,ND_vs_CD_ED_vs_MD,5.9347,0.015136609023411267,기각 (차이 있음),0.2697,0.6621,0.4668
AU26_r,ND_vs_CD_ED_vs_MD,6.5006,0.008310484397502944,기각 (차이 있음),0.2929,0.5298,0.4281
AU45_r,ND_vs_CD_ED_vs_MD,2.6984,0.10514124441350382,기각하지 못함 (차이 없음),0.1801,0.2491,0.415
pose_Tx,ND_vs_CD_ED_vs_MD,2.2508,0.13158697497088745,기각하지 못함 (차이 없음),-41.6165,-44.2364,-27.9745
pose_Ty,ND_vs_CD_ED_vs_MD,0.0555,0.9461724873719399,기각하지 못함 (차이 없음),23.6983,22.7138,25.0369
pose_Tz,ND_vs_CD_ED_vs_MD,0.5665,0.5776377542729976,기각하지 못함 (차이 없음),267.0482,272.6945,273.0955
pose_Rx,ND_vs_CD_ED_vs_MD,0.6452,0.5361772511167174,기각하지 못함 (차이 없음),-0.0099,0.063,0.0412
pose_Ry,ND_vs_CD_ED_vs_MD,0.6522,0.5316492561995134,기각하지 못함 (차이 없음),-0.0329,-0.0226,0.0063
pose_Rz,ND_vs_CD_ED_vs_MD,0.9091,0.42184576076011726,기각하지 못함 (차이 없음),0.0204,0.0353,0.0076
Speed,ND_vs_CD_ED_vs_MD,0.7338,0.4982107455543415,기각하지 못함 (차이 없음),69.2741,69.0784,71.3576
Acceleration,ND_vs_CD_ED_vs_MD,0.0668,0.9357083491287325,기각하지 못함 (차이 없음),5.7952,5.6389,5.778
Brake,ND_vs_CD_ED_vs_MD,0.5751,0.5759213512491699,기각하지 못함 (차이 없음),11.7141,16.9481,18.1798
Steering,ND_vs_CD_ED_vs_MD,0.2554,0.7783836353591438,기각하지 못함 (차이 없음),0.0003,0.0004,0.0009
LaneOffset,ND_vs_CD_ED_vs_MD,0.1581,0.8549327408372074,기각하지 못함 (차이 없음),-0.0535,-0.0315,-0.0424
gaze_0_x,ND_vs_CD_ED_vs_MD,0.6637,0.5254180828573519,기각하지 못함 (차이 없음),0.1825,0.1626,0.1449
gaze_0_y,ND_vs_CD_ED_vs_MD,0.3101,0.7372493764222785,기각하지 못함 (차이 없음),0.1795,0.2246,0.1946
gaze_0_z,ND_vs_CD_ED_vs_MD,0.0585,0.9433866456181371,기각하지 못함 (차이 없음),-0.9444,-0.9408,-0.9469
gaze_1_x,ND_vs_CD_ED_vs_MD,1.7746,0.19588433305287117,기각하지 못함 (차이 없음),-0.0296,-0.0262,-0.0785
gaze_1_y,ND_vs_CD_ED_vs_MD,0.2331,0.7945154973159494,기각하지 못함 (차이 없음),0.1898,0.229,0.2097
gaze_1_z,ND_vs_CD_ED_vs_MD,0.7442,0.4904091300961843,기각하지 못함 (차이 없음),-0.963,-0.9522,-0.9483
gaze_angle_x,ND_vs_CD_ED_vs_MD,1.3367,0.2843320639688248,기각하지 못함 (차이 없음),0.0801,0.0709,0.0349
gaze_angle_y,ND_vs_CD_ED_vs_MD,0.2724,0.7647526840191591,기각하지 못함 (차이 없음),0.1906,0.2354,0.2092
gaze_vel,ND_vs_CD_ED_vs_MD,2.3936,0.11885641371695409,기각하지 못함 (차이 없음),20.9529,25.7161,25.5203
gaze_amp,ND_vs_CD_ED_vs_MD,2.6746,0.09534655772779035,기각하지 못함 (차이 없음),0.7702,0.9482,0.9489
gaze_acc,ND_vs_CD_ED_vs_MD,2.5906,0.11326863642640272,기각하지 못함 (차이 없음),-0.0196,0.2492,0.1975
