A,B,mean_A,mean_B,diff,se,T,df,pval,hedges,Feature
CD_ED,MD,0.6620542549414067,0.46679898311834656,0.19525527182306013,0.16843382453234076,1.159240267595832,17.895111209816537,0.4917137257623936,0.49199119961619625,AU25_r
CD_ED,ND,0.6620542549414067,0.2696783723394311,0.3923758826019756,0.1233329688412092,3.181435477379599,10.723934471662615,0.02252075071122539,1.416886558649193,AU25_r
MD,ND,0.46679898311834656,0.2696783723394311,0.19712061077891546,0.11923647062527422,1.6531905862796676,8.623174264469235,0.27621466101373016,0.8524400256717758,AU25_r
CD_ED,MD,0.5298268772129189,0.42807037563090033,0.10175650158201854,0.08393587419941136,1.2123124057809855,17.355290548983746,0.4619220897108761,0.5008121717990431,AU26_r
CD_ED,ND,0.5298268772129189,0.2929455341368095,0.23688134307610936,0.07350171427161321,3.222800249267034,13.556668881593712,0.016374390426778906,1.367224314034984,AU26_r
MD,ND,0.42807037563090033,0.2929455341368095,0.13512484149409082,0.05718589703128555,2.362904990721157,13.34155384167738,0.08105024642893721,1.0376973383996628,AU26_r
