Feature,Metric,Comparison,Welch_F,P_value,Result,ND_Value,CD_ED_Value,MD_Value
AU01_r,std,ND_vs_CD_ED_vs_MD,0.1846,0.8329608088625631,기각하지 못함 (차이 없음),0.3705,0.4451,0.4477
AU02_r,std,ND_vs_CD_ED_vs_MD,0.2997,0.7443818031389888,기각하지 못함 (차이 없음),0.3312,0.266,0.2598
AU04_r,std,ND_vs_CD_ED_vs_MD,2.74,0.0931844052652512,기각하지 못함 (차이 없음),0.173,0.158,0.3888
AU05_r,std,ND_vs_CD_ED_vs_MD,0.8454,0.45043723936233976,기각하지 못함 (차이 없음),0.1341,0.1551,0.1819
AU06_r,std,ND_vs_CD_ED_vs_MD,4.7861,0.0239607337800269,기각 (차이 있음),0.228,0.307,0.3682
AU07_r,std,ND_vs_CD_ED_vs_MD,2.5284,0.10865907830990396,기각하지 못함 (차이 없음),0.2708,0.4314,0.385
AU09_r,std,ND_vs_CD_ED_vs_MD,1.4706,0.25665935930279704,기각하지 못함 (차이 없음),0.1433,0.2446,0.1636
AU10_r,std,ND_vs_CD_ED_vs_MD,4.0344,0.0347738154284434,기각 (차이 있음),0.2432,0.3517,0.3849
AU12_r,std,ND_vs_CD_ED_vs_MD,16.0018,0.00036686669753839616,기각 (차이 있음),0.0838,0.3048,0.3757
AU14_r,std,ND_vs_CD_ED_vs_MD,2.7443,0.08976173319544012,기각하지 못함 (차이 없음),0.2853,0.3691,0.4252
AU15_r,std,ND_vs_CD_ED_vs_MD,0.4106,0.6690171714635214,기각하지 못함 (차이 없음),0.1815,0.2172,0.2004
AU17_r,std,ND_vs_CD_ED_vs_MD,2.9756,0.07521407616273677,기각하지 못함 (차이 없음),0.2556,0.2838,0.3438
AU20_r,std,ND_vs_CD_ED_vs_MD,1.5096,0.24758460791775194,기각하지 못함 (차이 없음),0.1555,0.1548,0.2093
AU23_r,std,ND_vs_CD_ED_vs_MD,1.4303,0.2652478782454298,기각하지 못함 (차이 없음),0.2267,0.3322,0.2418
AU25_r,std,ND_vs_CD_ED_vs_MD,11.75,0.0006794625725257377,기각 (차이 있음),0.2948,0.5094,0.5821
AU26_r,std,ND_vs_CD_ED_vs_MD,4.5877,0.025490223543396133,기각 (차이 있음),0.298,0.4883,0.3905
AU45_r,std,ND_vs_CD_ED_vs_MD,4.8069,0.02583949640330643,기각 (차이 있음),0.3161,0.384,0.5692
pose_Tx,std,ND_vs_CD_ED_vs_MD,0.4893,0.6206197465939951,기각하지 못함 (차이 없음),45164.8007,5.9973,6.1865
pose_Ty,std,ND_vs_CD_ED_vs_MD,0.4931,0.6185061689664086,기각하지 못함 (차이 없음),33874.8606,5.1186,4.9278
pose_Tz,std,ND_vs_CD_ED_vs_MD,0.4966,0.6164962297356544,기각하지 못함 (차이 없음),70565.396,4.4436,4.5905
pose_Rx,std,ND_vs_CD_ED_vs_MD,0.7338,0.4934532810041739,기각하지 못함 (차이 없음),0.0591,0.051,0.0642
pose_Ry,std,ND_vs_CD_ED_vs_MD,0.0995,0.9057779630688801,기각하지 못함 (차이 없음),0.0384,0.0355,0.0353
pose_Rz,std,ND_vs_CD_ED_vs_MD,0.4809,0.6253974299931648,기각하지 못함 (차이 없음),0.0343,0.0372,0.0308
Speed,std,ND_vs_CD_ED_vs_MD,17.5438,6.944591440301644e-05,기각 (차이 있음),11.8864,4.5308,4.4129
Acceleration,std,ND_vs_CD_ED_vs_MD,0.9017,0.4273242826919189,기각하지 못함 (차이 없음),3.5785,2.8744,4.1235
Brake,std,ND_vs_CD_ED_vs_MD,3.5037,0.056659075604138,기각하지 못함 (차이 없음),45.8583,23.4851,28.7719
Steering,std,ND_vs_CD_ED_vs_MD,1.2075,0.3344672523778657,기각하지 못함 (차이 없음),0.0233,0.042,0.1269
LaneOffset,std,ND_vs_CD_ED_vs_MD,8.4583,0.0039028327334785723,기각 (차이 있음),0.2716,0.1646,0.2185
gaze_0_x,std,ND_vs_CD_ED_vs_MD,0.1589,0.8541521812052857,기각하지 못함 (차이 없음),0.0426,0.0458,0.0425
gaze_0_y,std,ND_vs_CD_ED_vs_MD,0.1123,0.8944117737184638,기각하지 못함 (차이 없음),0.0564,0.0593,0.0597
gaze_0_z,std,ND_vs_CD_ED_vs_MD,1.5952,0.23214933362645196,기각하지 못함 (차이 없음),0.0465,0.0285,0.0517
gaze_1_x,std,ND_vs_CD_ED_vs_MD,0.1192,0.8883393680902453,기각하지 못함 (차이 없음),0.0424,0.046,0.0443
gaze_1_y,std,ND_vs_CD_ED_vs_MD,1.6982,0.21216794078577583,기각하지 못함 (차이 없음),0.0519,0.0613,0.0635
gaze_1_z,std,ND_vs_CD_ED_vs_MD,1.2247,0.3189498495868627,기각하지 못함 (차이 없음),0.0447,0.0288,0.0506
gaze_angle_x,std,ND_vs_CD_ED_vs_MD,0.0084,0.9916285516475067,기각하지 못함 (차이 없음),0.0368,0.0359,0.0363
gaze_angle_y,std,ND_vs_CD_ED_vs_MD,0.7154,0.5026071816846245,기각하지 못함 (차이 없음),0.0536,0.0592,0.0615
gaze_vel,std,ND_vs_CD_ED_vs_MD,2.5635,0.10466857341215323,기각하지 못함 (차이 없음),29.4982,40.8064,35.1424
gaze_amp,std,ND_vs_CD_ED_vs_MD,2.8806,0.08185692315263782,기각하지 못함 (차이 없음),1.0804,1.5103,1.2992
gaze_acc,std,ND_vs_CD_ED_vs_MD,2.2644,0.13264002668220978,기각하지 못함 (차이 없음),922.095,1230.1502,1076.7744
