Feature,Metric,Comparison,Welch_F,P_value,Result,ND_Value,CD_ED_Value,MD_Value
AU01_r,var,ND_vs_CD_ED_vs_MD,1.6967,0.2222141441138385,기각하지 못함 (차이 없음),0.0942,0.5267,0.2529
AU02_r,var,ND_vs_CD_ED_vs_MD,1.488,0.25897434930512075,기각하지 못함 (차이 없음),0.0453,0.3269,0.0712
AU04_r,var,ND_vs_CD_ED_vs_MD,0.2014,0.8191783607107928,기각하지 못함 (차이 없음),0.0848,0.0728,0.1057
AU05_r,var,ND_vs_CD_ED_vs_MD,1.5795,0.2394823310753353,기각하지 못함 (차이 없음),0.0178,0.0459,0.0273
AU06_r,var,ND_vs_CD_ED_vs_MD,4.0167,0.037453297559248276,기각 (차이 있음),0.0585,0.114,0.1113
AU07_r,var,ND_vs_CD_ED_vs_MD,0.7273,0.4949603009974278,기각하지 못함 (차이 없음),0.1298,0.195,0.1454
AU09_r,var,ND_vs_CD_ED_vs_MD,1.8482,0.18333935541723362,기각하지 못함 (차이 없음),0.0283,0.0538,0.0283
AU10_r,var,ND_vs_CD_ED_vs_MD,6.0734,0.012332491792254163,기각 (차이 있음),0.0578,0.1617,0.1361
AU12_r,var,ND_vs_CD_ED_vs_MD,7.4798,0.006644993553663151,기각 (차이 있음),0.0187,0.1859,0.1005
AU14_r,var,ND_vs_CD_ED_vs_MD,1.2025,0.321663770107496,기각하지 못함 (차이 없음),0.1139,0.1836,0.1529
AU15_r,var,ND_vs_CD_ED_vs_MD,0.4156,0.6662072550262803,기각하지 못함 (차이 없음),0.0428,0.058,0.0401
AU17_r,var,ND_vs_CD_ED_vs_MD,0.7271,0.49549661970992603,기각하지 못함 (차이 없음),0.1061,0.0962,0.0813
AU20_r,var,ND_vs_CD_ED_vs_MD,0.3088,0.737566320261527,기각하지 못함 (차이 없음),0.0418,0.0409,0.031
AU23_r,var,ND_vs_CD_ED_vs_MD,0.4495,0.6450645853272263,기각하지 못함 (차이 없음),0.0556,0.0966,0.0503
AU25_r,var,ND_vs_CD_ED_vs_MD,3.4387,0.057226173764404746,기각하지 못함 (차이 없음),0.142,0.3669,0.2498
AU26_r,var,ND_vs_CD_ED_vs_MD,1.4912,0.25025753230018505,기각하지 못함 (차이 없음),0.1364,0.2388,0.1455
AU45_r,var,ND_vs_CD_ED_vs_MD,3.6097,0.05150676668775517,기각하지 못함 (차이 없음),0.0996,0.1809,0.2988
pose_Tx,var,ND_vs_CD_ED_vs_MD,0.5619,0.5784276725605393,기각하지 못함 (차이 없음),62.3391,38.5718,37.637
pose_Ty,var,ND_vs_CD_ED_vs_MD,0.2409,0.7889201344203449,기각하지 못함 (차이 없음),34.692,41.299,50.3333
pose_Tz,var,ND_vs_CD_ED_vs_MD,1.7512,0.1980895112601523,기각하지 못함 (차이 없음),110.3666,19.2345,17.1382
pose_Rx,var,ND_vs_CD_ED_vs_MD,2.1351,0.14323894154302513,기각하지 못함 (차이 없음),0.0047,0.0026,0.0045
pose_Ry,var,ND_vs_CD_ED_vs_MD,2.3535,0.12240331133373342,기각하지 못함 (차이 없음),0.0026,0.001,0.0014
pose_Rz,var,ND_vs_CD_ED_vs_MD,0.1756,0.8402378406090543,기각하지 못함 (차이 없음),0.0015,0.0012,0.0016
Speed,var,ND_vs_CD_ED_vs_MD,9.6738,0.0014320361729046058,기각 (차이 있음),139.9437,102.1617,25.7151
Acceleration,var,ND_vs_CD_ED_vs_MD,1.4382,0.26089484295356147,기각하지 못함 (차이 없음),22.2709,13.6859,16.0728
Brake,var,ND_vs_CD_ED_vs_MD,4.114,0.03434606943330442,기각 (차이 있음),3399.1043,1857.8458,773.9267
Steering,var,ND_vs_CD_ED_vs_MD,1.1866,0.33619828677087116,기각하지 못함 (차이 없음),0.0009,0.0022,0.0628
LaneOffset,var,ND_vs_CD_ED_vs_MD,18.2671,3.0786840165067156e-05,기각 (차이 있음),0.0776,0.028,0.0327
gaze_0_x,var,ND_vs_CD_ED_vs_MD,0.2907,0.7508309000876126,기각하지 못함 (차이 없음),0.0018,0.0017,0.0022
gaze_0_y,var,ND_vs_CD_ED_vs_MD,0.0202,0.9800263673454408,기각하지 못함 (차이 없음),0.0036,0.0036,0.0038
gaze_0_z,var,ND_vs_CD_ED_vs_MD,6.6475,0.0075351241783865415,기각 (차이 있음),0.0039,0.0006,0.004
gaze_1_x,var,ND_vs_CD_ED_vs_MD,0.6149,0.550853907935504,기각하지 못함 (차이 없음),0.0022,0.0022,0.0017
gaze_1_y,var,ND_vs_CD_ED_vs_MD,0.6187,0.5485181120447082,기각하지 못함 (차이 없음),0.0035,0.004,0.0045
gaze_1_z,var,ND_vs_CD_ED_vs_MD,6.2042,0.009531346537633382,기각 (차이 있음),0.0039,0.0007,0.0041
gaze_angle_x,var,ND_vs_CD_ED_vs_MD,0.3748,0.691866756158831,기각하지 못함 (차이 없음),0.0016,0.0013,0.0012
gaze_angle_y,var,ND_vs_CD_ED_vs_MD,0.1312,0.8777756427961882,기각하지 못함 (차이 없음),0.0035,0.0038,0.0039
gaze_vel,var,ND_vs_CD_ED_vs_MD,3.8016,0.04442973589194011,기각 (차이 있음),816.5611,1617.7888,1456.8641
gaze_amp,var,ND_vs_CD_ED_vs_MD,3.6193,0.0505110368957035,기각하지 못함 (차이 없음),1.1362,2.1636,1.9683
gaze_acc,var,ND_vs_CD_ED_vs_MD,4.0134,0.037370822456695894,기각 (차이 있음),792886.8278,1620013.2816,1317581.392
