Feature,Comparison,Group,W_statistic,P_value,Is_Normal,Result
AU01_r,ND_vs_CD_ED_vs_MD,ND,0.6232,4.196209376752586e-05,False,정규성 위배
AU01_r,ND_vs_CD_ED_vs_MD,CD_ED,0.7322,0.003365497667985643,False,정규성 위배
AU01_r,ND_vs_CD_ED_vs_MD,MD,0.7682,0.0059414390009450025,False,정규성 위배
AU02_r,ND_vs_CD_ED_vs_MD,ND,0.7045,0.0002774724427486052,False,정규성 위배
AU02_r,ND_vs_CD_ED_vs_MD,CD_ED,0.7539,0.006012253406691905,False,정규성 위배
AU02_r,ND_vs_CD_ED_vs_MD,MD,0.8325,0.03588896565629221,False,정규성 위배
AU04_r,ND_vs_CD_ED_vs_MD,ND,0.6244,4.304006403583892e-05,False,정규성 위배
AU04_r,ND_vs_CD_ED_vs_MD,CD_ED,0.7499,0.0054028036771793745,False,정규성 위배
AU04_r,ND_vs_CD_ED_vs_MD,MD,0.8531,0.06320785585248306,True,정규성 만족
AU05_r,ND_vs_CD_ED_vs_MD,ND,0.8688,0.03240019386935855,False,정규성 위배
AU05_r,ND_vs_CD_ED_vs_MD,CD_ED,0.8225,0.03681050303032065,False,정규성 위배
AU05_r,ND_vs_CD_ED_vs_MD,MD,0.9459,0.6205444917902361,True,정규성 만족
AU06_r,ND_vs_CD_ED_vs_MD,ND,0.9317,0.2890319831167464,True,정규성 만족
AU06_r,ND_vs_CD_ED_vs_MD,CD_ED,0.9707,0.9007482207189385,True,정규성 만족
AU06_r,ND_vs_CD_ED_vs_MD,MD,0.8653,0.08815114764366562,True,정규성 만족
AU07_r,ND_vs_CD_ED_vs_MD,ND,0.835,0.010727924922703053,False,정규성 위배
AU07_r,ND_vs_CD_ED_vs_MD,CD_ED,0.9656,0.8547333899781315,True,정규성 만족
AU07_r,ND_vs_CD_ED_vs_MD,MD,0.8414,0.04586313719909836,False,정규성 위배
AU09_r,ND_vs_CD_ED_vs_MD,ND,0.7944,0.003122997179811017,False,정규성 위배
AU09_r,ND_vs_CD_ED_vs_MD,CD_ED,0.8986,0.24380680316546155,True,정규성 만족
AU09_r,ND_vs_CD_ED_vs_MD,MD,0.8961,0.19828179323703804,True,정규성 만족
AU10_r,ND_vs_CD_ED_vs_MD,ND,0.898,0.0886267120206831,True,정규성 만족
AU10_r,ND_vs_CD_ED_vs_MD,CD_ED,0.946,0.6463815811310989,True,정규성 만족
AU10_r,ND_vs_CD_ED_vs_MD,MD,0.9485,0.6506249152499424,True,정규성 만족
