Feature,Comparison,Group,W_statistic,P_value,Is_Normal,Result
AU01_r,ND_vs_CD_ED_vs_MD,ND,0.91,0.1353054360586326,True,정규성 만족
AU01_r,ND_vs_CD_ED_vs_MD,CD_ED,0.7689,0.004240654457811336,False,정규성 위배
AU01_r,ND_vs_CD_ED_vs_MD,MD,0.8764,0.17388660479058016,True,정규성 만족
AU02_r,ND_vs_CD_ED_vs_MD,ND,0.8241,0.0076157841687119225,False,정규성 위배
AU02_r,ND_vs_CD_ED_vs_MD,CD_ED,0.7596,0.0033698401523536113,False,정규성 위배
AU02_r,ND_vs_CD_ED_vs_MD,MD,0.9344,0.5565257646019666,True,정규성 만족
AU04_r,ND_vs_CD_ED_vs_MD,ND,0.8233,0.007439159696876531,False,정규성 위배
AU04_r,ND_vs_CD_ED_vs_MD,CD_ED,0.4667,1.0151560685343558e-05,False,정규성 위배
AU04_r,ND_vs_CD_ED_vs_MD,MD,0.8216,0.04854110442737034,False,정규성 위배
AU05_r,ND_vs_CD_ED_vs_MD,ND,0.9067,0.12033138772739149,True,정규성 만족
AU05_r,ND_vs_CD_ED_vs_MD,CD_ED,0.7627,0.0036427471202276906,False,정규성 위배
AU05_r,ND_vs_CD_ED_vs_MD,MD,0.9182,0.4152229768105135,True,정규성 만족
AU06_r,ND_vs_CD_ED_vs_MD,ND,0.9616,0.7206319330087625,True,정규성 만족
AU06_r,ND_vs_CD_ED_vs_MD,CD_ED,0.928,0.35945757935783723,True,정규성 만족
AU06_r,ND_vs_CD_ED_vs_MD,MD,0.9122,0.37001192011457185,True,정규성 만족
AU07_r,ND_vs_CD_ED_vs_MD,ND,0.9025,0.1040571098928299,True,정규성 만족
AU07_r,ND_vs_CD_ED_vs_MD,CD_ED,0.8917,0.12402115378526513,True,정규성 만족
AU07_r,ND_vs_CD_ED_vs_MD,MD,0.7099,0.0029110433509180154,False,정규성 위배
AU09_r,ND_vs_CD_ED_vs_MD,ND,0.739,0.000670977681335538,False,정규성 위배
AU09_r,ND_vs_CD_ED_vs_MD,CD_ED,0.8785,0.0838913677832496,True,정규성 만족
AU09_r,ND_vs_CD_ED_vs_MD,MD,0.908,0.3403024129226566,True,정규성 만족
AU10_r,ND_vs_CD_ED_vs_MD,ND,0.9177,0.17759044007105795,True,정규성 만족
AU10_r,ND_vs_CD_ED_vs_MD,CD_ED,0.8681,0.06181594789754791,True,정규성 만족
AU10_r,ND_vs_CD_ED_vs_MD,MD,0.8753,0.16988946986094333,True,정규성 만족
AU12_r,ND_vs_CD_ED_vs_MD,ND,0.6951,0.00022020218272898214,False,정규성 위배
AU12_r,ND_vs_CD_ED_vs_MD,CD_ED,0.7257,0.0015074259303480156,False,정규성 위배
AU12_r,ND_vs_CD_ED_vs_MD,MD,0.9503,0.7144917171447741,True,정규성 만족
AU14_r,ND_vs_CD_ED_vs_MD,ND,0.9055,0.11561699839337342,True,정규성 만족
AU14_r,ND_vs_CD_ED_vs_MD,CD_ED,0.9291,0.3706127647748265,True,정규성 만족
AU14_r,ND_vs_CD_ED_vs_MD,MD,0.9162,0.40006908560491344,True,정규성 만족
AU15_r,ND_vs_CD_ED_vs_MD,ND,0.9536,0.5820928405435167,True,정규성 만족
AU15_r,ND_vs_CD_ED_vs_MD,CD_ED,0.7496,0.002644479401510537,False,정규성 위배
AU15_r,ND_vs_CD_ED_vs_MD,MD,0.8924,0.24651963446649822,True,정규성 만족
AU17_r,ND_vs_CD_ED_vs_MD,ND,0.9542,0.5930426503750656,True,정규성 만족
AU17_r,ND_vs_CD_ED_vs_MD,CD_ED,0.933,0.4131424910392912,True,정규성 만족
AU17_r,ND_vs_CD_ED_vs_MD,MD,0.8791,0.1845180143457168,True,정규성 만족
