experiment,ablation,removed_type,removed_name,removed_group,num_features,acc_mean,acc_std,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,spec_mean,spec_std,auc_mean,auc_std
3Class_ND_ED_MD,baseline_all_features,baseline,none,none,39,0.7904768668831169,0.04123930507524918,0.799851794493349,0.032117885962092675,0.7899956346049328,0.04159156654000063,0.7908860674076006,0.039513738117219456,0.8950930055157122,0.021009863630628546,0.917870940592563,0.021889345755521282
3Class_ND_ED_MD,group_minus_AU,group,AU,AU,22,0.5793643465909091,0.06553140885954707,0.6093091264891108,0.044559640419389486,0.5782211290493234,0.06581686177774002,0.5700294624968196,0.06586924289596273,0.7894847796882336,0.032654491235769655,0.7787261219942729,0.05191386673700997
3Class_ND_ED_MD,group_minus_POSE,group,POSE,POSE,33,0.783612012987013,0.06293990568202489,0.7932194321239661,0.05687584606845236,0.7837869856161979,0.062329814865982325,0.7847137092414422,0.062002180041904074,0.8918836103896799,0.03125097290255414,0.911028137733274,0.03808446127842787
3Class_ND_ED_MD,group_minus_VEHICLE,group,VEHICLE,VEHICLE,34,0.797624797077922,0.03830448760929119,0.79951677465212,0.03853298287548519,0.7975967906931637,0.038753691558231856,0.797837896678147,0.03886397393451611,0.898744197462519,0.019049363794300823,0.9146436627444927,0.02799665131868837
3Class_ND_ED_MD,group_minus_GAZE,group,GAZE,GAZE,28,0.8024041193181818,0.036618018508964366,0.8059394620629501,0.034812629786985405,0.8025340463197482,0.0366266634726612,0.80260590131704,0.036425652624048385,0.9012491598254859,0.01821214275309785,0.9158858277237952,0.02462701309734427
3Class_ND_ED_MD,feature_minus_AU01_r,feature,AU01_r,AU,38,0.8057016030844156,0.03463861148526409,0.8111721244983443,0.030345636950994133,0.8059620901311044,0.03430920061781864,0.8056059760116806,0.034397356717937276,0.9028119202191169,0.017334371727765877,0.9249932879147822,0.021747001193453023
3Class_ND_ED_MD,feature_minus_AU02_r,feature,AU02_r,AU,38,0.7800400771103896,0.068732352296202,0.7883264253309961,0.06219563189791299,0.7804368662894146,0.06814170239181737,0.7796998069953216,0.0702415730526754,0.8900565063322965,0.03417032917648969,0.8900915434011107,0.056069892370172486
3Class_ND_ED_MD,feature_minus_AU04_r,feature,AU04_r,AU,38,0.7947468547077922,0.05374095888215747,0.8069184110612964,0.03804008845219381,0.7946166724397385,0.053994156555454115,0.7948663771260666,0.0546678052268834,0.8973314919644153,0.027017634951690277,0.9282230911183535,0.01575388297169151
3Class_ND_ED_MD,feature_minus_AU05_r,feature,AU05_r,AU,38,0.7876719764610389,0.06965786759796012,0.7943117248897491,0.06760049981798287,0.7877787385162794,0.06934276317602867,0.7878444218259525,0.0699347805664248,0.8938579446405722,0.03463805468828984,0.9122996732282054,0.04095673935665424
3Class_ND_ED_MD,feature_minus_AU06_r,feature,AU06_r,AU,38,0.7881990665584415,0.04102395662121906,0.7939485739813166,0.034082795840558955,0.7878095375441122,0.041516902895307795,0.7866629913085659,0.04375573442654811,0.8941654608223679,0.02065547961715017,0.9139888828730409,0.023117423870462617
3Class_ND_ED_MD,feature_minus_AU07_r,feature,AU07_r,AU,38,0.7792025162337662,0.05462470583486311,0.7846158572873554,0.05074599140202428,0.7792319714139628,0.0544430368409678,0.7792613498693755,0.05440942147941955,0.88962071804507,0.027239260716009264,0.9000380326221711,0.03500763577762456
3Class_ND_ED_MD,feature_minus_AU09_r,feature,AU09_r,AU,38,0.8167410714285716,0.03891743916314967,0.8194587965317526,0.037892217458391754,0.8169050374695589,0.03837220216142501,0.8166065851536001,0.039446577233732745,0.9084120441774741,0.019454558398821053,0.9230721549939542,0.026608013783299047
