Feature,Metric,Comparison,Welch_F,P_value,Result,ND_Value,CD_Value,ED_Value,MD_Value
AU01_r,mean,ND_vs_CD_vs_ED_vs_MD,1.8324,0.19317232642929746,기각하지 못함 (차이 없음),0.1494,0.3375,0.2938,0.4175
AU02_r,mean,ND_vs_CD_vs_ED_vs_MD,0.7328,0.5495503789370664,기각하지 못함 (차이 없음),0.1094,0.1622,0.1897,0.1187
AU04_r,mean,ND_vs_CD_vs_ED_vs_MD,0.3768,0.7709682631917808,기각하지 못함 (차이 없음),0.5091,0.5906,0.4752,0.8126
AU05_r,mean,ND_vs_CD_vs_ED_vs_MD,1.0356,0.40811274948831,기각하지 못함 (차이 없음),0.0497,0.0448,0.1028,0.0494
AU06_r,mean,ND_vs_CD_vs_ED_vs_MD,2.0152,0.15433812157839252,기각하지 못함 (차이 없음),0.7295,0.5547,1.1019,0.6768
AU07_r,mean,ND_vs_CD_vs_ED_vs_MD,4.0241,0.027502172288363023,기각 (차이 있음),0.406,0.5885,1.2972,0.2938
AU09_r,mean,ND_vs_CD_vs_ED_vs_MD,2.9846,0.06663557644235081,기각하지 못함 (차이 없음),0.0628,0.1221,0.1225,0.0666
AU10_r,mean,ND_vs_CD_vs_ED_vs_MD,4.2144,0.023350483948932223,기각 (차이 있음),0.5632,0.5949,1.287,0.8555
AU12_r,mean,ND_vs_CD_vs_ED_vs_MD,0.3681,0.7770627715073695,기각하지 못함 (차이 없음),0.1716,0.2014,0.3059,0.2752
AU14_r,mean,ND_vs_CD_vs_ED_vs_MD,2.5639,0.09125485510655285,기각하지 못함 (차이 없음),0.7174,0.8318,0.6664,1.2656
AU15_r,mean,ND_vs_CD_vs_ED_vs_MD,1.1944,0.3454635491197948,기각하지 못함 (차이 없음),0.1277,0.1471,0.143,0.0826
AU17_r,mean,ND_vs_CD_vs_ED_vs_MD,0.4359,0.7303445356615331,기각하지 못함 (차이 없음),0.3297,0.2999,0.3106,0.3789
AU20_r,mean,ND_vs_CD_vs_ED_vs_MD,0.3797,0.7691071858456022,기각하지 못함 (차이 없음),0.0903,0.0898,0.0719,0.1104
AU23_r,mean,ND_vs_CD_vs_ED_vs_MD,0.374,0.7729885122769162,기각하지 못함 (차이 없음),0.1334,0.1162,0.1798,0.1274
AU25_r,mean,ND_vs_CD_vs_ED_vs_MD,6.7248,0.00518139530488722,기각 (차이 있음),0.2877,0.8202,0.7597,0.4519
AU26_r,mean,ND_vs_CD_vs_ED_vs_MD,2.4809,0.10325971771769785,기각하지 못함 (차이 없음),0.304,0.4622,0.578,0.4365
AU45_r,mean,ND_vs_CD_vs_ED_vs_MD,2.8028,0.08520547850728241,기각하지 못함 (차이 없음),0.165,0.41,0.2084,0.4854
pose_Tx,mean,ND_vs_CD_vs_ED_vs_MD,0.45,0.7208130789454752,기각하지 못함 (차이 없음),-1078.5202,-33.2843,-40.1989,-34.339
pose_Ty,mean,ND_vs_CD_vs_ED_vs_MD,2.6819,0.08068970353578346,기각하지 못함 (차이 없음),-755.1645,14.0769,31.74,37.3215
pose_Tz,mean,ND_vs_CD_vs_ED_vs_MD,1.7047,0.2065038764238999,기각하지 못함 (차이 없음),1879.0279,278.1025,266.5986,277.6917
pose_Rx,mean,ND_vs_CD_vs_ED_vs_MD,1.1429,0.36205874637577834,기각하지 못함 (차이 없음),0.0069,0.101,-0.0646,0.0127
pose_Ry,mean,ND_vs_CD_vs_ED_vs_MD,2.0145,0.15325419412938043,기각하지 못함 (차이 없음),-0.024,0.0203,-0.0203,-0.0504
pose_Rz,mean,ND_vs_CD_vs_ED_vs_MD,0.6189,0.6126074995143986,기각하지 못함 (차이 없음),0.0086,0.0305,0.0205,0.0163
Speed,mean,ND_vs_CD_vs_ED_vs_MD,1.4969,0.25462720591082827,기각하지 못함 (차이 없음),68.1791,71.046,72.6087,72.2404
Acceleration,mean,ND_vs_CD_vs_ED_vs_MD,1.7973,0.19448347433585594,기각하지 못함 (차이 없음),5.8323,5.64,5.9276,6.5845
Brake,mean,ND_vs_CD_vs_ED_vs_MD,0.4484,0.7218953621173323,기각하지 못함 (차이 없음),21.6829,16.0793,9.2234,17.3156
