Feature,Comparison,Group,W_statistic,P_value,Is_Normal,Result
AU01_r,ND_vs_CD_ED_vs_MD,ND,0.7679,0.0014647207499923162,False,정규성 위배
AU01_r,ND_vs_CD_ED_vs_MD,CD_ED,0.7347,0.0018580303494582175,False,정규성 위배
AU01_r,ND_vs_CD_ED_vs_MD,MD,0.757,0.0025644520550564096,False,정규성 위배
AU02_r,ND_vs_CD_ED_vs_MD,ND,0.9444,0.44101046272352973,True,정규성 만족
AU02_r,ND_vs_CD_ED_vs_MD,CD_ED,0.7921,0.007620129710280918,False,정규성 위배
AU02_r,ND_vs_CD_ED_vs_MD,MD,0.6805,0.00026318275003784687,False,정규성 위배
AU04_r,ND_vs_CD_ED_vs_MD,ND,0.8041,0.0041535882645100655,False,정규성 위배
AU04_r,ND_vs_CD_ED_vs_MD,CD_ED,0.5593,5.013572263823164e-05,False,정규성 위배
AU04_r,ND_vs_CD_ED_vs_MD,MD,0.8679,0.07276823380822277,True,정규성 만족
AU05_r,ND_vs_CD_ED_vs_MD,ND,0.9001,0.09541551437344142,True,정규성 만족
AU05_r,ND_vs_CD_ED_vs_MD,CD_ED,0.9598,0.7815203558219989,True,정규성 만족
AU05_r,ND_vs_CD_ED_vs_MD,MD,0.7247,0.000973478796703474,False,정규성 위배
AU06_r,ND_vs_CD_ED_vs_MD,ND,0.9654,0.7852195089204548,True,정규성 만족
AU06_r,ND_vs_CD_ED_vs_MD,CD_ED,0.9589,0.7673069429572915,True,정규성 만족
AU06_r,ND_vs_CD_ED_vs_MD,MD,0.9102,0.2453819189656058,True,정규성 만족
AU07_r,ND_vs_CD_ED_vs_MD,ND,0.8491,0.016865332450581874,False,정규성 위배
AU07_r,ND_vs_CD_ED_vs_MD,CD_ED,0.887,0.10785601498969682,True,정규성 만족
AU07_r,ND_vs_CD_ED_vs_MD,MD,0.8614,0.06006873590753219,True,정규성 만족
AU09_r,ND_vs_CD_ED_vs_MD,ND,0.6854,0.00017441621127732318,False,정규성 위배
AU09_r,ND_vs_CD_ED_vs_MD,CD_ED,0.9303,0.38362681271553273,True,정규성 만족
AU09_r,ND_vs_CD_ED_vs_MD,MD,0.8593,0.05643029079986977,True,정규성 만족
AU10_r,ND_vs_CD_ED_vs_MD,ND,0.8656,0.029121877177081402,False,정규성 위배
AU10_r,ND_vs_CD_ED_vs_MD,CD_ED,0.8467,0.033427346106309166,False,정규성 위배
AU10_r,ND_vs_CD_ED_vs_MD,MD,0.9471,0.6067751254853369,True,정규성 만족
AU12_r,ND_vs_CD_ED_vs_MD,ND,0.4952,3.215507878389604e-06,False,정규성 위배
AU12_r,ND_vs_CD_ED_vs_MD,CD_ED,0.7781,0.005340049180975178,False,정규성 위배
AU12_r,ND_vs_CD_ED_vs_MD,MD,0.7455,0.0018157189924255417,False,정규성 위배
AU14_r,ND_vs_CD_ED_vs_MD,ND,0.8517,0.01834524098843583,False,정규성 위배
AU14_r,ND_vs_CD_ED_vs_MD,CD_ED,0.9126,0.23002356631258114,True,정규성 만족
AU14_r,ND_vs_CD_ED_vs_MD,MD,0.9002,0.18608751977627114,True,정규성 만족
AU15_r,ND_vs_CD_ED_vs_MD,ND,0.898,0.08864842084554084,True,정규성 만족
AU15_r,ND_vs_CD_ED_vs_MD,CD_ED,0.7838,0.006166453331281628,False,정규성 위배
AU15_r,ND_vs_CD_ED_vs_MD,MD,0.9677,0.8627235918064574,True,정규성 만족
AU17_r,ND_vs_CD_ED_vs_MD,ND,0.8883,0.06326342264291952,True,정규성 만족
AU17_r,ND_vs_CD_ED_vs_MD,CD_ED,0.9171,0.26256444246801314,True,정규성 만족
AU17_r,ND_vs_CD_ED_vs_MD,MD,0.8186,0.01652396336901477,False,정규성 위배
AU20_r,ND_vs_CD_ED_vs_MD,ND,0.7992,0.0035945897792149495,False,정규성 위배
AU20_r,ND_vs_CD_ED_vs_MD,CD_ED,0.897,0.14504405473395932,True,정규성 만족
AU20_r,ND_vs_CD_ED_vs_MD,MD,0.8862,0.12461477648759556,True,정규성 만족
AU23_r,ND_vs_CD_ED_vs_MD,ND,0.9786,0.9587852459305768,True,정규성 만족
AU23_r,ND_vs_CD_ED_vs_MD,CD_ED,0.7805,0.005668133512934069,False,정규성 위배
AU23_r,ND_vs_CD_ED_vs_MD,MD,0.7951,0.008108251374620531,False,정규성 위배
AU25_r,ND_vs_CD_ED_vs_MD,ND,0.8355,0.010881326785252485,False,정규성 위배
AU25_r,ND_vs_CD_ED_vs_MD,CD_ED,0.8601,0.04906590107118998,False,정규성 위배
AU25_r,ND_vs_CD_ED_vs_MD,MD,0.9082,0.23244734741390732,True,정규성 만족
AU26_r,ND_vs_CD_ED_vs_MD,ND,0.9644,0.768753009694918,True,정규성 만족
AU26_r,ND_vs_CD_ED_vs_MD,CD_ED,0.9155,0.25046880216740325,True,정규성 만족
AU26_r,ND_vs_CD_ED_vs_MD,MD,0.9158,0.28508091024537424,True,정규성 만족
AU45_r,ND_vs_CD_ED_vs_MD,ND,0.9089,0.13033676829716823,True,정규성 만족
AU45_r,ND_vs_CD_ED_vs_MD,CD_ED,0.65,0.00028983918455775164,False,정규성 위배
AU45_r,ND_vs_CD_ED_vs_MD,MD,0.8927,0.1504454348288073,True,정규성 만족
pose_Tx,ND_vs_CD_ED_vs_MD,ND,0.4227,8.892417001016629e-07,False,정규성 위배
pose_Tx,ND_vs_CD_ED_vs_MD,CD_ED,0.9108,0.21872976374871944,True,정규성 만족
pose_Tx,ND_vs_CD_ED_vs_MD,MD,0.9895,0.9968497807447895,True,정규성 만족
pose_Ty,ND_vs_CD_ED_vs_MD,ND,0.4228,8.911833677960413e-07,False,정규성 위배
pose_Ty,ND_vs_CD_ED_vs_MD,CD_ED,0.9435,0.5449886287090366,True,정규성 만족
pose_Ty,ND_vs_CD_ED_vs_MD,MD,0.9059,0.21801636532149632,True,정규성 만족
pose_Tz,ND_vs_CD_ED_vs_MD,ND,0.4205,8.577411676767251e-07,False,정규성 위배
pose_Tz,ND_vs_CD_ED_vs_MD,CD_ED,0.9525,0.6730936249096635,True,정규성 만족
pose_Tz,ND_vs_CD_ED_vs_MD,MD,0.8892,0.13572038127519237,True,정규성 만족
pose_Rx,ND_vs_CD_ED_vs_MD,ND,0.9367,0.34250787967527674,True,정규성 만족
pose_Rx,ND_vs_CD_ED_vs_MD,CD_ED,0.9658,0.8622566348441589,True,정규성 만족
pose_Rx,ND_vs_CD_ED_vs_MD,MD,0.9585,0.7523843159190118,True,정규성 만족
pose_Ry,ND_vs_CD_ED_vs_MD,ND,0.9581,0.6588617121150618,True,정규성 만족
pose_Ry,ND_vs_CD_ED_vs_MD,CD_ED,0.9621,0.8129305760694666,True,정규성 만족
pose_Ry,ND_vs_CD_ED_vs_MD,MD,0.983,0.9806879659336656,True,정규성 만족
pose_Rz,ND_vs_CD_ED_vs_MD,ND,0.8987,0.09082257940307578,True,정규성 만족
pose_Rz,ND_vs_CD_ED_vs_MD,CD_ED,0.9485,0.6154373105722994,True,정규성 만족
pose_Rz,ND_vs_CD_ED_vs_MD,MD,0.8803,0.10489295210882593,True,정규성 만족
Speed,ND_vs_CD_ED_vs_MD,ND,0.8957,0.08180194717696704,True,정규성 만족
Speed,ND_vs_CD_ED_vs_MD,CD_ED,0.7774,0.00524774114361557,False,정규성 위배
Speed,ND_vs_CD_ED_vs_MD,MD,0.8216,0.01809752301080722,False,정규성 위배
Acceleration,ND_vs_CD_ED_vs_MD,ND,0.8984,0.08993055173621198,True,정규성 만족
Acceleration,ND_vs_CD_ED_vs_MD,CD_ED,0.8915,0.12312866050769339,True,정규성 만족
Acceleration,ND_vs_CD_ED_vs_MD,MD,0.8685,0.0742318761223486,True,정규성 만족
Brake,ND_vs_CD_ED_vs_MD,ND,0.716,0.00037061715051588036,False,정규성 위배
Brake,ND_vs_CD_ED_vs_MD,CD_ED,0.6209,0.00016124427058061768,False,정규성 위배
Brake,ND_vs_CD_ED_vs_MD,MD,0.787,0.006336656500393285,False,정규성 위배
Steering,ND_vs_CD_ED_vs_MD,ND,0.9494,0.5144572440416275,True,정규성 만족
Steering,ND_vs_CD_ED_vs_MD,CD_ED,0.3467,1.602201163477404e-06,False,정규성 위배
Steering,ND_vs_CD_ED_vs_MD,MD,0.6608,0.00014775443219150846,False,정규성 위배
LaneOffset,ND_vs_CD_ED_vs_MD,ND,0.942,0.4078246024636401,True,정규성 만족
LaneOffset,ND_vs_CD_ED_vs_MD,CD_ED,0.9264,0.343628500351476,True,정규성 만족
LaneOffset,ND_vs_CD_ED_vs_MD,MD,0.9191,0.3111027660964414,True,정규성 만족
gaze_0_x,ND_vs_CD_ED_vs_MD,ND,0.8861,0.05861884189865662,True,정규성 만족
gaze_0_x,ND_vs_CD_ED_vs_MD,CD_ED,0.8845,0.10008179632600847,True,정규성 만족
gaze_0_x,ND_vs_CD_ED_vs_MD,MD,0.963,0.8087165992515352,True,정규성 만족
gaze_0_y,ND_vs_CD_ED_vs_MD,ND,0.8835,0.05361622960862666,True,정규성 만족
gaze_0_y,ND_vs_CD_ED_vs_MD,CD_ED,0.9527,0.6774108984166232,True,정규성 만족
gaze_0_y,ND_vs_CD_ED_vs_MD,MD,0.9128,0.2631254820467529,True,정규성 만족
gaze_0_z,ND_vs_CD_ED_vs_MD,ND,0.8783,0.04478175409385859,False,정규성 위배
gaze_0_z,ND_vs_CD_ED_vs_MD,CD_ED,0.8364,0.025023174086599848,False,정규성 위배
gaze_0_z,ND_vs_CD_ED_vs_MD,MD,0.9472,0.6080852723089534,True,정규성 만족
gaze_1_x,ND_vs_CD_ED_vs_MD,ND,0.9718,0.8836830774134055,True,정규성 만족
gaze_1_x,ND_vs_CD_ED_vs_MD,CD_ED,0.8627,0.05282838512040173,True,정규성 만족
gaze_1_x,ND_vs_CD_ED_vs_MD,MD,0.9482,0.620647018144493,True,정규성 만족
gaze_1_y,ND_vs_CD_ED_vs_MD,ND,0.906,0.11769370257983286,True,정규성 만족
gaze_1_y,ND_vs_CD_ED_vs_MD,CD_ED,0.969,0.9005116910296876,True,정규성 만족
gaze_1_y,ND_vs_CD_ED_vs_MD,MD,0.9541,0.697162846618786,True,정규성 만족
gaze_1_z,ND_vs_CD_ED_vs_MD,ND,0.8216,0.0070636236854854165,False,정규성 위배
gaze_1_z,ND_vs_CD_ED_vs_MD,CD_ED,0.7713,0.004504168067761311,False,정규성 위배
gaze_1_z,ND_vs_CD_ED_vs_MD,MD,0.9319,0.4302288201501365,True,정규성 만족
gaze_angle_x,ND_vs_CD_ED_vs_MD,ND,0.9729,0.898347447014997,True,정규성 만족
