Feature,Comparison,Group,W_statistic,P_value,Is_Normal,Result
AU01_r,ND_vs_CD_ED_vs_MD,ND,0.8476,0.016039993544333452,False,정규성 위배
AU01_r,ND_vs_CD_ED_vs_MD,CD_ED,0.7724,0.003263269042881167,False,정규성 위배
AU01_r,ND_vs_CD_ED_vs_MD,MD,0.9487,0.6980359290411168,True,정규성 만족
AU02_r,ND_vs_CD_ED_vs_MD,ND,0.8769,0.04270878453515147,False,정규성 위배
AU02_r,ND_vs_CD_ED_vs_MD,CD_ED,0.7672,0.002854887157949386,False,정규성 위배
AU02_r,ND_vs_CD_ED_vs_MD,MD,0.9388,0.5994229780361173,True,정규성 만족
AU04_r,ND_vs_CD_ED_vs_MD,ND,0.7238,0.00045161848875438683,False,정규성 위배
AU04_r,ND_vs_CD_ED_vs_MD,CD_ED,0.8118,0.00945082658898449,False,정규성 위배
AU04_r,ND_vs_CD_ED_vs_MD,MD,0.7407,0.006436373961179052,False,정규성 위배
AU05_r,ND_vs_CD_ED_vs_MD,ND,0.8331,0.010095446855474323,False,정규성 위배
AU05_r,ND_vs_CD_ED_vs_MD,CD_ED,0.889,0.09455463648200226,True,정규성 만족
AU05_r,ND_vs_CD_ED_vs_MD,MD,0.8553,0.10766005517390703,True,정규성 만족
AU06_r,ND_vs_CD_ED_vs_MD,ND,0.8769,0.04270243466627987,False,정규성 위배
AU06_r,ND_vs_CD_ED_vs_MD,CD_ED,0.8866,0.08773487791796594,True,정규성 만족
AU06_r,ND_vs_CD_ED_vs_MD,MD,0.8704,0.15194861457974557,True,정규성 만족
AU07_r,ND_vs_CD_ED_vs_MD,ND,0.9297,0.27050693806873427,True,정규성 만족
AU07_r,ND_vs_CD_ED_vs_MD,CD_ED,0.8637,0.04318035189967287,False,정규성 위배
AU07_r,ND_vs_CD_ED_vs_MD,MD,0.8056,0.03284030174537605,False,정규성 위배
AU09_r,ND_vs_CD_ED_vs_MD,ND,0.6147,3.4824882756972945e-05,False,정규성 위배
AU09_r,ND_vs_CD_ED_vs_MD,CD_ED,0.8658,0.04597375789343787,False,정규성 위배
AU09_r,ND_vs_CD_ED_vs_MD,MD,0.8821,0.19715965267436092,True,정규성 만족
