Feature,Comparison,Welch_F,P_value,Result,ND_Mean,CD_ED_Mean,MD_Mean
AU01_r,ND_vs_CD_ED_vs_MD,1.5848,0.24483460093442946,기각하지 못함 (차이 없음),0.1811,0.3158,0.343
AU02_r,ND_vs_CD_ED_vs_MD,1.1179,0.3571970858656684,기각하지 못함 (차이 없음),0.1057,0.1538,0.1985
AU04_r,ND_vs_CD_ED_vs_MD,2.4421,0.11312393475054358,기각하지 못함 (차이 없음),0.569,0.2044,0.9124
AU05_r,ND_vs_CD_ED_vs_MD,0.7939,0.47344676193993435,기각하지 못함 (차이 없음),0.0534,0.0605,0.0853
AU06_r,ND_vs_CD_ED_vs_MD,0.1438,0.8669846010011412,기각하지 못함 (차이 없음),0.7828,0.6937,0.7134
AU07_r,ND_vs_CD_ED_vs_MD,0.3953,0.6798512894899811,기각하지 못함 (차이 없음),0.4946,0.692,0.6367
AU09_r,ND_vs_CD_ED_vs_MD,2.0447,0.16301157574765504,기각하지 못함 (차이 없음),0.0716,0.1068,0.1251
AU10_r,ND_vs_CD_ED_vs_MD,1.8564,0.18720398426967427,기각하지 못함 (차이 없음),0.6393,0.6386,0.9688
AU12_r,ND_vs_CD_ED_vs_MD,4.2175,0.03047415558450144,기각 (차이 있음),0.1082,0.0835,0.3433
AU14_r,ND_vs_CD_ED_vs_MD,4.2693,0.029427592453022556,기각 (차이 있음),0.9259,0.4022,0.9493
AU15_r,ND_vs_CD_ED_vs_MD,0.3393,0.7171953555487692,기각하지 못함 (차이 없음),0.1219,0.1111,0.1425
AU17_r,ND_vs_CD_ED_vs_MD,1.6859,0.21063897054800443,기각하지 못함 (차이 없음),0.3003,0.2422,0.3332
AU20_r,ND_vs_CD_ED_vs_MD,0.2436,0.7862619471164064,기각하지 못함 (차이 없음),0.0963,0.0796,0.095
AU23_r,ND_vs_CD_ED_vs_MD,0.7881,0.4722225790333863,기각하지 못함 (차이 없음),0.1302,0.1161,0.1804
AU25_r,ND_vs_CD_ED_vs_MD,9.2077,0.0031316145724251997,기각 (차이 있음),0.2687,0.6398,0.6078
AU26_r,ND_vs_CD_ED_vs_MD,2.9395,0.08231925219896358,기각하지 못함 (차이 없음),0.3169,0.41,0.5326
AU45_r,ND_vs_CD_ED_vs_MD,2.901,0.0926746461316002,기각하지 못함 (차이 없음),0.1604,0.3852,0.2422
pose_Tx,ND_vs_CD_ED_vs_MD,0.6996,0.508555311298171,기각하지 못함 (차이 없음),-800.7293,-40.2371,-34.2942
pose_Ty,ND_vs_CD_ED_vs_MD,1.0274,0.37602257891634394,기각하지 못함 (차이 없음),-539.4846,27.961,18.2117
pose_Tz,ND_vs_CD_ED_vs_MD,0.7686,0.4768966283448894,기각하지 못함 (차이 없음),1457.3139,266.7833,272.3645
pose_Rx,ND_vs_CD_ED_vs_MD,0.7876,0.4687199275534564,기각하지 못함 (차이 없음),0.0166,0.0395,-0.0431
pose_Ry,ND_vs_CD_ED_vs_MD,0.9205,0.4166209967591826,기각하지 못함 (차이 없음),-0.0421,-0.0043,-0.0038
pose_Rz,ND_vs_CD_ED_vs_MD,1.3352,0.2860165654125215,기각하지 못함 (차이 없음),0.0072,0.0325,0.021
Speed,ND_vs_CD_ED_vs_MD,5.5345,0.016622858491321234,기각 (차이 있음),69.3128,73.4744,68.3307
Acceleration,ND_vs_CD_ED_vs_MD,0.7231,0.5039651158217588,기각하지 못함 (차이 없음),5.8148,6.0602,5.6779
Brake,ND_vs_CD_ED_vs_MD,7.2229,0.0048591007816497795,기각 (차이 있음),16.027,4.787,26.7314
Steering,ND_vs_CD_ED_vs_MD,0.7893,0.47085050899361297,기각하지 못함 (차이 없음),0.0,0.0002,0.0012
LaneOffset,ND_vs_CD_ED_vs_MD,0.9166,0.41696536845484333,기각하지 못함 (차이 없음),-0.0553,-0.0792,-0.0172
gaze_0_x,ND_vs_CD_ED_vs_MD,1.1462,0.34068321540630375,기각하지 못함 (차이 없음),0.1832,0.1694,0.1359
gaze_0_y,ND_vs_CD_ED_vs_MD,1.6466,0.21879988893328822,기각하지 못함 (차이 없음),0.1908,0.2166,0.109
gaze_0_z,ND_vs_CD_ED_vs_MD,1.7161,0.2105566798141919,기각하지 못함 (차이 없음),-0.9373,-0.9467,-0.9641
gaze_1_x,ND_vs_CD_ED_vs_MD,0.4931,0.6187098253492131,기각하지 못함 (차이 없음),-0.0248,-0.0551,-0.0414
gaze_1_y,ND_vs_CD_ED_vs_MD,2.0129,0.16116734956596754,기각하지 못함 (차이 없음),0.1926,0.2465,0.1151
gaze_1_z,ND_vs_CD_ED_vs_MD,0.9589,0.40166318859528943,기각하지 못함 (차이 없음),-0.9539,-0.9535,-0.9711
gaze_angle_x,ND_vs_CD_ED_vs_MD,0.7214,0.49997960449107115,기각하지 못함 (차이 없음),0.0822,0.0608,0.0483
gaze_angle_y,ND_vs_CD_ED_vs_MD,1.8938,0.177512139978283,기각하지 못함 (차이 없음),0.1998,0.2396,0.1149
gaze_vel,ND_vs_CD_ED_vs_MD,6.3469,0.008267928530896017,기각 (차이 있음),18.3563,27.3516,27.2668
gaze_amp,ND_vs_CD_ED_vs_MD,6.0091,0.00979878379352394,기각 (차이 있음),0.6802,1.016,1.0032
gaze_acc,ND_vs_CD_ED_vs_MD,3.4032,0.06705252536721996,기각하지 못함 (차이 없음),0.0576,0.3748,0.3647
