experiment,ablation,removed_type,removed_name,removed_group,num_features,acc_mean,acc_std,bacc_mean,bacc_std,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,spec_mean,spec_std,auc_mean,auc_std
4Class_ND_CD_ED_MD,baseline_all_features,baseline,none,none,39,0.5428888754088044,0.024665126560560743,0.5428888754088044,0.024665126560560732,0.5353642680162944,0.03465415460720483,0.5428888754088044,0.024665126560560732,0.5360702624038266,0.030159822261589645,0.8476296251362679,0.008221708853520244,0.7997602434162354,0.018350585285570806
4Class_ND_CD_ED_MD,group_minus_AU,group,AU,AU,22,0.44314044116311224,0.01578065077118667,0.44314044116311224,0.01578065077118667,0.4288521297803145,0.023925159822542303,0.44314044116311224,0.01578065077118667,0.4327137463260522,0.01852426925936333,0.8143801470543707,0.0052602169237289075,0.6933003231166893,0.015533327129529532
4Class_ND_CD_ED_MD,group_minus_POSE,group,POSE,POSE,33,0.5663543895026842,0.024983505146610942,0.5663543895026842,0.024983505146610942,0.5633820902015518,0.03803164011785642,0.5663543895026842,0.024983505146610942,0.5612163744703407,0.03252436054959121,0.8554514631675614,0.008327835048870327,0.8162947811948588,0.012621051835417547
4Class_ND_CD_ED_MD,group_minus_VEHICLE,group,VEHICLE,VEHICLE,34,0.5305686296107037,0.0193530472522862,0.5305686296107037,0.0193530472522862,0.5238223547789153,0.032860380772836956,0.5305686296107037,0.0193530472522862,0.5241034850587509,0.02481026436812428,0.8435228765369012,0.006451015750762094,0.7893298029845065,0.018151683292800463
4Class_ND_CD_ED_MD,group_minus_GAZE,group,GAZE,GAZE,28,0.5567831514610447,0.028948620330376682,0.5567831514610447,0.028948620330376696,0.5612508339391084,0.041323884995313635,0.5567831514610447,0.028948620330376696,0.5557570558579181,0.03607577879724248,0.852261050487015,0.009649540110125539,0.8101009448060162,0.019918698501602834
4Class_ND_CD_ED_MD,feature_minus_AU01_r,feature,AU01_r,AU,38,0.5433818015216025,0.03342455583751798,0.5433818015216025,0.03342455583751798,0.5374381660138451,0.04646683740450006,0.5433818015216025,0.03342455583751798,0.5373825385007693,0.04074820676190074,0.8477939338405343,0.011141518612505964,0.8016074756713276,0.02092522774647643
4Class_ND_CD_ED_MD,feature_minus_AU02_r,feature,AU02_r,AU,38,0.5372888135413488,0.027221601876320084,0.5372888135413486,0.02722160187632011,0.5306907969427264,0.04006706725233667,0.5372888135413486,0.02722160187632011,0.5313380744872968,0.03436569494206033,0.8457629378471163,0.00907386729210669,0.8001914291987198,0.019652803428652506
4Class_ND_CD_ED_MD,feature_minus_AU04_r,feature,AU04_r,AU,38,0.542893303317772,0.02484305973577083,0.5428933033177721,0.02484305973577083,0.5358780025748188,0.03763407396390054,0.5428933033177721,0.02484305973577083,0.5365922593123704,0.03187129523455549,0.847631101105924,0.008281019911923595,0.8012748228128321,0.018027699102415307
4Class_ND_CD_ED_MD,feature_minus_AU05_r,feature,AU05_r,AU,38,0.5420738009310679,0.028794686067412433,0.5420738009310679,0.028794686067412433,0.5342649034975311,0.0440923684432947,0.5420738009310679,0.028794686067412433,0.5352398309982291,0.03761903018940191,0.8473579336436894,0.009598228689137503,0.7995905401428354,0.01987716701769539
4Class_ND_CD_ED_MD,feature_minus_AU06_r,feature,AU06_r,AU,38,0.5385868298526741,0.023977099752693954,0.5385868298526741,0.02397709975269398,0.5318782124678315,0.03621098590672636,0.5385868298526741,0.02397709975269398,0.5322284727807293,0.03099036139104674,0.8461956099508914,0.007992366584231315,0.8005103750528398,0.019725905446079776
4Class_ND_CD_ED_MD,feature_minus_AU07_r,feature,AU07_r,AU,38,0.5366924774090661,0.027319359057326093,0.5366924774090661,0.027319359057326097,0.5315483155949737,0.039923679885637435,0.5366924774090661,0.027319359057326097,0.5311321373809974,0.03470604781574697,0.8455641591363554,0.009106453019108701,0.7993436264311197,0.01909969625834969
4Class_ND_CD_ED_MD,feature_minus_AU09_r,feature,AU09_r,AU,38,0.5426463427334075,0.03177021588328995,0.5426463427334074,0.03177021588328999,0.533648267422641,0.0435190688064798,0.5426463427334074,0.03177021588328999,0.5356009713095276,0.037777840758448845,0.8475487809111358,0.010590071961096657,0.8022091323460823,0.020851702623509282
4Class_ND_CD_ED_MD,feature_minus_AU10_r,feature,AU10_r,AU,38,0.5402073110876879,0.02955432539495817,0.5402073110876879,0.029554325394958208,0.5346055293389675,0.0393242342433475,0.5402073110876879,0.029554325394958208,0.5344061338020669,0.0348850462487387,0.8467357703625626,0.009851441798319361,0.7999225982838156,0.02048939413158698
4Class_ND_CD_ED_MD,feature_minus_AU12_r,feature,AU12_r,AU,38,0.5440599519388043,0.025551476008373045,0.5440599519388043,0.025551476008373066,0.536294272197609,0.039613987980571856,0.5440599519388043,0.025551476008373066,0.5372120492149279,0.03287324390909841,0.8480199839796014,0.008517158669457717,0.800168018842526,0.019019826481760278
4Class_ND_CD_ED_MD,feature_minus_AU14_r,feature,AU14_r,AU,38,0.5452287980780239,0.02471256729302384,0.5452287980780239,0.024712567293023836,0.53864535814693,0.03695486911082481,0.5452287980780239,0.024712567293023836,0.5390869875523174,0.030986622818627445,0.8484095993593413,0.008237522431007964,0.8015612538632843,0.019636007307921997
4Class_ND_CD_ED_MD,feature_minus_AU15_r,feature,AU15_r,AU,38,0.5386913024616267,0.03743403898678392,0.5386913024616267,0.037434038986783984,0.5330139210382059,0.04611030558655746,0.5386913024616267,0.037434038986783984,0.5331246768194491,0.042354580873449725,0.8462304341538758,0.012478012995594664,0.8008024269697313,0.0231508197624194
4Class_ND_CD_ED_MD,feature_minus_AU17_r,feature,AU17_r,AU,38,0.5397649727811499,0.027362423007121703,0.5397649727811499,0.02736242300712174,0.5318105548757668,0.039575342152775785,0.5397649727811499,0.02736242300712174,0.5329409752016986,0.033876951759228356,0.8465883242603833,0.00912080766904059,0.798207620211732,0.020245571501805965
4Class_ND_CD_ED_MD,feature_minus_AU20_r,feature,AU20_r,AU,38,0.5267546613397275,0.02234023616348206,0.5267546613397275,0.022340236163482036,0.5185971730238631,0.03535155026160927,0.5267546613397275,0.022340236163482036,0.5198620055776088,0.028793630698217124,0.8422515537799091,0.007446745387827383,0.7960610856850592,0.016362690948043334
4Class_ND_CD_ED_MD,feature_minus_AU23_r,feature,AU23_r,AU,38,0.5304938864863332,0.023298669449958676,0.5304938864863332,0.023298669449958693,0.5236288764446735,0.037695596542468957,0.5304938864863332,0.023298669449958693,0.5243579024164866,0.031046092071499377,0.843497962162111,0.00776622314998623,0.7949063410351936,0.015434458736157876
4Class_ND_CD_ED_MD,feature_minus_AU25_r,feature,AU25_r,AU,38,0.522170803924195,0.033363020087753215,0.522170803924195,0.03336302008775322,0.5161622096578053,0.037751083259469465,0.522170803924195,0.03336302008775322,0.5167810873497616,0.03543834421280315,0.840723601308065,0.011121006695917727,0.785317713840084,0.02090735756675405
4Class_ND_CD_ED_MD,feature_minus_AU26_r,feature,AU26_r,AU,38,0.5383432393099289,0.028912775997965212,0.5383432393099289,0.028912775997965212,0.5319688539133891,0.038633129253160314,0.5383432393099289,0.028912775997965212,0.5324563973636185,0.034171512177795446,0.8461144131033095,0.009637591999321692,0.7969714951854693,0.017601624935756524
4Class_ND_CD_ED_MD,feature_minus_AU45_r,feature,AU45_r,AU,38,0.5172528432364304,0.03209945304133568,0.5172528432364304,0.03209945304133565,0.5193468462634223,0.045304312105489686,0.5172528432364304,0.03209945304133565,0.5133137807194016,0.040110521428967726,0.8390842810788101,0.010699817680445235,0.7860211917608936,0.020003304969946012
4Class_ND_CD_ED_MD,feature_minus_pose_Tx,feature,pose_Tx,POSE,38,0.5400407955784499,0.026894058941198406,0.5400407955784499,0.026894058941198406,0.5338695786790233,0.03773334282917055,0.5400407955784499,0.026894058941198406,0.5340298890539734,0.03241160315894888,0.8466802651928166,0.008964686313732845,0.8034684041209255,0.018675076441076636
4Class_ND_CD_ED_MD,feature_minus_pose_Ty,feature,pose_Ty,POSE,38,0.5394402594381096,0.029254182655650933,0.5394402594381096,0.029254182655650933,0.5318021694670029,0.041603673882445735,0.5394402594381096,0.029254182655650933,0.5319536110240423,0.03636092536083811,0.8464800864793698,0.009751394218550369,0.8049218448040716,0.018686111512907385
4Class_ND_CD_ED_MD,feature_minus_pose_Tz,feature,pose_Tz,POSE,38,0.5455481157756195,0.023551486864048524,0.5455481157756195,0.023551486864048524,0.5384806312943237,0.034764275650669856,0.5455481157756195,0.023551486864048524,0.5387632572333833,0.0299159873035348,0.8485160385918732,0.007850495621349476,0.8032604967767577,0.018061861842061586
4Class_ND_CD_ED_MD,feature_minus_pose_Rx,feature,pose_Rx,POSE,38,0.5495919460645556,0.029128281289057558,0.5495919460645556,0.029128281289057575,0.5434456878987354,0.03789545407034013,0.5495919460645556,0.029128281289057575,0.5434694941672923,0.033894879751249496,0.8498639820215186,0.009709427096352552,0.8036079392897392,0.018862587256804245
4Class_ND_CD_ED_MD,feature_minus_pose_Ry,feature,pose_Ry,POSE,38,0.5420728763774786,0.026739385885208838,0.5420728763774786,0.02673938588520879,0.5373066572329053,0.03859882073182034,0.5420728763774786,0.02673938588520879,0.5367061773890558,0.03321883230708735,0.8473576254591595,0.008913128628402996,0.8021888039211241,0.02059515988393522
4Class_ND_CD_ED_MD,feature_minus_pose_Rz,feature,pose_Rz,POSE,38,0.5411381148244236,0.028893885825012927,0.5411381148244236,0.028893885825012927,0.5367244743371484,0.041799142203567084,0.5411381148244236,0.028893885825012927,0.5361982028833822,0.035897317478206923,0.847046038274808,0.009631295275004306,0.8019712550686862,0.020014562275607863
4Class_ND_CD_ED_MD,feature_minus_Speed,feature,Speed,VEHICLE,38,0.5361380994726319,0.02901308498451212,0.5361380994726319,0.029013084984512116,0.5311003292926992,0.044890531045011124,0.5361380994726319,0.029013084984512116,0.5306126015876736,0.03774477409187417,0.8453793664908773,0.009671028328170683,0.7978335875421743,0.01765946884274036
4Class_ND_CD_ED_MD,feature_minus_Acceleration,feature,Acceleration,VEHICLE,38,0.5412256700694502,0.03524293606985087,0.5412256700694501,0.03524293606985089,0.5341706294795517,0.04947717468575278,0.5412256700694501,0.03524293606985089,0.5348822303745896,0.04297615309965056,0.8470752233564834,0.011747645356616961,0.7983688383904795,0.021609371242437288
4Class_ND_CD_ED_MD,feature_minus_Brake,feature,Brake,VEHICLE,38,0.5464426016123267,0.028946802405161145,0.5464426016123267,0.02894680240516117,0.5383477306724846,0.041949529079509267,0.5464426016123267,0.02894680240516117,0.539174986733526,0.03619173624693518,0.8488142005374423,0.009648934135053737,0.7995822525016761,0.02024863431635075
4Class_ND_CD_ED_MD,feature_minus_Steering,feature,Steering,VEHICLE,38,0.5353257351269383,0.027800612529067834,0.5353257351269383,0.02780061252906783,0.5277247502281254,0.03712906225171405,0.5353257351269383,0.02780061252906783,0.5283476873456807,0.03213925134530036,0.8451085783756461,0.009266870843022612,0.7940171863890039,0.01947762294195055
4Class_ND_CD_ED_MD,feature_minus_LaneOffset,feature,LaneOffset,VEHICLE,38,0.5383783198740846,0.026078736342292727,0.5383783198740846,0.026078736342292727,0.531635972931855,0.03694228853527254,0.5383783198740846,0.026078736342292727,0.5321778397286117,0.031683469706366714,0.8461261066246948,0.008692912114097583,0.799610715317163,0.01961622078573335
4Class_ND_CD_ED_MD,feature_minus_gaze_0_x,feature,gaze_0_x,GAZE,38,0.5445619413075183,0.02411950950011367,0.5445619413075183,0.02411950950011367,0.5388162079069992,0.03718856520058995,0.5445619413075183,0.02411950950011367,0.5389104039865378,0.031020712198271252,0.8481873137691729,0.00803983650003793,0.7992727491378557,0.019267446377942317
4Class_ND_CD_ED_MD,feature_minus_gaze_0_y,feature,gaze_0_y,GAZE,38,0.546569005110497,0.0249580707422615,0.546569005110497,0.0249580707422615,0.5394967540213388,0.034846480204292866,0.546569005110497,0.0249580707422615,0.5396535049631027,0.030321388021371368,0.8488563350368323,0.008319356914087197,0.8018572837258073,0.01905799910035652
4Class_ND_CD_ED_MD,feature_minus_gaze_0_z,feature,gaze_0_z,GAZE,38,0.5384155943468409,0.028978576173609764,0.5384155943468409,0.028978576173609764,0.5307804037262772,0.03953404409175046,0.5384155943468409,0.028978576173609764,0.5316553476601182,0.03438753728898563,0.8461385314489469,0.009659525391203275,0.8009903481750985,0.019427347338556663
4Class_ND_CD_ED_MD,feature_minus_gaze_1_x,feature,gaze_1_x,GAZE,38,0.5428994894777489,0.026881987512475145,0.5428994894777489,0.02688198751247519,0.5371340780078846,0.03928632426543758,0.5428994894777489,0.02688198751247519,0.5372458896419723,0.03396411033549503,0.8476331631592495,0.00896066250415841,0.80330335399015,0.018873091347380515
4Class_ND_CD_ED_MD,feature_minus_gaze_1_y,feature,gaze_1_y,GAZE,38,0.5473243172742641,0.02881147207847393,0.5473243172742641,0.02881147207847392,0.5414657369614512,0.03955706389698783,0.5473243172742641,0.02881147207847392,0.5418040755990811,0.03441655616417012,0.8491081057580881,0.009603824026157995,0.8002296948570061,0.020777171960848294
4Class_ND_CD_ED_MD,feature_minus_gaze_1_z,feature,gaze_1_z,GAZE,38,0.5347680985743195,0.023763576626866546,0.5347680985743194,0.023763576626866536,0.530698220262485,0.036426000230994966,0.5347680985743194,0.023763576626866536,0.5295426714067546,0.031259217470773745,0.8449226995247731,0.007921192208955556,0.7987958457127784,0.018596991655632517
4Class_ND_CD_ED_MD,feature_minus_gaze_angle_x,feature,gaze_angle_x,GAZE,38,0.5418092361090198,0.02842833882046274,0.5418092361090198,0.02842833882046274,0.5332001723155344,0.04333190798519444,0.5418092361090198,0.02842833882046274,0.5345606730087659,0.03683243330803182,0.8472697453696731,0.009476112940154283,0.7980816008444155,0.019082503695069135
4Class_ND_CD_ED_MD,feature_minus_gaze_angle_y,feature,gaze_angle_y,GAZE,38,0.5451740929528974,0.026683107268268166,0.5451740929528974,0.026683107268268124,0.5392853527997795,0.03894103733460582,0.5451740929528974,0.026683107268268124,0.5393291062887612,0.0329692622478134,0.8483913643176324,0.008894369089422727,0.8017877436834047,0.019867859961297613
4Class_ND_CD_ED_MD,feature_minus_gaze_vel,feature,gaze_vel,GAZE,38,0.5384017370730639,0.03170995047874786,0.5384017370730637,0.031709950478747834,0.5321036670509268,0.04478390331972587,0.5384017370730637,0.031709950478747834,0.5325432582963036,0.03889666319103508,0.8461339123576879,0.01056998349291593,0.7986374364804995,0.020185611680240762
4Class_ND_CD_ED_MD,feature_minus_gaze_amp,feature,gaze_amp,GAZE,38,0.5400310283827618,0.03253346635960307,0.5400310283827618,0.03253346635960307,0.5330589466414699,0.046905065724658426,0.5400310283827618,0.03253346635960307,0.533852463834572,0.04047778093350616,0.8466770094609206,0.01084448878653436,0.8003942416836185,0.019560129827996545
4Class_ND_CD_ED_MD,feature_minus_gaze_acc,feature,gaze_acc,GAZE,38,0.5380323471414188,0.028515796452196908,0.5380323471414188,0.02851579645219689,0.5310958287771685,0.04130795693560827,0.5380323471414188,0.02851579645219689,0.5318415654174669,0.03551358409833652,0.846010782380473,0.009505265484065615,0.8000205340372547,0.020237096860857506
3Class_ND_ED_MD,baseline_all_features,baseline,none,none,39,0.7931589451737814,0.040086478638375084,0.7931589451737813,0.040086478638375056,0.802531370327903,0.03600360558450882,0.7931589451737813,0.040086478638375056,0.7924469073779365,0.0414297440023068,0.8965794725868907,0.020043239319187528,0.929142915765469,0.015378637107655073
3Class_ND_ED_MD,group_minus_AU,group,AU,AU,22,0.6564790749805042,0.025852775362352604,0.6564790749805042,0.02585277536235264,0.66884729564997,0.036420808639106496,0.6564790749805042,0.02585277536235264,0.6504136845033379,0.029767290271528496,0.828239537490252,0.012926387681176273,0.8432742919267447,0.027006094098421037
3Class_ND_ED_MD,group_minus_POSE,group,POSE,POSE,33,0.799131659602587,0.03897498803300549,0.799131659602587,0.03897498803300549,0.8076722330426758,0.0339786033583371,0.799131659602587,0.03897498803300549,0.7989762499753285,0.039734061410692835,0.8995658298012934,0.01948749401650274,0.9308517549964718,0.015651094900131054
3Class_ND_ED_MD,group_minus_VEHICLE,group,VEHICLE,VEHICLE,34,0.7775181542026216,0.018613831996531847,0.7775181542026216,0.018613831996531893,0.7853017826720972,0.02077932862358725,0.7775181542026216,0.018613831996531893,0.7758002906405782,0.020439711296234262,0.8887590771013107,0.009306915998265917,0.9198889190036244,0.01479345048960953
3Class_ND_ED_MD,group_minus_GAZE,group,GAZE,GAZE,28,0.7976001984849919,0.04244818478346891,0.7976001984849919,0.04244818478346894,0.8085744316024007,0.03761853856926753,0.7976001984849919,0.04244818478346894,0.7975678308150478,0.043284248337184396,0.8988000992424959,0.02122409239173452,0.9327566848542155,0.015767965680024403
3Class_ND_ED_MD,feature_minus_AU01_r,feature,AU01_r,AU,38,0.7854765158023354,0.04244940164359381,0.7854765158023354,0.0424494016435938,0.7962156306507076,0.03767250541227982,0.7854765158023354,0.0424494016435938,0.7848562942575896,0.043345576277306494,0.8927382579011678,0.021224700821796894,0.9288521605539459,0.015388440661597976
