A,B,mean_A,mean_B,diff,se,T,df,pval,hedges,Feature,Metric
CD,ED,0.3149434473485976,0.3236758201413855,-0.008732372792787935,0.057422662881083913,-0.15207188860035503,9.139348579999115,0.99865196942701,-0.0733142104946327,AU06_r,std
CD,MD,0.3149434473485976,0.3573809849412315,-0.04243753759263391,0.0628945230921428,-0.6747413845631892,6.272682556309021,0.9031163384441053,-0.38878227662891607,AU06_r,std
CD,ND,0.3149434473485976,0.20248494773695216,0.11245849961164542,0.024377951433100974,4.613123457902478,13.235879999563062,0.0022958431097765963,2.072770942024872,AU06_r,std
ED,MD,0.3236758201413855,0.3573809849412315,-0.03370516479984598,0.07981539421569632,-0.4222890224504785,11.162901606602771,0.973488951255514,-0.21218455311096132,AU06_r,std
ED,ND,0.3236758201413855,0.20248494773695216,0.12119087240443335,0.0548549052947278,2.209298726399975,7.754450448249063,0.20247777568670267,1.1352632286131767,AU06_r,std
MD,ND,0.3573809849412315,0.20248494773695216,0.15489603720427933,0.06055922272888769,2.5577613156912515,5.43964505017698,0.15548957526027984,1.628457315231179,AU06_r,std
CD,ED,0.37378804148989436,0.3556134638953569,0.018174577594537444,0.06757375889336227,0.2689591032403367,12.112127296731826,0.9928343376870858,0.12697075831686347,AU10_r,std
CD,MD,0.37378804148989436,0.36753301879238226,0.006255022697512103,0.04775885720006542,0.1309709457935592,12.931669801818584,0.9991540312645786,0.06028018509319142,AU10_r,std
CD,ND,0.37378804148989436,0.2103317611095455,0.16345628038034887,0.04457218160608631,3.667226384046434,15.016749924365403,0.010939150449452484,1.6191822131785147,AU10_r,std
ED,MD,0.3556134638953569,0.36753301879238226,-0.011919554897025342,0.0648164723927593,-0.18389700113264548,10.467335551127338,0.9976490948104587,-0.08427998087173968,AU10_r,std
ED,ND,0.3556134638953569,0.2103317611095455,0.14528170278581143,0.06250556795607115,2.3243001789523015,9.868846509967106,0.1575830588787447,1.1339307246013506,AU10_r,std
MD,ND,0.36753301879238226,0.2103317611095455,0.15720125768283677,0.040269611068261026,3.903719293845796,11.555221902259008,0.0103797993282857,1.8116718139667218,AU10_r,std
CD,ED,0.32332401136859834,0.3073562820933035,0.01596772927529483,0.10439770423316878,0.15295096182988313,12.745579441028257,0.9986555083681924,0.07188567985554124,AU12_r,std
CD,MD,0.32332401136859834,0.3434078985104987,-0.020083887141900347,0.07990082417621634,-0.25136019995997255,12.785037208325381,0.9941415757579881,-0.11694917409926772,AU12_r,std
CD,ND,0.32332401136859834,0.0640907829399249,0.25923322842867347,0.06091252851992529,4.255827737373846,8.839161517998724,0.0097364727167919,2.011792498912151,AU12_r,std
ED,MD,0.3073562820933035,0.3434078985104987,-0.036051616417195176,0.10114884076445298,-0.35642144926948977,11.136217490479599,0.9836752613495897,-0.16557001277916564,AU12_r,std
ED,ND,0.3073562820933035,0.0640907829399249,0.2432654991533786,0.08693263147198949,2.7983220458679092,7.351246967651084,0.09408468093400901,1.4557409716602334,AU12_r,std
MD,ND,0.3434078985104987,0.0640907829399249,0.2793171155705738,0.05515925552005925,5.063830411362191,5.654100051203321,0.010644762186212797,3.1533586876349604,AU12_r,std
CD,ED,0.4768873003971686,0.46765372833017216,0.009233572066996432,0.06935974370639371,0.13312581006762375,11.980571271973833,0.9991082300608569,0.06290318274480973,AU25_r,std
CD,MD,0.4768873003971686,0.6503429913530844,-0.1734556909559158,0.09771415688410853,-1.7751336805949074,6.684908393863143,0.36072682909987175,-1.0041665506905502,AU25_r,std
CD,ND,0.4768873003971686,0.2642172568487827,0.21267004354838587,0.04454397360002879,4.774384195222503,14.562483249745156,0.0013526305696660579,2.1175188396307485,AU25_r,std
ED,MD,0.46765372833017216,0.6503429913530844,-0.18268926302291222,0.10787531956041371,-1.693522334555869,8.964613879954909,0.3804627756109834,-0.8943761809780911,AU25_r,std
ED,ND,0.46765372833017216,0.2642172568487827,0.20343647148138944,0.06382157706269302,3.1875813924427208,9.539889012693601,0.042720598383129804,1.56606428690708,AU25_r,std
MD,ND,0.6503429913530844,0.2642172568487827,0.38612573450430165,0.09386413642773697,4.1136662968349755,5.773550727193508,0.02584985270968365,2.5323441071943864,AU25_r,std
CD,ED,0.5456873483074286,0.3746420509831077,0.1710452973243209,0.06876544119323658,2.487372935537045,13.772923996127377,0.10638084245489488,1.159843280260122,AU26_r,std
CD,MD,0.5456873483074286,0.3923926880788267,0.1532946602286019,0.06669482995440273,2.2984489252526,11.0118118841471,0.15745644276621507,1.1357245083070298,AU26_r,std
CD,ND,0.5456873483074286,0.2814765519259734,0.2642107963814552,0.058963712587712054,4.4809050310125205,17.562701399419304,0.001582012074779815,1.917847582582481,AU26_r,std
ED,MD,0.3746420509831077,0.3923926880788267,-0.017750637095719002,0.07443961893983034,-0.23845685064652022,11.836045330188144,0.9949644419799439,-0.1170369994016854,AU26_r,std
