Feature,Metric,Comparison,Welch_F,P_value,Result,ND_Value,CD_ED_Value,MD_Value
AU01_r,mean,ND_vs_CD_ED_vs_MD,4.0802,0.04412773870637676,기각 (차이 있음),0.1557,0.4571,0.2819
AU02_r,mean,ND_vs_CD_ED_vs_MD,3.5433,0.0607957766974786,기각하지 못함 (차이 없음),0.0788,0.1901,0.1579
AU04_r,mean,ND_vs_CD_ED_vs_MD,0.9716,0.3964286833231932,기각하지 못함 (차이 없음),0.771,0.3259,0.6947
AU05_r,mean,ND_vs_CD_ED_vs_MD,1.5539,0.25079841783477824,기각하지 못함 (차이 없음),0.0508,0.0636,0.0986
AU06_r,mean,ND_vs_CD_ED_vs_MD,0.0699,0.9327264082429519,기각하지 못함 (차이 없음),0.7387,0.6747,0.6838
AU07_r,mean,ND_vs_CD_ED_vs_MD,0.4302,0.6567401847933679,기각하지 못함 (차이 없음),0.6505,0.6077,0.4256
AU09_r,mean,ND_vs_CD_ED_vs_MD,1.1198,0.34590935064190803,기각하지 못함 (차이 없음),0.0721,0.092,0.096
AU10_r,mean,ND_vs_CD_ED_vs_MD,1.4118,0.2716835507211786,기각하지 못함 (차이 없음),0.6627,0.6539,1.0603
AU12_r,mean,ND_vs_CD_ED_vs_MD,0.2686,0.7670797910632949,기각하지 못함 (차이 없음),0.1733,0.2389,0.236
AU14_r,mean,ND_vs_CD_ED_vs_MD,0.0904,0.9139950615812301,기각하지 못함 (차이 없음),0.8484,0.8244,0.7324
AU15_r,mean,ND_vs_CD_ED_vs_MD,0.2367,0.7924925408398902,기각하지 못함 (차이 없음),0.1235,0.1479,0.1351
AU17_r,mean,ND_vs_CD_ED_vs_MD,0.4996,0.6160354226681662,기각하지 못함 (차이 없음),0.279,0.3061,0.3353
AU20_r,mean,ND_vs_CD_ED_vs_MD,0.2706,0.7657552150438772,기각하지 못함 (차이 없음),0.1083,0.0901,0.0891
AU23_r,mean,ND_vs_CD_ED_vs_MD,0.2412,0.7891094568452787,기각하지 못함 (차이 없음),0.1197,0.1314,0.1507
AU25_r,mean,ND_vs_CD_ED_vs_MD,9.2666,0.0035633765184493035,기각 (차이 있음),0.2618,0.6785,0.658
AU26_r,mean,ND_vs_CD_ED_vs_MD,6.4435,0.010571344039361724,기각 (차이 있음),0.27,0.4624,0.4802
AU45_r,mean,ND_vs_CD_ED_vs_MD,2.8173,0.0920766208062573,기각하지 못함 (차이 없음),0.1727,0.4669,0.1887
pose_Tx,mean,ND_vs_CD_ED_vs_MD,0.856,0.44310726302031617,기각하지 못함 (차이 없음),-815.0028,-28.5432,-35.8923
pose_Ty,mean,ND_vs_CD_ED_vs_MD,0.5895,0.5648264875968282,기각하지 못함 (차이 없음),-555.9691,26.2653,29.8455
pose_Tz,mean,ND_vs_CD_ED_vs_MD,0.5794,0.5717985026896641,기각하지 못함 (차이 없음),1467.4779,272.1624,268.3988
pose_Rx,mean,ND_vs_CD_ED_vs_MD,4.6768,0.024392751410845903,기각 (차이 있음),-0.0667,0.1185,-0.0427
pose_Ry,mean,ND_vs_CD_ED_vs_MD,1.0255,0.3780105783084311,기각하지 못함 (차이 없음),-0.0442,-0.0036,-0.0022
pose_Rz,mean,ND_vs_CD_ED_vs_MD,3.0744,0.07129261405116809,기각하지 못함 (차이 없음),0.0248,0.0185,-0.0148
Speed,mean,ND_vs_CD_ED_vs_MD,3.3892,0.05809852291653047,기각하지 못함 (차이 없음),69.3342,73.0053,70.9751
Acceleration,mean,ND_vs_CD_ED_vs_MD,0.0634,0.9388585781258033,기각하지 못함 (차이 없음),5.9675,5.9338,6.0747
Brake,mean,ND_vs_CD_ED_vs_MD,4.469,0.03167365491408571,기각 (차이 있음),20.8248,5.4354,23.5763
Steering,mean,ND_vs_CD_ED_vs_MD,0.365,0.7002103618304033,기각하지 못함 (차이 없음),0.0001,0.0002,0.0009
LaneOffset,mean,ND_vs_CD_ED_vs_MD,4.1512,0.030748738736655547,기각 (차이 있음),-0.0542,-0.087,0.0129
gaze_0_x,mean,ND_vs_CD_ED_vs_MD,0.2379,0.7907235167640198,기각하지 못함 (차이 없음),0.1737,0.1556,0.15
gaze_0_y,mean,ND_vs_CD_ED_vs_MD,4.4154,0.02927106065873079,기각 (차이 있음),0.1262,0.2711,0.1226
gaze_0_z,mean,ND_vs_CD_ED_vs_MD,1.9338,0.17790214036851637,기각하지 못함 (차이 없음),-0.9611,-0.9327,-0.961
gaze_1_x,mean,ND_vs_CD_ED_vs_MD,2.5117,0.10874602494142305,기각하지 못함 (차이 없음),-0.0128,-0.0669,-0.038
gaze_1_y,mean,ND_vs_CD_ED_vs_MD,3.8062,0.041162979337877006,기각 (차이 있음),0.1392,0.2834,0.132
gaze_1_z,mean,ND_vs_CD_ED_vs_MD,2.7272,0.08924555422247027,기각하지 못함 (차이 없음),-0.9714,-0.9396,-0.9738
gaze_angle_x,mean,ND_vs_CD_ED_vs_MD,0.9453,0.40729641950924317,기각하지 못함 (차이 없음),0.0825,0.0473,0.0583
gaze_angle_y,mean,ND_vs_CD_ED_vs_MD,4.0508,0.03582319128062637,기각 (차이 있음),0.1363,0.2878,0.131
gaze_vel,mean,ND_vs_CD_ED_vs_MD,2.3752,0.12467797777537572,기각하지 못함 (차이 없음),21.9507,22.5396,28.429
gaze_amp,mean,ND_vs_CD_ED_vs_MD,1.7404,0.20687619010621017,기각하지 못함 (차이 없음),0.8216,0.8356,1.0267
gaze_acc,mean,ND_vs_CD_ED_vs_MD,0.4367,0.6541809885323061,기각하지 못함 (차이 없음),0.1255,0.1445,0.2754
