A,B,mean_A,mean_B,diff,se,T,df,pval,hedges,Feature
CD_ED,MD,0.11719289572669411,0.23302229322479814,-0.11582939749810403,0.04614212226720747,-2.5102745995803986,18.299270595046913,0.05394235826186289,-0.9902112296788135,AU23_r
CD_ED,ND,0.11719289572669411,0.10748880558581056,0.009704090140883553,0.029422238689366595,0.3298216102227014,12.120306083583374,0.9420807642170762,0.14945286840433322,AU23_r
MD,ND,0.23302229322479814,0.10748880558581056,0.12553348763898758,0.040165253512940105,3.1254250044393284,13.67905606068436,0.019534807345509275,1.2786263940461364,AU23_r
CD_ED,MD,0.5941872393269977,0.6957139761448726,-0.10152673681787494,0.18896095663594026,-0.5372894942180062,13.49674917324039,0.8545298360915131,-0.23991538278310903,AU25_r
CD_ED,ND,0.5941872393269977,0.2602535197574253,0.3339337195695724,0.1663351251309846,2.0075959260355156,8.845488683417024,0.16686016206593735,1.02378697434733,AU25_r
MD,ND,0.6957139761448726,0.2602535197574253,0.43546045638744735,0.10387963806726615,4.19197125143495,14.21189258246128,0.0023666054622472066,1.7059331976745975,AU25_r
CD_ED,MD,0.45040456044907945,0.5732588417563416,-0.12285428130726211,0.1247210722435919,-0.9850322731937089,17.870280829637665,0.5954276836398504,-0.41366519178189604,AU26_r
CD_ED,ND,0.45040456044907945,0.2981816608094908,0.15222289963958863,0.0987236632605757,1.5419089467720077,10.433371736175037,0.31208031620643983,0.7363737429480971,AU26_r
MD,ND,0.5732588417563416,0.2981816608094908,0.27507718094685074,0.0913259393079272,3.0120377959580833,14.913014609972253,0.02255876735592721,1.2176740077417485,AU26_r
CD_ED,MD,0.485730674493527,0.19926067474017298,0.2864699997533541,0.11920613872868459,2.403148049324584,9.543952857019656,0.08862870975141401,1.1441410883724612,AU45_r
CD_ED,ND,0.485730674493527,0.1644306744745113,0.3213000000190157,0.11462158782495278,2.8031368795003697,8.212031303929338,0.05298400534048131,1.4777041767751324,AU45_r
MD,ND,0.19926067474017298,0.1644306744745113,0.03483000026566169,0.037612872843806995,0.926012761915273,14.03168110670321,0.6333902049815838,0.3775064275881971,AU45_r
CD_ED,MD,0.5030580103859241,0.2813743936398583,0.22168361674606585,0.18796718617093847,1.1793740240621864,14.874315788976846,0.4829784269986205,0.5169593079183297,gaze_acc
CD_ED,ND,0.5030580103859241,0.051385646909327856,0.4516723634765963,0.16646029472403237,2.7133939911941476,10.470114489794572,0.05065560949401271,1.29416275188895,gaze_acc
MD,ND,0.2813743936398583,0.051385646909327856,0.22998874673053044,0.1221204002884533,1.8832950611633088,17.804485171695916,0.17252064052859695,0.7429181397063672,gaze_acc
