Feature,Comparison,Welch_F,P_value,Result,ND_Mean,CD_Mean,ED_Mean,MD_Mean
AU01_r,ND_CD_ED_MD,1.7285,0.21418381535198278,기각하지 못함 (차이 없음),0.1861,0.1233,0.3609,0.3707
AU02_r,ND_CD_ED_MD,2.303,0.13529910747970028,기각하지 못함 (차이 없음),0.0698,0.0635,0.1675,0.2121
AU04_r,ND_CD_ED_MD,5.6887,0.01323589931915937,기각 (차이 있음),0.539,0.0588,0.7766,1.0913
AU05_r,ND_CD_ED_MD,1.2745,0.324590528874515,기각하지 못함 (차이 없음),0.0438,0.0579,0.0846,0.0588
AU06_r,ND_CD_ED_MD,2.3714,0.11402541453304917,기각하지 못함 (차이 없음),0.7772,0.5583,0.5577,1.1388
AU07_r,ND_CD_ED_MD,1.7314,0.20919596989468497,기각하지 못함 (차이 없음),0.4531,0.5389,0.4759,1.3302
AU09_r,ND_CD_ED_MD,3.1519,0.06907678963365224,기각하지 못함 (차이 없음),0.051,0.1286,0.0852,0.1033
AU10_r,ND_CD_ED_MD,0.616,0.6154195949605725,기각하지 못함 (차이 없음),0.9216,0.6661,0.6946,0.9395
AU12_r,ND_CD_ED_MD,0.4744,0.7047754057417888,기각하지 못함 (차이 없음),0.2032,0.142,0.1925,0.2837
AU14_r,ND_CD_ED_MD,0.4158,0.7444334819675406,기각하지 못함 (차이 없음),0.6316,0.6247,0.7954,0.9888
AU15_r,ND_CD_ED_MD,1.8354,0.1845956378213055,기각하지 못함 (차이 없음),0.1226,0.1582,0.1795,0.0863
AU17_r,ND_CD_ED_MD,2.0193,0.1558518374826452,기각하지 못함 (차이 없음),0.2828,0.2625,0.421,0.3439
AU20_r,ND_CD_ED_MD,1.0515,0.39922874408211295,기각하지 못함 (차이 없음),0.0948,0.0655,0.1133,0.0911
AU23_r,ND_CD_ED_MD,1.4813,0.26944404314383624,기각하지 못함 (차이 없음),0.096,0.1606,0.1257,0.1609
AU25_r,ND_CD_ED_MD,4.6425,0.023526479885690812,기각 (차이 있음),0.2604,0.5898,0.5629,0.9026
AU26_r,ND_CD_ED_MD,2.5347,0.1053730941674541,기각하지 못함 (차이 없음),0.2768,0.4495,0.3987,0.5807
AU45_r,ND_CD_ED_MD,2.9015,0.08496295498830676,기각하지 못함 (차이 없음),0.1454,0.3674,0.3158,0.2802
pose_Tx,ND_CD_ED_MD,0.6859,0.5760071412687954,기각하지 못함 (차이 없음),-272661.6728,-36.7813,-40.2957,-47.0876
pose_Ty,ND_CD_ED_MD,0.3264,0.806283295188463,기각하지 못함 (차이 없음),-204442.9262,23.1076,21.2301,23.3451
pose_Tz,ND_CD_ED_MD,1.1542,0.35925067062129484,기각하지 못함 (차이 없음),426249.7782,274.9704,277.3175,266.9844
pose_Rx,ND_CD_ED_MD,8.2315,0.002594287847720608,기각 (차이 있음),-0.086,0.1182,0.0853,-0.0236
pose_Ry,ND_CD_ED_MD,0.8779,0.47729771612796223,기각하지 못함 (차이 없음),-0.0185,0.0,0.0157,-0.061
pose_Rz,ND_CD_ED_MD,0.5307,0.6688355285516245,기각하지 못함 (차이 없음),0.0107,0.0163,0.0275,0.0331
Speed,ND_CD_ED_MD,0.2647,0.8495387260237942,기각하지 못함 (차이 없음),69.9202,69.3533,71.1481,72.4924
Acceleration,ND_CD_ED_MD,1.5738,0.24479321692454672,기각하지 못함 (차이 없음),5.9546,5.3637,5.698,5.9422
Brake,ND_CD_ED_MD,0.6027,0.623988420018758,기각하지 못함 (차이 없음),19.7175,10.6209,11.5863,17.5473
Steering,ND_CD_ED_MD,0.7043,0.5649339949555101,기각하지 못함 (차이 없음),0.0,0.001,0.0011,0.0
LaneOffset,ND_CD_ED_MD,0.6387,0.6026787221350565,기각하지 못함 (차이 없음),-0.0481,-0.039,0.0023,-0.0751
gaze_0_x,ND_CD_ED_MD,1.5063,0.25688798294765464,기각하지 못함 (차이 없음),0.124,0.1648,0.155,0.197
gaze_0_y,ND_CD_ED_MD,6.4132,0.006647532265544131,기각 (차이 있음),0.1056,0.2852,0.2282,0.1345
gaze_0_z,ND_CD_ED_MD,0.217,0.8829910269306984,기각하지 못함 (차이 없음),-0.928,-0.9336,-0.9476,-0.9394
gaze_1_x,ND_CD_ED_MD,2.2489,0.12887131747103248,기각하지 못함 (차이 없음),-0.0242,-0.0699,-0.0698,0.0066
gaze_1_y,ND_CD_ED_MD,6.7704,0.005352278742989825,기각 (차이 있음),0.1104,0.3039,0.2414,0.1375
gaze_1_z,ND_CD_ED_MD,0.4244,0.7384954018321026,기각하지 못함 (차이 없음),-0.9348,-0.939,-0.9551,-0.9576
gaze_angle_x,ND_CD_ED_MD,0.9612,0.439520699962606,기각하지 못함 (차이 없음),0.0509,0.0506,0.0452,0.1042
gaze_angle_y,ND_CD_ED_MD,6.6944,0.0056150333144823475,기각 (차이 있음),0.1098,0.3047,0.2423,0.1434
gaze_vel,ND_CD_ED_MD,1.5818,0.23659165567473953,기각하지 못함 (차이 없음),21.1008,21.9162,28.0836,25.5338
gaze_amp,ND_CD_ED_MD,1.5754,0.23748989725591646,기각하지 못함 (차이 없음),0.7864,0.8057,1.0329,0.9486
gaze_acc,ND_CD_ED_MD,3.3302,0.05488978223251375,기각하지 못함 (차이 없음),0.0563,0.0584,0.3456,0.6355
