Feature,Comparison,Group,W_statistic,P_value,Is_Normal,Result
pose_Ty,ND_vs_CD_ED_vs_MD,ND,0.2906,1.0832717572682436e-07,False,정규성 위배
pose_Ty,ND_vs_CD_ED_vs_MD,CD_ED,0.8757,0.17141023250551607,True,정규성 만족
pose_Ty,ND_vs_CD_ED_vs_MD,MD,0.971,0.8963488236079475,True,정규성 만족
pose_Tz,ND_vs_CD_ED_vs_MD,ND,0.2869,1.024779489040185e-07,False,정규성 위배
pose_Tz,ND_vs_CD_ED_vs_MD,CD_ED,0.9553,0.7641088132318334,True,정규성 만족
pose_Tz,ND_vs_CD_ED_vs_MD,MD,0.9688,0.8746645994484641,True,정규성 만족
pose_Rx,ND_vs_CD_ED_vs_MD,ND,0.865,0.028538484951011293,False,정규성 위배
pose_Rx,ND_vs_CD_ED_vs_MD,CD_ED,0.9444,0.65532058531225,True,정규성 만족
pose_Rx,ND_vs_CD_ED_vs_MD,MD,0.9717,0.9033886582927495,True,정규성 만족
pose_Ry,ND_vs_CD_ED_vs_MD,ND,0.9404,0.3875556201944993,True,정규성 만족
pose_Ry,ND_vs_CD_ED_vs_MD,CD_ED,0.9578,0.788435266510275,True,정규성 만족
pose_Ry,ND_vs_CD_ED_vs_MD,MD,0.945,0.580808100718464,True,정규성 만족
pose_Rz,ND_vs_CD_ED_vs_MD,ND,0.9527,0.5687403459776781,True,정규성 만족
pose_Rz,ND_vs_CD_ED_vs_MD,CD_ED,0.8744,0.16640295798995147,True,정규성 만족
pose_Rz,ND_vs_CD_ED_vs_MD,MD,0.9393,0.5127650417249057,True,정규성 만족
Speed,ND_vs_CD_ED_vs_MD,ND,0.865,0.028556299975437682,False,정규성 위배
Speed,ND_vs_CD_ED_vs_MD,CD_ED,0.9288,0.5048759607596998,True,정규성 만족
Speed,ND_vs_CD_ED_vs_MD,MD,0.8827,0.11268074071703688,True,정규성 만족
Acceleration,ND_vs_CD_ED_vs_MD,ND,0.9376,0.3527379873853226,True,정규성 만족
Acceleration,ND_vs_CD_ED_vs_MD,CD_ED,0.7347,0.005530950735895328,False,정규성 위배
Acceleration,ND_vs_CD_ED_vs_MD,MD,0.9405,0.5266185820107052,True,정규성 만족
Brake,ND_vs_CD_ED_vs_MD,ND,0.7693,0.0015241741962625309,False,정규성 위배
Brake,ND_vs_CD_ED_vs_MD,CD_ED,0.8773,0.17748327931048508,True,정규성 만족
Brake,ND_vs_CD_ED_vs_MD,MD,0.9062,0.21958051213518487,True,정규성 만족
Steering,ND_vs_CD_ED_vs_MD,ND,0.9025,0.10399766459841342,True,정규성 만족
Steering,ND_vs_CD_ED_vs_MD,CD_ED,0.7195,0.0037369024680843545,False,정규성 위배
Steering,ND_vs_CD_ED_vs_MD,MD,0.6381,7.617264227625455e-05,False,정규성 위배
LaneOffset,ND_vs_CD_ED_vs_MD,ND,0.9016,0.10071578595261776,True,정규성 만족
LaneOffset,ND_vs_CD_ED_vs_MD,CD_ED,0.9347,0.5595901326006485,True,정규성 만족
LaneOffset,ND_vs_CD_ED_vs_MD,MD,0.9093,0.2394993548069841,True,정규성 만족
gaze_0_x,ND_vs_CD_ED_vs_MD,ND,0.9111,0.14062744173025632,True,정규성 만족
gaze_0_x,ND_vs_CD_ED_vs_MD,CD_ED,0.8954,0.2625419028955863,True,정규성 만족
gaze_0_x,ND_vs_CD_ED_vs_MD,MD,0.9504,0.6487780882357062,True,정규성 만족
gaze_0_y,ND_vs_CD_ED_vs_MD,ND,0.8546,0.0202174746105078,False,정규성 위배
gaze_0_y,ND_vs_CD_ED_vs_MD,CD_ED,0.9604,0.8135042771753582,True,정규성 만족
gaze_0_y,ND_vs_CD_ED_vs_MD,MD,0.9526,0.6777516151337413,True,정규성 만족
gaze_0_z,ND_vs_CD_ED_vs_MD,ND,0.796,0.0032656955843674905,False,정규성 위배
gaze_0_z,ND_vs_CD_ED_vs_MD,CD_ED,0.8611,0.12300342972097583,True,정규성 만족
