Feature,Metric,Comparison,Welch_F,P_value,Result,ND_Value,CD_Value,ED_Value,MD_Value
AU01_r,std,ND_vs_CD_vs_ED_vs_MD,1.5171,0.2614230048320298,기각하지 못함 (차이 없음),0.2449,0.5951,0.4821,0.305
AU02_r,std,ND_vs_CD_vs_ED_vs_MD,0.6561,0.5946795496862822,기각하지 못함 (차이 없음),0.2107,0.4846,0.2647,0.2489
AU04_r,std,ND_vs_CD_vs_ED_vs_MD,0.3029,0.8227788189370728,기각하지 못함 (차이 없음),0.2231,0.2264,0.2915,0.1818
AU05_r,std,ND_vs_CD_vs_ED_vs_MD,1.7915,0.19369077726191128,기각하지 못함 (차이 없음),0.1388,0.1283,0.1402,0.1903
AU06_r,std,ND_vs_CD_vs_ED_vs_MD,6.343,0.006543877593146098,기각 (차이 있음),0.2267,0.3078,0.2812,0.4245
AU07_r,std,ND_vs_CD_vs_ED_vs_MD,1.2358,0.332273703407607,기각하지 못함 (차이 없음),0.2737,0.3645,0.3257,0.4539
AU09_r,std,ND_vs_CD_vs_ED_vs_MD,0.8062,0.5115489138112539,기각하지 못함 (차이 없음),0.1472,0.242,0.1776,0.2151
AU10_r,std,ND_vs_CD_vs_ED_vs_MD,4.4213,0.022054657740383045,기각 (차이 있음),0.2493,0.3443,0.3352,0.425
AU12_r,std,ND_vs_CD_vs_ED_vs_MD,6.2766,0.0068435077085093055,기각 (차이 있음),0.1066,0.2786,0.21,0.4134
AU14_r,std,ND_vs_CD_vs_ED_vs_MD,1.3378,0.3024766983880318,기각하지 못함 (차이 없음),0.2814,0.3531,0.3788,0.3846
AU15_r,std,ND_vs_CD_vs_ED_vs_MD,1.6517,0.21924444401726628,기각하지 못함 (차이 없음),0.1632,0.1587,0.216,0.2335
AU17_r,std,ND_vs_CD_vs_ED_vs_MD,1.2762,0.31852445926107303,기각하지 못함 (차이 없음),0.2396,0.3022,0.2976,0.318
AU20_r,std,ND_vs_CD_vs_ED_vs_MD,0.1923,0.8997702317317816,기각하지 못함 (차이 없음),0.167,0.1404,0.1598,0.1592
AU23_r,std,ND_vs_CD_vs_ED_vs_MD,0.4088,0.7492732831882236,기각하지 못함 (차이 없음),0.2182,0.2404,0.2628,0.2775
AU25_r,std,ND_vs_CD_vs_ED_vs_MD,4.4661,0.01964128196071878,기각 (차이 있음),0.3322,0.4268,0.4691,0.7486
AU26_r,std,ND_vs_CD_vs_ED_vs_MD,2.0266,0.15462122039902576,기각하지 못함 (차이 없음),0.3056,0.4523,0.4367,0.4266
AU45_r,std,ND_vs_CD_vs_ED_vs_MD,8.0181,0.0034854823339671758,기각 (차이 있음),0.2484,0.4679,0.4592,0.3786
pose_Tx,std,ND_vs_CD_vs_ED_vs_MD,1.8085,0.1892803031065776,기각하지 못함 (차이 없음),43124.3837,7.9391,5.5584,4.8184
pose_Ty,std,ND_vs_CD_vs_ED_vs_MD,1.4105,0.2811399800136481,기각하지 못함 (차이 없음),32345.8296,6.737,4.1555,6.8543
pose_Tz,std,ND_vs_CD_vs_ED_vs_MD,1.5861,0.23622284881672184,기각하지 못함 (차이 없음),67382.2348,5.6671,3.7233,4.8293
pose_Rx,std,ND_vs_CD_vs_ED_vs_MD,1.7441,0.20082830228323223,기각하지 못함 (차이 없음),0.0653,0.0576,0.0423,0.07
pose_Ry,std,ND_vs_CD_vs_ED_vs_MD,0.249,0.8607666911767813,기각하지 못함 (차이 없음),0.0297,0.0316,0.0371,0.0358
pose_Rz,std,ND_vs_CD_vs_ED_vs_MD,2.3404,0.1182933689141299,기각하지 못함 (차이 없음),0.0314,0.0335,0.0243,0.0439
Speed,std,ND_vs_CD_vs_ED_vs_MD,11.7634,0.0004676889389969426,기각 (차이 있음),12.0243,7.8836,5.7761,3.21
Acceleration,std,ND_vs_CD_vs_ED_vs_MD,0.6561,0.5945625681373325,기각하지 못함 (차이 없음),4.1891,3.1872,3.7655,3.4978
Brake,std,ND_vs_CD_vs_ED_vs_MD,2.962,0.07372339476902302,기각하지 못함 (차이 없음),49.1333,36.6139,22.4563,25.9008
Steering,std,ND_vs_CD_vs_ED_vs_MD,1.8078,0.2034720608661264,기각하지 못함 (차이 없음),0.023,0.048,0.0561,0.0339
LaneOffset,std,ND_vs_CD_vs_ED_vs_MD,5.7293,0.010152487923170929,기각 (차이 있음),0.263,0.2194,0.2002,0.1407
gaze_0_x,std,ND_vs_CD_vs_ED_vs_MD,0.51,0.6817391683633626,기각하지 못함 (차이 없음),0.0375,0.0464,0.0395,0.0433
gaze_0_y,std,ND_vs_CD_vs_ED_vs_MD,0.7052,0.5643896388346388,기각하지 못함 (차이 없음),0.0591,0.0711,0.0546,0.0622
gaze_0_z,std,ND_vs_CD_vs_ED_vs_MD,4.1358,0.027784651004045494,기각 (차이 있음),0.0656,0.0295,0.0397,0.0204
gaze_1_x,std,ND_vs_CD_vs_ED_vs_MD,2.2622,0.12873570465014983,기각하지 못함 (차이 없음),0.0361,0.0492,0.055,0.0381
gaze_1_y,std,ND_vs_CD_vs_ED_vs_MD,0.0269,0.9937987519798265,기각하지 못함 (차이 없음),0.0616,0.0624,0.0624,0.0597
gaze_1_z,std,ND_vs_CD_vs_ED_vs_MD,5.0643,0.017246777495261906,기각 (차이 있음),0.0658,0.0286,0.0431,0.019
gaze_angle_x,std,ND_vs_CD_vs_ED_vs_MD,0.798,0.5149473389021546,기각하지 못함 (차이 없음),0.0296,0.0388,0.04,0.0341
gaze_angle_y,std,ND_vs_CD_vs_ED_vs_MD,0.1204,0.9466763461333391,기각하지 못함 (차이 없음),0.0596,0.0642,0.0577,0.062
gaze_vel,std,ND_vs_CD_vs_ED_vs_MD,2.2879,0.12648287796238553,기각하지 못함 (차이 없음),26.9721,39.1031,37.9849,28.9435
gaze_amp,std,ND_vs_CD_vs_ED_vs_MD,2.1511,0.14257817049115842,기각하지 못함 (차이 없음),1.0124,1.444,1.4048,1.0705
gaze_acc,std,ND_vs_CD_vs_ED_vs_MD,3.1166,0.06387490093393008,기각하지 못함 (차이 없음),804.0172,1235.5922,1186.1202,892.3613
