Feature,Metric,Comparison,Welch_F,P_value,Result,ND_Value,CD_ED_Value,MD_Value
AU01_r,var,ND_vs_CD_ED_vs_MD,1.7647,0.2070944681258749,기각하지 못함 (차이 없음),0.2698,0.0765,0.4883
AU02_r,var,ND_vs_CD_ED_vs_MD,0.9385,0.4118229650174704,기각하지 못함 (차이 없음),0.1815,0.0647,0.1558
AU04_r,var,ND_vs_CD_ED_vs_MD,8.69,0.0031103156078461625,기각 (차이 있음),0.0922,0.0149,0.1825
AU05_r,var,ND_vs_CD_ED_vs_MD,2.1584,0.1581337154018571,기각하지 못함 (차이 없음),0.0148,0.023,0.0422
AU06_r,var,ND_vs_CD_ED_vs_MD,2.6904,0.10237554743726063,기각하지 못함 (차이 없음),0.0717,0.149,0.1189
AU07_r,var,ND_vs_CD_ED_vs_MD,0.5387,0.593516632362148,기각하지 못함 (차이 없음),0.1278,0.1879,0.1616
AU09_r,var,ND_vs_CD_ED_vs_MD,1.9702,0.17072242413027203,기각하지 못함 (차이 없음),0.0213,0.0511,0.0358
AU10_r,var,ND_vs_CD_ED_vs_MD,1.6197,0.22352241323358754,기각하지 못함 (차이 없음),0.1275,0.1916,0.1202
AU12_r,var,ND_vs_CD_ED_vs_MD,4.5104,0.02897897478681279,기각 (차이 있음),0.0344,0.1929,0.1071
AU14_r,var,ND_vs_CD_ED_vs_MD,0.091,0.9135065767952346,기각하지 못함 (차이 없음),0.1633,0.1794,0.1568
AU15_r,var,ND_vs_CD_ED_vs_MD,1.1049,0.35462068326760854,기각하지 못함 (차이 없음),0.0599,0.0854,0.0494
AU17_r,var,ND_vs_CD_ED_vs_MD,1.9215,0.17849683368839203,기각하지 못함 (차이 없음),0.0766,0.1169,0.1192
AU20_r,var,ND_vs_CD_ED_vs_MD,0.1816,0.835422628975069,기각하지 못함 (차이 없음),0.0436,0.0348,0.0429
AU23_r,var,ND_vs_CD_ED_vs_MD,0.319,0.731825132307871,기각하지 못함 (차이 없음),0.0704,0.1163,0.0758
AU25_r,var,ND_vs_CD_ED_vs_MD,5.3714,0.021879373420917225,기각 (차이 있음),0.12,0.52,0.3611
AU26_r,var,ND_vs_CD_ED_vs_MD,2.1653,0.14720395070414083,기각하지 못함 (차이 없음),0.1031,0.1499,0.1975
AU45_r,var,ND_vs_CD_ED_vs_MD,4.0148,0.04727189540466141,기각 (차이 있음),0.0951,0.1961,0.3075
pose_Tx,var,ND_vs_CD_ED_vs_MD,1.0187,0.38528875829860165,기각하지 못함 (차이 없음),3357641470997.031,59.0045,28.5648
pose_Ty,var,ND_vs_CD_ED_vs_MD,0.64,0.5392705769235712,기각하지 못함 (차이 없음),1888708332488.4143,40.6503,60.6348
pose_Tz,var,ND_vs_CD_ED_vs_MD,0.5208,0.6019471128073584,기각하지 못함 (차이 없음),8197248561290.361,20.4697,22.0746
pose_Rx,var,ND_vs_CD_ED_vs_MD,0.3488,0.7099163235183275,기각하지 못함 (차이 없음),0.0082,0.0047,0.0044
pose_Ry,var,ND_vs_CD_ED_vs_MD,0.5451,0.590198327221849,기각하지 못함 (차이 없음),0.0079,0.0019,0.0015
pose_Rz,var,ND_vs_CD_ED_vs_MD,0.7735,0.47626244266415396,기각하지 못함 (차이 없음),0.0032,0.0019,0.0012
Speed,var,ND_vs_CD_ED_vs_MD,23.6849,2.2564153947489908e-05,기각 (차이 있음),139.3651,50.6742,19.5508
Acceleration,var,ND_vs_CD_ED_vs_MD,0.443,0.6490974767740623,기각하지 못함 (차이 없음),19.3892,14.07,16.3658
Brake,var,ND_vs_CD_ED_vs_MD,1.7245,0.20439815668454997,기각하지 못함 (차이 없음),3318.4388,1564.2438,1365.2734
Steering,var,ND_vs_CD_ED_vs_MD,3.4588,0.06909327446195404,기각하지 못함 (차이 없음),0.0006,0.0805,0.0028
LaneOffset,var,ND_vs_CD_ED_vs_MD,9.7643,0.0021913037373398354,기각 (차이 있음),0.0714,0.0614,0.0325
gaze_0_x,var,ND_vs_CD_ED_vs_MD,1.026,0.3797650102957115,기각하지 못함 (차이 없음),0.0026,0.0023,0.0016
gaze_0_y,var,ND_vs_CD_ED_vs_MD,0.5156,0.605826173224691,기각하지 못함 (차이 없음),0.0042,0.0044,0.0034
gaze_0_z,var,ND_vs_CD_ED_vs_MD,1.6129,0.2350441859462463,기각하지 못함 (차이 없음),0.0195,0.0036,0.0006
gaze_1_x,var,ND_vs_CD_ED_vs_MD,0.0279,0.9724837515049384,기각하지 못함 (차이 없음),0.0025,0.0028,0.0025
gaze_1_y,var,ND_vs_CD_ED_vs_MD,0.0077,0.9923203147399058,기각하지 못함 (차이 없음),0.0041,0.0042,0.004
gaze_1_z,var,ND_vs_CD_ED_vs_MD,1.5728,0.24282570313544882,기각하지 못함 (차이 없음),0.0198,0.0037,0.0006
gaze_angle_x,var,ND_vs_CD_ED_vs_MD,0.3029,0.7424235543580525,기각하지 못함 (차이 없음),0.0022,0.0019,0.0014
gaze_angle_y,var,ND_vs_CD_ED_vs_MD,0.2007,0.819982826072097,기각하지 못함 (차이 없음),0.004,0.0045,0.0037
gaze_vel,var,ND_vs_CD_ED_vs_MD,0.0333,0.9672981444791129,기각하지 못함 (차이 없음),1172.207,1299.6886,1245.5422
gaze_amp,var,ND_vs_CD_ED_vs_MD,0.0545,0.9471658675186555,기각하지 못함 (차이 없음),1.5685,1.7677,1.7042
gaze_acc,var,ND_vs_CD_ED_vs_MD,0.1521,0.8600073321157309,기각하지 못함 (차이 없음),1081227.27,1209066.4158,1274333.832
