A,B,mean_A,mean_B,diff,se,T,df,pval,hedges,Feature,Metric
CD,ED,0.2716229036695317,0.3220040865278377,-0.050381182858306006,0.09637811159004683,-0.5227450717503888,16.632911940409034,0.9524082488963409,-0.2261706685337149,AU12_r,std
CD,MD,0.2716229036695317,0.3253191446611962,-0.053696240991664534,0.08734433622782463,-0.6147650014948414,14.27640015774345,0.9257059396887843,-0.26024121045908344,AU12_r,std
CD,ND,0.2716229036695317,0.12877102031623425,0.14285188335329743,0.0782486710750259,1.8256141783715292,10.653357008419912,0.31417530527818505,0.7978160169143641,AU12_r,std
ED,MD,0.3220040865278377,0.3253191446611962,-0.0033150581333585283,0.07553207052239451,-0.043889411615899585,14.278743522391917,0.9999680989587627,-0.01981048613148822,AU12_r,std
ED,ND,0.3220040865278377,0.12877102031623425,0.19323306621160344,0.0647990364999997,2.9820361019041437,10.240466991004801,0.05544492219297825,1.3838034886432733,AU12_r,std
MD,ND,0.3253191446611962,0.12877102031623425,0.19654812434496197,0.05039055277275745,3.900495500244272,10.549935544564413,0.012093981484349148,1.8769920341194248,AU12_r,std
CD,ED,0.3588286655861244,0.4340408985595613,-0.07521223297343688,0.08253929631781368,-0.9112293941038183,15.363997626666409,0.7992291389947279,-0.4048112661682706,AU26_r,std
CD,MD,0.3588286655861244,0.4787811483790825,-0.11995248279295806,0.06265570686873767,-1.9144701861596722,15.655515269531461,0.2618632282870572,-0.8277763379839406,AU26_r,std
CD,ND,0.3588286655861244,0.2992354945752359,0.05959317101088851,0.058091433431850886,1.0258512742812478,14.792683985104084,0.7373538199549077,0.43995935610224657,AU26_r,std
ED,MD,0.4340408985595613,0.4787811483790825,-0.04474024981952118,0.07579083761312369,-0.5903121172495672,12.595762565495637,0.9331821398636309,-0.26311327127766637,AU26_r,std
ED,ND,0.4340408985595613,0.2992354945752359,0.1348054039843254,0.07206336171068392,1.8706510601813835,11.21318258623119,0.29326049151423594,0.8583479598943826,AU26_r,std
MD,ND,0.4787811483790825,0.2992354945752359,0.17954565380384657,0.04802218516088367,3.73880641212668,14.429420488988823,0.010037679564585567,1.6830504059819489,AU26_r,std
CD,ED,4.68164645411491,6.058869037668601,-1.3772225835536913,2.9566632408670213,-0.46580299187195573,10.643920799880629,0.964978426039866,-0.21242294234583864,Speed,std
CD,MD,4.68164645411491,6.046202436840905,-1.364555982725995,1.9541417425662027,-0.6982891532392341,13.097444013091755,0.8959290122057942,-0.3245414456686861,Speed,std
CD,ND,4.68164645411491,12.26119174036562,-7.57954528625071,1.4280577472843121,-5.307590187206692,17.572601526992234,0.0002771923296784884,-2.247202146817595,Speed,std
ED,MD,6.058869037668601,6.046202436840905,0.012666600827696328,3.169872366395409,0.003995934019923974,12.712087842848774,0.9999999757611856,0.0017823872808107898,Speed,std
ED,ND,6.058869037668601,12.26119174036562,-6.2023227026970185,2.875546869514788,-2.156919356262686,9.676714386742466,0.20251015354970092,-1.0080053030489915,Speed,std
MD,ND,6.046202436840905,12.26119174036562,-6.214989303524715,1.829093280541399,-3.3978525697088124,11.200178471441868,0.025598310920996292,-1.6152683412591857,Speed,std
CD,ED,0.18811930091425189,0.17023951356474887,0.017879787349503018,0.04004353293716139,0.44650873781694056,13.131121092438036,0.9691553588783092,0.18918522194035406,LaneOffset,std
CD,MD,0.18811930091425189,0.1967249659155233,-0.008605665001271412,0.044557160248248184,-0.19313764506816283,15.554996714875474,0.9973345895146892,-0.08332053541176604,LaneOffset,std
CD,ND,0.18811930091425189,0.25050819377130296,-0.06238889285705107,0.03654355382253198,-1.7072475534271492,9.731062604639458,0.37041670145204453,-0.749806178122644,LaneOffset,std
ED,MD,0.17023951356474887,0.1967249659155233,-0.02648545235077443,0.03197108054202902,-0.8284190556511467,12.555627437979066,0.840066734459989,-0.3898759138011519,LaneOffset,std
ED,ND,0.17023951356474887,0.25050819377130296,-0.08026868020655409,0.019293542640405097,-4.160390950620602,10.590975706442785,0.007913805802386653,-1.9225637417745431,LaneOffset,std
MD,ND,0.1967249659155233,0.25050819377130296,-0.05378322785577966,0.027460822764725553,-1.9585439342650073,8.046433533324732,0.27814791964675945,-0.9980799350959626,LaneOffset,std
