Feature,Comparison,Group,W_statistic,P_value,Is_Normal,Result
AU01_r,ND_vs_CD_ED_vs_MD,ND,0.8055,0.004331957527198259,False,정규성 위배
AU01_r,ND_vs_CD_ED_vs_MD,CD_ED,0.9546,0.7573920430496794,True,정규성 만족
AU01_r,ND_vs_CD_ED_vs_MD,MD,0.7757,0.005029868537487361,False,정규성 위배
AU02_r,ND_vs_CD_ED_vs_MD,ND,0.8893,0.06550910615670852,True,정규성 만족
AU02_r,ND_vs_CD_ED_vs_MD,CD_ED,0.9934,0.9986833486314024,True,정규성 만족
AU02_r,ND_vs_CD_ED_vs_MD,MD,0.6573,0.00033658744851127153,False,정규성 위배
AU04_r,ND_vs_CD_ED_vs_MD,ND,0.7495,0.0008875727979248176,False,정규성 위배
AU04_r,ND_vs_CD_ED_vs_MD,CD_ED,0.672,0.0010833822832499486,False,정규성 위배
AU04_r,ND_vs_CD_ED_vs_MD,MD,0.8302,0.02107366049322005,False,정규성 위배
AU05_r,ND_vs_CD_ED_vs_MD,ND,0.8976,0.08750578258900236,True,정규성 만족
AU05_r,ND_vs_CD_ED_vs_MD,CD_ED,0.9439,0.6494920952572463,True,정규성 만족
AU05_r,ND_vs_CD_ED_vs_MD,MD,0.5487,4.1329384347850655e-05,False,정규성 위배
AU06_r,ND_vs_CD_ED_vs_MD,ND,0.9419,0.40638613255541417,True,정규성 만족
AU06_r,ND_vs_CD_ED_vs_MD,CD_ED,0.8973,0.2728991921711595,True,정규성 만족
AU06_r,ND_vs_CD_ED_vs_MD,MD,0.9239,0.3201144691672125,True,정규성 만족
AU07_r,ND_vs_CD_ED_vs_MD,ND,0.8359,0.011018341776045427,False,정규성 위배
AU07_r,ND_vs_CD_ED_vs_MD,CD_ED,0.959,0.8005084959354578,True,정규성 만족
AU07_r,ND_vs_CD_ED_vs_MD,MD,0.878,0.08265933081361336,True,정규성 만족
AU09_r,ND_vs_CD_ED_vs_MD,ND,0.7017,0.0002590560672744144,False,정규성 위배
AU09_r,ND_vs_CD_ED_vs_MD,CD_ED,0.9236,0.45957659890897706,True,정규성 만족
AU09_r,ND_vs_CD_ED_vs_MD,MD,0.8424,0.029579709558767747,False,정규성 위배
AU10_r,ND_vs_CD_ED_vs_MD,ND,0.8999,0.09493899137020641,True,정규성 만족
AU10_r,ND_vs_CD_ED_vs_MD,CD_ED,0.7801,0.017450412273981454,False,정규성 위배
AU10_r,ND_vs_CD_ED_vs_MD,MD,0.901,0.16318556110354399,True,정규성 만족
AU12_r,ND_vs_CD_ED_vs_MD,ND,0.602,2.6577877803154972e-05,False,정규성 위배
AU12_r,ND_vs_CD_ED_vs_MD,CD_ED,0.7147,0.003297675116070041,False,정규성 위배
AU12_r,ND_vs_CD_ED_vs_MD,MD,0.817,0.014733433113297657,False,정규성 위배
AU14_r,ND_vs_CD_ED_vs_MD,ND,0.9012,0.0991895238939901,True,정규성 만족
AU14_r,ND_vs_CD_ED_vs_MD,CD_ED,0.758,0.009996937873925978,False,정규성 위배
AU14_r,ND_vs_CD_ED_vs_MD,MD,0.8587,0.04711187545729703,False,정규성 위배
AU15_r,ND_vs_CD_ED_vs_MD,ND,0.8287,0.00880181473763823,False,정규성 위배
AU15_r,ND_vs_CD_ED_vs_MD,CD_ED,0.9423,0.6339893550468187,True,정규성 만족
AU15_r,ND_vs_CD_ED_vs_MD,MD,0.9172,0.2636357099593087,True,정규성 만족
AU17_r,ND_vs_CD_ED_vs_MD,ND,0.8651,0.02860189024479994,False,정규성 위배
AU17_r,ND_vs_CD_ED_vs_MD,CD_ED,0.979,0.9575957107837657,True,정규성 만족
AU17_r,ND_vs_CD_ED_vs_MD,MD,0.903,0.17350986158556247,True,정규성 만족
AU20_r,ND_vs_CD_ED_vs_MD,ND,0.6997,0.00024685073761186396,False,정규성 위배
AU20_r,ND_vs_CD_ED_vs_MD,CD_ED,0.9862,0.9868340637800408,True,정규성 만족
AU20_r,ND_vs_CD_ED_vs_MD,MD,0.9196,0.2829707321854362,True,정규성 만족
AU23_r,ND_vs_CD_ED_vs_MD,ND,0.9337,0.30978809966041465,True,정규성 만족
AU23_r,ND_vs_CD_ED_vs_MD,CD_ED,0.8699,0.15047076605734389,True,정규성 만족
AU23_r,ND_vs_CD_ED_vs_MD,MD,0.7889,0.007031327756284467,False,정규성 위배
AU25_r,ND_vs_CD_ED_vs_MD,ND,0.7115,0.00033110610295552194,False,정규성 위배
AU25_r,ND_vs_CD_ED_vs_MD,CD_ED,0.8086,0.03532376643580567,False,정규성 위배
AU25_r,ND_vs_CD_ED_vs_MD,MD,0.8209,0.016352090484030364,False,정규성 위배
AU26_r,ND_vs_CD_ED_vs_MD,ND,0.7873,0.002541336964282501,False,정규성 위배
AU26_r,ND_vs_CD_ED_vs_MD,CD_ED,0.8791,0.1847924357788297,True,정규성 만족
AU26_r,ND_vs_CD_ED_vs_MD,MD,0.9313,0.39371274936643774,True,정규성 만족
AU45_r,ND_vs_CD_ED_vs_MD,ND,0.9074,0.12349213845326695,True,정규성 만족
AU45_r,ND_vs_CD_ED_vs_MD,CD_ED,0.9716,0.9103833651025073,True,정규성 만족
AU45_r,ND_vs_CD_ED_vs_MD,MD,0.8191,0.015571971853024605,False,정규성 위배
pose_Tx,ND_vs_CD_ED_vs_MD,ND,0.4219,8.772418568798504e-07,False,정규성 위배
pose_Tx,ND_vs_CD_ED_vs_MD,CD_ED,0.9744,0.9300672939647142,True,정규성 만족
pose_Tx,ND_vs_CD_ED_vs_MD,MD,0.9166,0.2593370644318336,True,정규성 만족
pose_Ty,ND_vs_CD_ED_vs_MD,ND,0.4229,8.931887899026833e-07,False,정규성 위배
pose_Ty,ND_vs_CD_ED_vs_MD,CD_ED,0.8628,0.12804900694835097,True,정규성 만족
pose_Ty,ND_vs_CD_ED_vs_MD,MD,0.9315,0.3957536122263502,True,정규성 만족
pose_Tz,ND_vs_CD_ED_vs_MD,ND,0.4208,8.608227291275965e-07,False,정규성 위배
pose_Tz,ND_vs_CD_ED_vs_MD,CD_ED,0.9762,0.9417920531911236,True,정규성 만족
pose_Tz,ND_vs_CD_ED_vs_MD,MD,0.9227,0.30871107636573747,True,정규성 만족
pose_Rx,ND_vs_CD_ED_vs_MD,ND,0.9548,0.603173011868365,True,정규성 만족
pose_Rx,ND_vs_CD_ED_vs_MD,CD_ED,0.9007,0.2933613132958277,True,정규성 만족
pose_Rx,ND_vs_CD_ED_vs_MD,MD,0.9365,0.4539847669224904,True,정규성 만족
pose_Ry,ND_vs_CD_ED_vs_MD,ND,0.8149,0.005747105832352068,False,정규성 위배
pose_Ry,ND_vs_CD_ED_vs_MD,CD_ED,0.9155,0.39409811256239313,True,정규성 만족
pose_Ry,ND_vs_CD_ED_vs_MD,MD,0.9879,0.9990791635168219,True,정규성 만족
pose_Rz,ND_vs_CD_ED_vs_MD,ND,0.9262,0.2394045520244033,True,정규성 만족
pose_Rz,ND_vs_CD_ED_vs_MD,CD_ED,0.8545,0.10579876067207561,True,정규성 만족
pose_Rz,ND_vs_CD_ED_vs_MD,MD,0.8815,0.09170660728037257,True,정규성 만족
Speed,ND_vs_CD_ED_vs_MD,ND,0.9132,0.1514336617247452,True,정규성 만족
Speed,ND_vs_CD_ED_vs_MD,CD_ED,0.6885,0.0016698626135546167,False,정규성 위배
Speed,ND_vs_CD_ED_vs_MD,MD,0.8786,0.08408972415724107,True,정규성 만족
Acceleration,ND_vs_CD_ED_vs_MD,ND,0.8954,0.08097966586383908,True,정규성 만족
Acceleration,ND_vs_CD_ED_vs_MD,CD_ED,0.7246,0.004260863083489204,False,정규성 위배
Acceleration,ND_vs_CD_ED_vs_MD,MD,0.8973,0.14659980022225216,True,정규성 만족
Brake,ND_vs_CD_ED_vs_MD,ND,0.8017,0.0038665734827788025,False,정규성 위배
Brake,ND_vs_CD_ED_vs_MD,CD_ED,0.6843,0.0014931462820241249,False,정규성 위배
Brake,ND_vs_CD_ED_vs_MD,MD,0.6834,0.0005856376601785912,False,정규성 위배
Steering,ND_vs_CD_ED_vs_MD,ND,0.9584,0.6652769523356502,True,정규성 만족
Steering,ND_vs_CD_ED_vs_MD,CD_ED,0.4806,6.028743670237239e-06,False,정규성 위배
Steering,ND_vs_CD_ED_vs_MD,MD,0.9207,0.2919305446950804,True,정규성 만족
LaneOffset,ND_vs_CD_ED_vs_MD,ND,0.8763,0.041793560739405815,False,정규성 위배
LaneOffset,ND_vs_CD_ED_vs_MD,CD_ED,0.8885,0.22647499217450506,True,정규성 만족
LaneOffset,ND_vs_CD_ED_vs_MD,MD,0.9474,0.5997734240530543,True,정규성 만족
gaze_0_x,ND_vs_CD_ED_vs_MD,ND,0.9321,0.2928425597447075,True,정규성 만족
gaze_0_x,ND_vs_CD_ED_vs_MD,CD_ED,0.9691,0.8905876117813593,True,정규성 만족
gaze_0_x,ND_vs_CD_ED_vs_MD,MD,0.917,0.26181594258869145,True,정규성 만족
