Feature,Metric,Comparison,Welch_F,P_value,Result,ND_Value,CD_Value,ED_Value,MD_Value
AU01_r,mean,ND_vs_CD_vs_ED_vs_MD,0.6351,0.6082404757593196,기각하지 못함 (차이 없음),0.1994,0.3098,0.3572,0.2106
AU02_r,mean,ND_vs_CD_vs_ED_vs_MD,0.0984,0.9595036509023864,기각하지 못함 (차이 없음),0.1178,0.1062,0.1086,0.09
AU04_r,mean,ND_vs_CD_vs_ED_vs_MD,4.794,0.021416826692719625,기각 (차이 있음),0.7148,0.4461,0.7039,0.0574
AU05_r,mean,ND_vs_CD_vs_ED_vs_MD,0.6895,0.5797417395147741,기각하지 못함 (차이 없음),0.0557,0.0495,0.0445,0.0715
AU06_r,mean,ND_vs_CD_vs_ED_vs_MD,0.157,0.9231658558992484,기각하지 못함 (차이 없음),0.736,0.8252,0.7035,0.654
AU07_r,mean,ND_vs_CD_vs_ED_vs_MD,0.6653,0.5891540853529544,기각하지 못함 (차이 없음),0.8428,0.3785,0.6336,0.5982
AU09_r,mean,ND_vs_CD_vs_ED_vs_MD,0.3564,0.7855256678116302,기각하지 못함 (차이 없음),0.0808,0.1064,0.1106,0.1087
AU10_r,mean,ND_vs_CD_vs_ED_vs_MD,1.1823,0.3580701470915975,기각하지 못함 (차이 없음),0.7832,0.9273,0.8705,0.4763
AU12_r,mean,ND_vs_CD_vs_ED_vs_MD,0.2086,0.8884802811125249,기각하지 못함 (차이 없음),0.2406,0.2261,0.156,0.1527
AU14_r,mean,ND_vs_CD_vs_ED_vs_MD,1.3136,0.31552373364058733,기각하지 못함 (차이 없음),0.7648,0.8995,0.9102,0.4414
AU15_r,mean,ND_vs_CD_vs_ED_vs_MD,1.2035,0.3593554987706328,기각하지 못함 (차이 없음),0.116,0.0624,0.1353,0.1556
AU17_r,mean,ND_vs_CD_vs_ED_vs_MD,2.3781,0.1260996478145247,기각하지 못함 (차이 없음),0.2538,0.2826,0.3873,0.2712
AU20_r,mean,ND_vs_CD_vs_ED_vs_MD,0.3982,0.7566206187939257,기각하지 못함 (차이 없음),0.1131,0.0807,0.0957,0.076
AU23_r,mean,ND_vs_CD_vs_ED_vs_MD,2.7554,0.08788292064827151,기각하지 못함 (차이 없음),0.1139,0.0905,0.1728,0.2134
AU25_r,mean,ND_vs_CD_vs_ED_vs_MD,6.3264,0.01350597043584971,기각 (차이 있음),0.2537,0.841,0.4355,0.5874
AU26_r,mean,ND_vs_CD_vs_ED_vs_MD,3.0786,0.07345342773157332,기각하지 못함 (차이 없음),0.2925,0.4426,0.4954,0.4671
AU45_r,mean,ND_vs_CD_vs_ED_vs_MD,2.3792,0.14138427827060196,기각하지 못함 (차이 없음),0.1653,0.399,0.3653,0.3315
pose_Tx,mean,ND_vs_CD_vs_ED_vs_MD,0.4095,0.7492325114727864,기각하지 못함 (차이 없음),-39.5941,-41.0423,-38.8409,-29.2973
pose_Ty,mean,ND_vs_CD_vs_ED_vs_MD,0.2779,0.8403167989769315,기각하지 못함 (차이 없음),27.4082,26.3444,19.9941,22.7969
pose_Tz,mean,ND_vs_CD_vs_ED_vs_MD,0.5698,0.6466156260751512,기각하지 못함 (차이 없음),269.9736,265.3613,275.6429,275.0514
pose_Rx,mean,ND_vs_CD_vs_ED_vs_MD,0.7401,0.5518346703471494,기각하지 못함 (차이 없음),-0.0405,0.0919,0.0442,0.0372
pose_Ry,mean,ND_vs_CD_vs_ED_vs_MD,0.7373,0.5502585864949237,기각하지 못함 (차이 없음),-0.0273,-0.0357,-0.0125,0.0277
pose_Rz,mean,ND_vs_CD_vs_ED_vs_MD,1.6295,0.2332253090317359,기각하지 못함 (차이 없음),0.016,0.0034,0.0398,0.0004
Speed,mean,ND_vs_CD_vs_ED_vs_MD,6.0277,0.010764807924465854,기각 (차이 있음),68.9379,73.6632,67.7387,72.1263
Acceleration,mean,ND_vs_CD_vs_ED_vs_MD,1.2328,0.3486112704257058,기각하지 못함 (차이 없음),5.7761,6.4116,5.3908,5.6671
Brake,mean,ND_vs_CD_vs_ED_vs_MD,0.1907,0.9001583001485551,기각하지 못함 (차이 없음),13.345,12.3622,18.1098,18.4964
Steering,mean,ND_vs_CD_vs_ED_vs_MD,1.283,0.3211923451190538,기각하지 못함 (차이 없음),0.0003,-0.0001,0.0012,-0.0
LaneOffset,mean,ND_vs_CD_vs_ED_vs_MD,0.5503,0.6589029293190531,기각하지 못함 (차이 없음),-0.0436,-0.0626,-0.0132,-0.0785
gaze_0_x,mean,ND_vs_CD_vs_ED_vs_MD,0.1901,0.900919097469273,기각하지 못함 (차이 없음),0.1647,0.174,0.147,0.1444
gaze_0_y,mean,ND_vs_CD_vs_ED_vs_MD,0.568,0.6481262606651538,기각하지 못함 (차이 없음),0.1426,0.2505,0.2022,0.1967
gaze_0_z,mean,ND_vs_CD_vs_ED_vs_MD,0.4501,0.7228794149069971,기각하지 못함 (차이 없음),-0.957,-0.9239,-0.9529,-0.9458
gaze_1_x,mean,ND_vs_CD_vs_ED_vs_MD,2.2383,0.13548043181093425,기각하지 못함 (차이 없음),-0.0301,-0.0151,-0.0423,-0.101
gaze_1_y,mean,ND_vs_CD_vs_ED_vs_MD,0.5856,0.6377825714422491,기각하지 못함 (차이 없음),0.1533,0.2652,0.2002,0.2412
gaze_1_z,mean,ND_vs_CD_vs_ED_vs_MD,1.3334,0.31894234803049004,기각하지 못함 (차이 없음),-0.9712,-0.9363,-0.9604,-0.9406
gaze_angle_x,mean,ND_vs_CD_vs_ED_vs_MD,0.8693,0.48459829807116184,기각하지 못함 (차이 없음),0.0693,0.0836,0.0538,0.0234
