Feature,Metric,Comparison,Welch_F,P_value,Result,ND_Value,CD_Value,ED_Value,MD_Value
AU01_r,var,ND_vs_CD_vs_ED_vs_MD,0.8119,0.5095730229705161,기각하지 못함 (차이 없음),0.1277,0.4291,0.1147,0.5868
AU02_r,var,ND_vs_CD_vs_ED_vs_MD,0.6054,0.6242638169065307,기각하지 못함 (차이 없음),0.0627,0.3154,0.0871,0.1485
AU04_r,var,ND_vs_CD_vs_ED_vs_MD,1.7871,0.19558932653216746,기각하지 못함 (차이 없음),0.0972,0.0321,0.0529,0.1972
AU05_r,var,ND_vs_CD_vs_ED_vs_MD,2.0459,0.16504057132147665,기각하지 못함 (차이 없음),0.014,0.04,0.0452,0.0224
AU06_r,var,ND_vs_CD_vs_ED_vs_MD,1.3409,0.30273622525057386,기각하지 못함 (차이 없음),0.0759,0.1019,0.1541,0.1241
AU07_r,var,ND_vs_CD_vs_ED_vs_MD,0.4462,0.7236311305806802,기각하지 못함 (차이 없음),0.1349,0.1357,0.2052,0.1631
AU09_r,var,ND_vs_CD_vs_ED_vs_MD,1.9981,0.15745498494315713,기각하지 못함 (차이 없음),0.0261,0.028,0.0638,0.0287
AU10_r,var,ND_vs_CD_vs_ED_vs_MD,0.4884,0.6952601569218573,기각하지 못함 (차이 없음),0.1493,0.1353,0.1837,0.1255
AU12_r,var,ND_vs_CD_vs_ED_vs_MD,5.7218,0.013739152292829005,기각 (차이 있음),0.0149,0.1296,0.2196,0.1033
AU14_r,var,ND_vs_CD_vs_ED_vs_MD,2.7925,0.07559655119441681,기각하지 못함 (차이 없음),0.1641,0.0884,0.2439,0.1553
AU15_r,var,ND_vs_CD_vs_ED_vs_MD,2.236,0.12652177986079366,기각하지 못함 (차이 없음),0.0576,0.0326,0.1038,0.0482
AU17_r,var,ND_vs_CD_vs_ED_vs_MD,1.3273,0.3035585067396203,기각하지 못함 (차이 없음),0.084,0.0835,0.1264,0.1322
AU20_r,var,ND_vs_CD_vs_ED_vs_MD,6.3321,0.006992178159700629,기각 (차이 있음),0.0407,0.0117,0.052,0.0433
AU23_r,var,ND_vs_CD_vs_ED_vs_MD,0.9037,0.46432410976279914,기각하지 못함 (차이 없음),0.0861,0.0548,0.1313,0.0857
AU25_r,var,ND_vs_CD_vs_ED_vs_MD,2.7027,0.09187491741733295,기각하지 못함 (차이 없음),0.1398,0.2785,0.5551,0.3713
AU26_r,var,ND_vs_CD_vs_ED_vs_MD,1.3077,0.3119917553456649,기각하지 못함 (차이 없음),0.105,0.1616,0.1984,0.184
AU45_r,var,ND_vs_CD_vs_ED_vs_MD,3.101,0.06645365687252705,기각하지 못함 (차이 없음),0.093,0.2264,0.1404,0.3563
pose_Tx,var,ND_vs_CD_vs_ED_vs_MD,0.6504,0.5951360912206308,기각하지 못함 (차이 없음),4578602005895.246,28.3354,67.6936,33.3525
pose_Ty,var,ND_vs_CD_vs_ED_vs_MD,1.6229,0.2364776031258486,기각하지 못함 (차이 없음),2575511362472.8154,15.7242,48.6525,75.1565
pose_Tz,var,ND_vs_CD_vs_ED_vs_MD,2.6173,0.09194268584179359,기각하지 못함 (차이 없음),11178066219829.826,10.6145,23.4804,25.5671
pose_Rx,var,ND_vs_CD_vs_ED_vs_MD,0.6234,0.610435495905221,기각하지 못함 (차이 없음),0.01,0.0032,0.0036,0.0052
pose_Ry,var,ND_vs_CD_vs_ED_vs_MD,0.3434,0.7943336774029914,기각하지 못함 (차이 없음),0.0105,0.0014,0.0014,0.0017
pose_Rz,var,ND_vs_CD_vs_ED_vs_MD,0.4739,0.7047910418178691,기각하지 못함 (차이 없음),0.0042,0.0017,0.0011,0.0012
Speed,var,ND_vs_CD_vs_ED_vs_MD,9.7476,0.0008909220113686812,기각 (차이 있음),135.3149,15.386,67.049,21.7629
Acceleration,var,ND_vs_CD_vs_ED_vs_MD,3.9504,0.02911128853173073,기각 (차이 있음),21.6717,6.1179,19.9452,18.25
Brake,var,ND_vs_CD_vs_ED_vs_MD,3.9663,0.03125333235623538,기각 (차이 있음),3695.6111,359.5965,2244.3763,1521.9182
Steering,var,ND_vs_CD_vs_ED_vs_MD,3.3107,0.062186818059561735,기각하지 못함 (차이 없음),0.0006,0.0015,0.1026,0.0036
LaneOffset,var,ND_vs_CD_vs_ED_vs_MD,5.4446,0.011813318111379851,기각 (차이 있음),0.076,0.0399,0.0527,0.0371
gaze_0_x,var,ND_vs_CD_vs_ED_vs_MD,0.6249,0.6098499924215974,기각하지 못함 (차이 없음),0.0032,0.0015,0.0022,0.0018
gaze_0_y,var,ND_vs_CD_vs_ED_vs_MD,0.4858,0.6970431594231942,기각하지 못함 (차이 없음),0.0042,0.0049,0.0033,0.0038
gaze_0_z,var,ND_vs_CD_vs_ED_vs_MD,1.4678,0.26474296600969266,기각하지 못함 (차이 없음),0.0251,0.0004,0.0044,0.0007
gaze_1_x,var,ND_vs_CD_vs_ED_vs_MD,0.7339,0.5498743364113863,기각하지 못함 (차이 없음),0.0031,0.0018,0.0028,0.0028
gaze_1_y,var,ND_vs_CD_vs_ED_vs_MD,0.1615,0.9206113210614512,기각하지 못함 (차이 없음),0.0045,0.0044,0.0037,0.0044
gaze_1_z,var,ND_vs_CD_vs_ED_vs_MD,1.4361,0.2729150270837212,기각하지 못함 (차이 없음),0.0256,0.0004,0.0045,0.0007
gaze_angle_x,var,ND_vs_CD_vs_ED_vs_MD,0.7086,0.5623373251023096,기각하지 못함 (차이 없음),0.0028,0.0011,0.0017,0.0017
gaze_angle_y,var,ND_vs_CD_vs_ED_vs_MD,0.2639,0.8503567503663622,기각하지 못함 (차이 없음),0.0043,0.0047,0.0035,0.0041
gaze_vel,var,ND_vs_CD_vs_ED_vs_MD,0.331,0.8030524827308398,기각하지 못함 (차이 없음),1310.9973,1643.2974,1632.742,1214.1246
gaze_amp,var,ND_vs_CD_vs_ED_vs_MD,0.2313,0.8731157487197828,기각하지 못함 (차이 없음),1.767,2.1452,2.1941,1.6969
gaze_acc,var,ND_vs_CD_vs_ED_vs_MD,0.2868,0.8342027597299329,기각하지 못함 (차이 없음),1182418.5653,1600945.6124,1546536.1739,1223683.1258
