A,B,mean_A,mean_B,diff,se,T,df,pval,hedges,Feature,Metric
CD,ED,0.12962561756289856,0.2196284641978977,-0.09000284663499913,0.08315780363377005,-1.0823138984210658,11.94364707918251,0.706356298034892,-0.5331127275047188,AU12_r,var
CD,MD,0.12962561756289856,0.10333635569182864,0.02628926187106992,0.06548068777207824,0.401481150634462,12.582060469214769,0.9771530188335477,0.19113106924091763,AU12_r,var
CD,ND,0.12962561756289856,0.014908116260107417,0.11471750130279114,0.05214046436327751,2.2001626319152345,7.1053484682658805,0.21144141197016564,1.1538086710140838,AU12_r,var
ED,MD,0.2196284641978977,0.10333635569182864,0.11629210850606905,0.07619875394988093,1.5261681127037743,9.960299844515623,0.4587872987184065,0.7637006701024456,AU12_r,var
ED,ND,0.2196284641978977,0.014908116260107417,0.2047203479377903,0.06509345325321364,3.145022082964746,6.057773353345307,0.07170722693561415,1.8415915307828412,AU12_r,var
MD,ND,0.10333635569182864,0.014908116260107417,0.08842823943172122,0.040120541152133614,2.204063975518401,6.153512919429048,0.2220137614813561,1.2825810072793042,AU12_r,var
CD,ED,0.01165056090489476,0.05201260443495397,-0.04036204353005921,0.011331726674701049,-3.5618617258189413,7.168193583026394,0.03508159942203326,-1.8380626752450848,AU20_r,var
CD,MD,0.01165056090489476,0.04325399768855037,-0.03160343678365561,0.014034147820848346,-2.251895675254846,6.738337259217494,0.2020243997264436,-1.1679262126481718,AU20_r,var
CD,ND,0.01165056090489476,0.04071797418576418,-0.02906741328086942,0.011709178570871708,-2.4824468347573805,11.758461099064467,0.1146877004691379,-0.9518439086494723,AU20_r,var
ED,MD,0.05201260443495397,0.04325399768855037,0.0087586067464036,0.01739419456367239,0.5035362065396156,11.414091504386798,0.9566094143703082,0.25197154569942753,AU20_r,var
ED,ND,0.05201260443495397,0.04071797418576418,0.011294630249189794,0.015579010310864713,0.7249902287639531,15.253706266926187,0.8856146787766639,0.31429876853963234,AU20_r,var
MD,ND,0.04325399768855037,0.04071797418576418,0.002536023502786193,0.01764241587462783,0.1437458180788798,13.237739263225142,0.9988846701546283,0.06570406784769876,AU20_r,var
CD,ED,15.385955174497298,67.04903753162786,-51.66308235713056,29.933370525383584,-1.7259360189097355,7.300422720467858,0.37640999526220376,-0.8893325152614695,Speed,var
CD,MD,15.385955174497298,21.762865146389185,-6.376909971891887,11.105919138908666,-0.5741902036321256,11.598349504834577,0.937855808607235,-0.2702989505381627,Speed,var
CD,ND,15.385955174497298,135.31494828277243,-119.92899310827514,22.63017630137798,-5.29951651772914,13.726463271833904,0.0006127081663164224,-2.0794959851019543,Speed,var
ED,MD,67.04903753162786,21.762865146389185,45.28617238523867,29.047689782964014,1.5590283676121555,6.526831974879489,0.45916382853428217,0.7801440740003349,Speed,var
